place,title,time,pay,date
서울 서초구, 노랑통닭 반포점,18:00~23:00,"시급10,000",6분전
서울 서초구, 노랑통닭 반포점,18:00~23:00,"시급10,000",6분전
경기 광명시, 노랑통닭 광명하안점,18:00~01:00,"시급10,000",7분전
서울 서초구, 노랑통닭 반포점,15:00~23:00,"월급1,760,000",7분전
경기 광명시, 노랑통닭 광명하안점,18:00~24:00,"시급9,500",9분전
서울 성동구, 노랑통닭 성수점,14:00~01:30,"월급2,600,000",10분전
서울 관악구, 노랑통닭 서울대점,18:00~01:00,"시급9,000",10분전
경기 광명시, 노랑통닭 광명하안점,17:00~23:00,"시급9,000",14분전
인천 미추홀, 노랑통닭 인천도화점,15:00~02:00,"월급2,600,000",18분전
경기 하남시, 노랑통닭 미사2호점,17:00~22:00,"시급9,000",23분전
서울 강동구, 노랑통닭 천호점,17:00~04:00,"월급2,600,000",30분전
경기 평택시, 노랑통닭 평택 용이점,18:00~24:00,"시급8,800",35분전
경기 평택시, 노랑통닭 평택 용이점,18:00~12:00,"시급8,800",42분전
광주 광산구, 노랑통닭 광주 수완점,시간협의,"시급8,720",47분전
광주 광산구, 노랑통닭 광주 첨단점,18:00~24:00,"시급9,500",49분전
광주 광산구, 노랑통닭 광주 첨단점,18:00~24:00,"시급9,500",50분전
광주 광산구, 노랑통닭 광주 첨단점,18:00~24:00,"시급9,000",52분전
경기 하남시, 노랑통닭 미사 1호점,15:00~02:00,"월급2,700,000",57분전
광주 광산구, 노랑통닭 광주 첨단점,21:00~24:00,"시급9,500",58분전
광주 광산구, 노랑통닭 광주 첨단점,18:00~24:00,"시급9,500",1시간전
서울 마포구, 노랑통닭 망원점,16:00~02:00,"월급2,800,000",1시간전
서울 마포구, 노랑통닭 망원점,18:00~24:00,"월급1,600,000",1시간전
강원 춘천시, 노랑통닭 춘천 우두점,시간협의,"시급9,000",1시간전
서울 강동구, 노랑통닭 길동점,14:00~01:00,"월급2,600,000",1시간전
서울 강동구, 노랑통닭 길동점,시간협의,"시급8,800",1시간전
광주 북구, 노랑통닭 광주 운암점,14:00~24:00,"시급8,720",1시간전
서울 강남구, 노랑통닭 논현역점,16:30~03:30,"월급2,500,000",1시간전
서울 강북구, 노랑통닭 수유점,17:00~01:00,"시급9,300",2시간전
서울 강동구, 노랑통닭 천호점,17:00~04:00,"월급2,600,000",2시간전
서울 강동구, 노랑통닭 천호점,06:00~11:00,"시급9,100",2시간전
서울 강남구, 노랑통닭 역삼점,18:00~22:00,"시급8,720",2시간전
경기 고양시, 노랑통닭 행신점,17:00~03:00,"월급2,500,000",2시간전
경기 고양시, 노랑통닭 행신점,17:00~03:00,"월급2,500,000",2시간전
서울 마포구, 노랑통닭 망원점,18:00~24:00,"월급1,600,000",2시간전
서울 마포구, 노랑통닭 망원점,16:00~02:00,"월급2,800,000",2시간전
서울 강남구, 노랑통닭 양재역점,18:00~23:00,"시급9,000",2시간전
경기 광명시, 노랑통닭 광명하안점,11:00~23:00,"시급9,500",2시간전
서울 강서구, 노랑통닭 개화산역점,18:00~23:00,"시급8,720",2시간전
서울 강서구, 노랑통닭 개화산역점,18:00~23:00,"시급8,720",2시간전
서울 송파구, 노랑통닭 잠실새내점,시간협의,"월급2,700,000",3시간전
서울 송파구, 노랑통닭 잠실새내점,시간협의,"월급2,700,000",3시간전
서울 송파구, 노랑통닭 잠실새내점,시간협의,"월급2,700,000",3시간전
서울 송파구, 노랑통닭 잠실새내점,시간협의,"월급2,700,000",3시간전
경기 하남시, 노랑통닭 미사 1호점,15:00~02:00,"월급2,700,000",3시간전
서울 은평구, 노랑통닭 역촌점,17:30~22:30,"시급9,000",3시간전
서울 관악구, 노랑통닭 신림점,18:00~24:00,"시급8,800",3시간전
경기 이천시, 노랑통닭 이천터미널점,18:00~23:00,"시급10,000",3시간전
서울 강남구, 노랑통닭 논현역점,16:30~03:30,"월급2,500,000",3시간전
충남 논산시, 노랑통닭 논산대교점,17:00~01:00,"월급1,600,000",3시간전
경기 안양시, 노랑통닭 인덕원역점,15:00~02:00,"월급2,800,000",3시간전
충남 논산시, 노랑통닭 논산대교점,17:00~01:00,"월급1,600,000",4시간전
