place,title,time,pay,date
광주 서구, 신세계 광주FS,10:00~20:30,"월급1,980,000",18분전
서울 영등포, (주)대연,시간협의,"시급8,720",41분전
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",1시간전
경기 이천시, 경기 이천점 나이키,17:00~20:30,"시급9,000",2시간전
경기 이천시, 경기 이천점 나이키,10:00~21:00,"월급2,030,000",2시간전
부산 해운대, 신세계 센텀,10:00~20:00,"월급1,980,000",3시간전
광주 서구, (주)대연,10:30~21:00,"월급1,950,000",4시간전
경기 부천시, 부천스타필드나이키,10:00~22:00,"월급2,050,000",5시간전
인천 연수구, 나이키,시간협의,"월급2,050,000",5시간전
경기 하남시, 스타필드 신세계 하남 나이키,00:00~24:00,"월급2,050,000",5시간전
충남 천안시, 모다아울렛천안,11:00~21:00,"월급2,000,000",6시간전
충남 천안시, 갤러리아 센터시티 나이키,10:00~20:00,"월급1,980,000",6시간전
광주 서구, 신세계 광주FS,10:00~20:30,"월급1,980,000",7시간전
충남 천안시, 모다아울렛천안,11:00~21:00,"월급2,000,000",7시간전
충남 천안시, 모다아울렛천안,11:00~21:00,"월급2,000,000",04/04
대구 전체, 동성로타운,11:00~22:00,"월급2,030,000",04/04
대전 동구, 대전스타일마켓,10:30~21:00,"월급1,980,000",04/04
경남 김해시, 신세계김해,10:00~20:30,"월급1,980,000",04/03
인천 서구, 인천모다,10:00~20:30,"월급2,000,000",04/03
충남 천안시, 갤러리아 센터시티 나이키,10:00~20:00,"월급1,980,000",04/03
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",04/02
경기 하남시, 신세계하남점 나이키 킥스라운지,10:30~21:00,"월급1,980,000",04/02
충남 천안시, 갤러리아 센터시티 나이키,10:00~20:00,"월급1,980,000",04/02
광주 서구, 신세계 광주FS,10:00~20:30,"월급1,980,000",04/01
경기 이천시, 경기 이천점 나이키,17:00~20:30,"시급9,000",04/01
경기 하남시, 스타필드 신세계 하남 나이키,00:00~24:00,"월급2,050,000",03/31
서울 마포구, 홍대SNKRS,시간협의,"월급2,030,000",03/31
서울 서초구, (주)대연,10:00~20:00,"월급1,980,000",03/31
경기 이천시, 경기 이천점 나이키,17:00~20:30,"시급9,000",03/29
경기 하남시, 스타필드 하남 나이키,10:00~22:00,"월급2,050,000",03/27
충남 천안시, 갤러리아 센터시티 나이키,10:00~20:00,"월급1,980,000",03/24
대구 전체, 동성로타운,11:00~22:00,"월급2,030,000",03/24
충북 제천시, (주)대연,시간협의,"월급2,030,000",03/21
