place,title,time,pay,date
충북 음성군, 생각대로 혁신진천점,시간협의,"건별3,000",2분전
부산 동래구, 생각대로 명륜동래점,09:00~02:00,"건별3,500",4분전
부산 동래구, 생각대로 명륜동래점,09:00~02:00,"건별3,500",4분전
부산 동래구, 생각대로 명륜동래점,09:00~02:00,"건별3,500",5분전
서울 서대문, 생각대로 가재울점,09:00~02:00,"건별3,800",20분전
서울 서대문, 생각대로 가재울점,09:00~02:00,"건별3,800",21분전
서울 서대문, 생각대로 가재울점,09:00~02:00,"건별3,800",21분전
경기 성남시, 생각대로 TFC야탑지사,시간협의,"건별4,000",23분전
부산 부산진, 생각대로 진구11호점,시간협의,"건별3,300",24분전
부산 부산진, 생각대로 진구11호점,시간협의,"건별3,300",24분전
부산 기장군, 생각대로 정관중앙점,08:30~02:00,"건별3,000",25분전
부산 기장군, 생각대로 정관중앙점,08:30~02:00,"건별3,000",25분전
부산 기장군, 생각대로 정관중앙점,시간협의,"건별3,000",25분전
부산 수영구, 생각대로 수영구1-1호점,10:00~02:00,"건별3,000",25분전
부산 수영구, 생각대로 수영구1-1호점,10:00~02:00,"건별3,000",25분전
부산 수영구, 생각대로 수영구1-1호점,10:00~02:00,"건별3,000",25분전
부산 부산진, 생각대로 양정점어벤,시간협의,"시급20,000",26분전
부산 부산진, 생각대로 양정점어벤,시간협의,"일급150,000",26분전
부산 부산진, 생각대로 양정점어벤,시간협의,"일급150,000",26분전
부산 부산진, 생각대로 양정오즈,10:00~01:00,"건별3,000",26분전
부산 부산진, 생각대로 양정오즈,10:00~01:00,"건별3,000",26분전
부산 부산진, 생각대로 양정오즈,10:00~01:00,"건별3,000",26분전
부산 해운대, 생각대로 동부산해운대점,09:00~02:00,"일급150,000",26분전
부산 해운대, 생각대로 동부산해운대점,09:00~02:00,"일급150,000",26분전
부산 해운대, 생각대로 동부산해운대점,09:00~02:00,"일급150,000",26분전
부산 사상구, 생각대로 생각대로 사상구2호점,09:00~03:00,"월급4,000,000",26분전
부산 사상구, 생각대로 생각대로 사상구2호점,09:00~03:00,"월급4,000,000",26분전
부산 사하구, 생각대로 다대1호점,시간협의,"건별3,500",27분전
부산 사하구, 생각대로 다대1호점,시간협의,"건별3,500",27분전
부산 사하구, 생각대로 다대1호점,시간협의,"건별3,500",27분전
부산 부산진, 생각대로 생각대로 사상구2호점,09:00~03:00,"월급4,000,000",27분전
부산 사상구, 생각대로 괘법3호점,09:00~03:00,"월급4,000,000",27분전
부산 부산진, 생각대로 부암점,10:00~01:00,"건별3,300",27분전
부산 부산진, 생각대로 부암점,10:00~01:00,"건별3,300",27분전
부산 부산진, 생각대로 부암점,10:00~01:00,"건별3,300",27분전
부산 사상구, 생각대로 괘법3호점,09:00~03:00,"월급4,000,000",27분전
부산 사상구, 생각대로 괘법3호점,09:00~03:00,"월급4,000,000",27분전
부산 금정구, 생각대로 금정7호점,10:00~02:00,"건별3,500",28분전
부산 금정구, 생각대로 금정7호점,10:00~02:00,"건별3,500",28분전
부산 금정구, 생각대로 금정7호점,10:00~02:00,"건별3,500",28분전
부산 부산진, 생각대로 진구10호점,10:00~01:00,"건별3,000",28분전
부산 부산진, 생각대로 진구10호점,10:00~01:00,"건별3,000",28분전
부산 부산진, 생각대로 진구10호점,10:00~01:00,"건별3,000",28분전
부산 사상구, 생각대로 부산진구6-2호점,10:00~01:30,"건별3,000",28분전
부산 사상구, 생각대로 부산진구6-2호점,10:00~01:30,"건별3,000",28분전
부산 사상구, 생각대로 부산진구6-2호점,10:00~01:30,"건별3,000",28분전
부산 남구, 생각대로 감만우암점,10:00~02:00,"건별3,000",29분전
부산 남구, 생각대로 감만우암점,10:00~02:00,"건별3,000",29분전
부산 남구, 생각대로 감만우암점,10:00~02:00,"건별3,000",29분전
부산 기장군, 생각대로 기장정관점,08:00~02:00,"건별3,000",29분전
부산 기장군, 생각대로 기장정관점,08:00~02:00,"건별3,000",29분전
부산 기장군, 생각대로 기장정관점,08:00~02:00,"건별3,000",29분전
부산 기장군, 생각대로 정관점,08:00~02:00,"건별3,000",29분전
부산 기장군, 생각대로 정관점,08:00~02:00,"건별3,000",29분전
부산 기장군, 생각대로 정관점,08:00~02:00,"건별3,000",29분전
부산 사하구, 생각대로 사하6호점,시간협의,"건별3,000",30분전
부산 사하구, 생각대로 사하6호점,시간협의,"건별3,000",30분전
부산 사하구, 생각대로 사하6호점,시간협의,"건별3,000",30분전
부산 연제구, 생각대로 망미점,10:00~02:00,"건별3,300",30분전
부산 연제구, 생각대로 망미점,10:00~02:00,"건별3,300",30분전
부산 연제구, 생각대로 망미점,10:00~02:00,"건별3,300",30분전
부산 동래구, 생각대로 사직1호점,10:00~02:00,"건별3,000",30분전
부산 동래구, 생각대로 사직1호점,10:00~02:00,"건별3,000",30분전
부산 동래구, 생각대로 사직1호점,시간협의,"건별3,000",30분전
부산 수영구, 생각대로 광안점,10:00~02:00,"일급150,000",31분전
부산 수영구, 생각대로 광안점,10:00~02:00,"일급150,000",31분전
부산 수영구, 생각대로 광안점,10:00~02:00,"일급150,000",31분전
부산 연제구, 생각대로 연산점,10:00~02:00,"일급150,000",31분전
부산 연제구, 생각대로 연산점,10:00~02:00,"일급150,000",31분전
부산 연제구, 생각대로 연산점,10:00~02:00,"일급150,000",31분전
부산 북구, 생각대로 덕천1호점 라이더 스테이션,11:00~03:00,"건별3,000",32분전
부산 북구, 생각대로 덕천1호점 라이더스테이션,11:00~03:00,"건별3,000",32분전
부산 북구, 생각대로 덕천1호점 라이더 스테이션,11:00~03:00,"건별3,000",32분전
부산 연제구, 생각대로 연제토곡점,10:00~02:00,"건별3,000",32분전
부산 연제구, 생각대로 연제토곡점,10:00~02:00,"건별3,000",32분전
부산 연제구, 생각대로 연제토곡점,10:00~02:00,"건별3,000",32분전
부산 수영구, 생각대로 수영센텀점,10:00~03:00,"일급250,000",32분전
부산 수영구, 생각대로 수영센텀점,10:00~03:00,"일급250,000",32분전
부산 수영구, 생각대로 수영센텀점,10:00~03:00,"일급250,000",32분전
부산 기장군, 생각대로 준혁기장점,11:00~02:00,"건별3,000",33분전
부산 기장군, 생각대로 준혁기장점,11:00~02:00,"건별3,000",33분전
부산 기장군, 생각대로 준혁기장점,11:00~02:00,"건별3,000",33분전
부산 전체, 생각대로 해운대신도시2호점,09:00~02:00,"일급250,000",35분전
부산 전체, 생각대로 해운대신도시2호점,09:00~02:00,"일급250,000",35분전
부산 전체, 생각대로 해운대신도시2호점,09:00~02:00,"일급250,000",35분전
부산 전체, 생각대로 대연2호점,시간협의,"건별3,000",35분전
부산 전체, 생각대로 대연2호점,시간협의,"일급250,000",35분전
부산 전체, 생각대로 대연2호점,시간협의,"일급250,000",35분전
부산 사상구, 생각대로 사상구4호점,10:00~02:00,"건별3,300",36분전
부산 사상구, 생각대로 사상구4호점,10:00~02:00,"건별3,300",36분전
부산 사상구, 생각대로 사상구4호점,10:00~02:00,"건별3,300",36분전
부산 북구, 생각대로 화명3호점,10:00~02:00,"건별3,000",36분전
부산 북구, 생각대로 화명3호점,10:00~02:00,"건별3,000",36분전
부산 북구, 생각대로 화명3호점,10:00~02:00,"건별3,000",36분전
부산 북구, 생각대로 구포1호점,10:00~02:00,"건별3,000",36분전
부산 북구, 생각대로 구포1호점,10:00~02:00,"건별3,000",36분전
부산 북구, 생각대로 구포1호점,10:00~02:00,"건별3,000",36분전
부산 동래구, 생각대로 안락명장2호점,10:00~02:00,"건별3,000",36분전
부산 동래구, 생각대로 안락명장2호점,10:00~02:00,"건별3,000",36분전
부산 동래구, 생각대로 안락명장2호점,10:00~02:00,"건별3,000",36분전
부산 부산진, 생각대로 불곰서면점,10:00~02:00,"건별3,000",37분전
부산 부산진, 생각대로 불곰서면점,10:00~02:00,"건별3,000",37분전
부산 부산진, 생각대로 불곰서면점,10:00~02:00,"건별3,000",37분전
인천 남동구, 생각대로 구월드림지사,09:00~02:00,"일급200,000",37분전
부산 남구, 생각대로 불곰대연점,시간협의,"건별3,000",37분전
부산 남구, 생각대로 불곰대연점,시간협의,"건별3,000",37분전
부산 남구, 생각대로 불곰대연점,시간협의,"건별3,000",37분전
인천 남동구, 생각대로 구월드림지사,09:00~02:00,"일급200,000",37분전
경기 성남시, 생각대로 TFC야탑지사,시간협의,"건별4,000",37분전
부산 수영구, 생각대로 불곰수영점,시간협의,"건별3,000",38분전
부산 수영구, 생각대로 불곰수영점,시간협의,"건별3,000",38분전
부산 수영구, 생각대로 불곰수영점,시간협의,"건별3,000",38분전
경기 용인시, 생각대로 동백 기흥 구성지점,11:00~01:00,"월급4,500,000",38분전
경기 용인시, 생각대로 용인처인지점,11:00~01:00,"월급4,500,000",39분전
경북 경산시, 생각대로 경산TFC2,시간협의,"일급180,000",39분전
경기 안양시, 생각대로 동안지사,10:00~10:00,"건별3,300",39분전
경기 용인시, 생각대로 용인죽전지점,11:00~01:00,"월급4,500,000",40분전
부산 북구, 생각대로 화명2호점,09:00~03:00,"건별3,000",40분전
부산 북구, 생각대로 화명2호점,09:00~03:00,"건별3,000",40분전
부산 북구, 생각대로 화명2호점,09:00~03:00,"건별3,000",40분전
대구 달성군, 생각대로 현풍지부,00:00~24:00,"건별3,300",42분전
