place,title,time,pay,date
서울 서초구, 신세계백화점 강남점,10:30~18:30,"시급8,800",59분전
경기 용인시, 신세계 경기점,10:00~18:00,"시급8,800",1시간전
서울 전체, 신세계백화점 본점,10:00~18:00,"시급8,800",1시간전
서울 전체, 신세계백화점 본점,10:00~18:00,"시급8,800",1시간전
서울 전체, 신세계백화점 본점,11:30~19:30,"시급8,800",1시간전
서울 서초구, 신세계백화점 강남점,10:00~18:00,"시급8,800",1시간전
서울 서초구, 신세계백화점 강남점,10:30~18:30,"시급8,800",04/04
서울 서초구, 신세계백화점 본사,09:00~17:00,"시급8,800",04/04
대구 동구, 신세계백화점 대구점,10:00~18:00,"시급8,800",04/03
경기 전체, 신세계 경기점,10:30~18:30,"시급8,800",04/02
경남 김해시, 신세계백화점 김해점,11:00~19:00,"시급8,800",04/01
서울 전체, 신세계백화점 본점,12:00~20:00,"시급8,800",03/24
서울 서초구, 신세계백화점 강남점,09:30~17:30,"시급8,800",03/23
서울 서초구, 신세계백화점 강남점,10:30~18:30,"시급8,800",03/23
부산 해운대, 신세계백화점 센텀시티점,10:30~18:30,"시급8,800",03/22
