place,title,time,pay,date
서울 영등포, (주)우아한청년들,12:00~21:00,"시급9,000",6시간전
서울 성동구, (주)우아한청년들,12:00~21:00,"시급9,000",6시간전
경기 수원시, (주)우아한청년들,시간협의,"시급9,000",14시간전
서울 성동구, (주)우아한청년들,12:00~21:00,"시급9,000",04/04
서울 은평구, (주)우아한청년들,시간협의,"시급9,000",03/30
서울 강남구, (주)우아한청년들,시간협의,"시급9,000",03/30
서울 성동구, (주)우아한청년들,00:00~24:00,"시급8,720",03/30
서울 도봉구, (주)우아한청년들,00:00~24:00,"시급8,720",03/30
서울 관악구, (주)우아한청년들,00:00~24:00,"시급8,720",03/30
서울 강남구, (주)우아한청년들,00:00~24:00,"시급8,720",03/30
서울 송파구, (주)우아한청년들,00:00~24:00,"시급8,720",03/26
경기 성남시, (주)우아한청년들,00:00~24:00,"시급8,720",03/26
서울 서초구, (주)우아한청년들,00:00~24:00,"시급8,720",03/26
서울 강남구, (주)우아한청년들,00:00~24:00,"시급8,720",03/26
서울 관악구, (주)우아한청년들,00:00~24:00,"시급8,720",03/26
