place,title,time,pay,date
서울 강남구, 한무쇼핑(주),10:00~19:30,"시급8,800",51분전
충북 청주시, 현대백화점 충청점,14:00~18:30,"시급8,800",1시간전
서울 강남구, 현대백화점,09:30~19:30,"시급10,245",1시간전
서울 강남구, 현대백화점,09:30~19:30,"시급10,245",1시간전
서울 강남구, 현대백화점,09:00~19:00,"시급8,800",1시간전
서울 강남구, 현대백화점,09:00~19:00,"시급8,800",1시간전
울산 남구, 현대백화점,13:00~17:00,"시급8,800",2시간전
서울 영등포, 더현대서울,시간협의,"시급8,800",2시간전
서울 강남구, 현대백화점 무역센터점,10:30~18:30,"시급10,064",2시간전
경기 부천시, 현대백화점 중동점,11:30~20:30,"시급8,800",3시간전
서울 강남구, 현대백화점 무역센터점,10:00~19:00,"시급8,800",3시간전
서울 강동구, 현대백화점 천호점,09:00~18:00,"시급8,800",4시간전
경기 김포시, 현대프리미엄아울렛 김포점,12:00~21:30,"시급8,800",4시간전
서울 강동구, 현대백화점 천호점,09:00~18:00,"시급8,800",7시간전
경기 성남시, 현대백화점 판교점,10:00~19:30,"시급10,000",04/04
서울 구로구, 현대백화점,10:00~17:00,"시급8,800",04/04
경기 고양시, 현대백화점 킨텍스점,10:00~19:30,"시급8,800",04/03
충북 청주시, 현대백화점 충청점,10:00~19:30,"시급8,800",04/02
서울 강남구, 현대백화점 무역센터점,10:30~20:00,"시급8,800",04/01
서울 성북구, 현대백화점 미아점,10:00~19:30,"시급8,800",03/29
경기 성남시, 현대백화점 판교점,10:00~19:30,"시급10,000",03/21
