place,title,time,pay,date
경남 김해시, (주)포베이,10:00~21:00,"시급9,000",42분전
부산 부산진, 홍대개미 롯대백화점 부산본점,10:00~20:00,"월급1,850,000",48분전
서울 강남구, 홍대개미 파르나스몰점,10:00~22:00,"월급2,100,000",55분전
광주 서구, 홍대개미상무점,09:30~21:00,"월급2,500,000",1시간전
경기 안산시, 홍대개미,10:00~17:00,"시급8,720",1시간전
서울 강남구, 홍대개미 강남역점,10:00~20:00,"월급2,100,000",2시간전
부산 북구, 홍대개미 덕천점,09:30~21:00,"월급2,200,000",2시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,10:00~20:00,"월급1,850,000",3시간전
광주 서구, 홍대개미 신세계백화점 광주점,11:00~20:00,"월급1,850,000",3시간전
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",3시간전
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",3시간전
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",3시간전
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",3시간전
경기 안양시, 홍대개미 범계점,10:00~21:30,"월급2,200,000",3시간전
서울 중구, 홍대개미신세계백화점본점,10:00~20:00,"월급1,850,000",3시간전
경기 안산시, 홍대개미,10:00~22:00,"월급2,650,000",4시간전
경기 안산시, 홍대개미,10:00~22:00,"월급2,650,000",4시간전
경기 안산시, 홍대개미,10:00~22:00,"월급2,650,000",4시간전
경기 안산시, 홍대개미,10:00~22:00,"월급2,650,000",4시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,10:00~20:00,"월급1,850,000",4시간전
광주 서구, 홍대개미 신세계백화점 광주점,11:00~20:00,"월급1,850,000",4시간전
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~19:00,"월급1,850,000",4시간전
서울 용산구, 홍대개미 서울역사점,11:30~21:30,"월급1,850,000",5시간전
부산 부산진, 홍대개미 롯대백화점 부산본점,10:00~20:00,"월급1,850,000",5시간전
서울 강남구, [홍대개미] 파르나스몰점,10:00~20:00,"월급2,150,000",5시간전
서울 중구, 홍대개미신세계백화점본점,11:00~20:00,"시급8,720",5시간전
부산 북구, 홍대개미 덕천점,09:30~21:00,"월급2,200,000",6시간전
부산 해운대, 홍대개미 신세계백화점센텀시티점,09:00~19:00,"월급1,850,000",6시간전
서울 전체, 홍대개미 공덕점,시간협의,"월급1,850,000",6시간전
서울 중구, 홍대개미신세계백화점본점,11:00~20:00,"시급8,720",7시간전
광주 서구, 홍대개미상무점,09:30~21:00,"월급2,500,000",7시간전
광주 서구, 홍대개미상무점,09:30~21:00,"월급2,500,000",7시간전
서울 전체, 홍대개미 공덕점,시간협의,"월급1,850,000",7시간전
경남 창원시, 홍대개미 창원점,시간협의,"시급8,720",8시간전
광주 서구, 홍대개미 신세계백화점 광주점,11:00~20:00,"월급1,850,000",13시간전
서울 전체, 홍대개미 공덕점,시간협의,"월급1,850,000",04/04
광주 서구, 홍대개미상무점,10:00~21:00,"월급2,500,000",04/03
광주 서구, 홍대개미 신세계백화점 광주점,11:00~20:00,"월급1,850,000",04/02
경남 창원시, 홍대개미 창원점,시간협의,"월급2,500,000",04/02
서울 강남구, 홍대개미 강남역점,10:00~20:00,"월급2,100,000",04/02
서울 전체, 홍대개미 공덕점,시간협의,"월급1,850,000",04/02
부산 북구, 홍대개미 덕천점,09:30~21:00,"월급2,200,000",03/31
경기 안성시, 홍대개미 스타필드 안성,시간협의,"시급9,000",03/29
경기 안성시, 홍대개미 스타필드 안성,시간협의,"시급9,000",03/29
경기 평택시, 홍대개미 스타필드 안성,시간협의,"시급9,000",03/29
경기 평택시, 홍대개미 스타필드 안성,시간협의,"시급9,000",03/29
경기 평택시, 홍대개미 스타필드 안성,시간협의,"시급9,000",03/29
경기 안성시, 홍대개미 스타필드 안성점,시간협의,"시급9,000",03/29
경기 안성시, 홍대개미 스타필드 안성점,시간협의,"시급9,000",03/29
경기 평택시, 홍대개미 스타필드 안성점,시간협의,"시급9,000",03/29
경기 평택시, 홍대개미 스타필드 안성점,시간협의,"시급9,000",03/29
경기 평택시, 홍대개미 스타필드 안성점,시간협의,"시급9,000",03/29
부산 북구, 홍대개미 덕천점,09:30~21:00,"월급2,200,000",03/22
부산 북구, 홍대개미 덕천점,09:30~21:00,"월급2,200,000",03/21
