place,title,time,pay,date
울산 중구, 용범이네 인계동껍데기 울산성남점,16:00~00:00,"월급2,000,000",1시간전
울산 중구, 용범이네 인계동껍데기 울산성남점,16:00~00:00,"월급2,000,000",1시간전
울산 중구, 용범이네 인계동껍데기 울산성남점,16:00~00:00,"월급2,000,000",1시간전
대구 달서구, 바로고대구성서허브,시간협의,"일급150,000",1시간전
서울 강남구, 퀸슈가링왁싱 선릉본점,12:00~22:00,"일급69,760",1시간전
충남 전체, 우리woori parking,05:00~15:00,"시급10,000",1시간전
전국 전체, 우리woori parking,11:00~20:00,"월급2,400,000",1시간전
전국 전체, 우리woori parking,08:00~18:00,"월급2,400,000",1시간전
충북 청주시, G7  pc,23:00~06:00,"시급8,720",1시간전
대구 수성구, (주)당근에프앤비,10:00~19:00,"월급2,000,000",1시간전
대구 수성구, (주)당근에프앤비,10:00~19:00,"월급2,000,000",1시간전
대구 수성구, (주)당근에프앤비,시간협의,"월급2,000,000",1시간전
서울 성동구, 웨스트 PC방(WEST PC),17:00~22:00,"시급9,500",1시간전
서울 성동구, 웨스트 PC방(WEST PC),17:00~22:00,"시급9,500",1시간전
서울 성동구, 웨스트 PC방(WEST PC),17:00~22:00,"시급9,500",1시간전
경북 구미시, 오이소,17:00~22:00,"시급9,000",2시간전
경북 구미시, 오이소,10:30~03:00,"시급9,000",2시간전
경북 구미시, 오이소,10:30~03:00,"시급9,000",2시간전
경기 광주시, 이든제빵소,10:30~16:30,"시급9,000",2시간전
경기 광주시, 이든제빵소,10:30~16:30,"시급9,000",2시간전
경기 광주시, 이든제빵소,10:30~16:30,"시급9,000",2시간전
서울 중랑구, 29타이,07:00~07:00,"월급2,100,000",2시간전
서울 전체, 29타이,07:00~07:00,"월급2,100,000",2시간전
서울 중랑구, 29타이,07:00~07:00,"월급2,100,000",2시간전
경기 전체, 본죽비빔밥 cafe 가산테라점,11:30~19:30,"시급9,000",2시간전
서울 전체, 본죽비빔밥 cafe 가산테라점,11:30~19:30,"시급9,000",2시간전
경기 전체, 스타덤PC 군포본점,04:00~10:00,"시급8,720",2시간전
대구 달서구, 수 BAR,시간협의,"시급40,000",2시간전
대구 달서구, 수 BAR,시간협의,"시급40,000",2시간전
대구 서구, 수 BAR,시간협의,"시급40,000",2시간전
경기 시흥시, 아이센스리그PC 시흥대야점,17:00~23:00,"시급8,720",3시간전
광주 북구, 본라포네,11:00~17:00,"시급9,000",3시간전
경기 안산시, OTTIMO PIATTO,시간협의,"연봉26,000,000",3시간전
대구 달서구, 바로고대구성서허브,10:00~24:00,"월급5,000,000",3시간전
대구 달서구, 바로고대구성서허브,10:00~24:00,"월급5,000,000",3시간전
경기 용인시, 카페펍,17:00~22:00,"시급9,000",3시간전
경기 용인시, 카페펍,17:00~22:00,"시급9,000",3시간전
경기 평택시, 등촌샤브칼국수동삭점,15:00~21:00,"시급9,000",3시간전
경기 김포시, 맛찬들3.5왕소금구이,18:00~22:00,"시급10,000",3시간전
인천 남동구, 로얄자카르타구월동점,18:00~22:00,"시급9,000",3시간전
부산 기장군, 맥인터내셔널,09:00~18:00,"연봉2,400",3시간전
