place,title,time,pay,date
서울 강남구, CGF(주) 삼첩분식 서울대치점,10:30~22:30,"시급10,000",3시간전
서울 강남구, CGF(주) 삼첩분식 서울대치점,10:30~22:30,"시급10,000",3시간전
서울 강남구, CGF(주) 삼첩분식 서울대치점,10:30~22:30,"시급10,000",3시간전
서울 강남구, CGF(주) 삼첩분식 서울대치점,10:30~22:30,"시급10,000",3시간전
서울 강남구, CGF(주) 삼첩분식 서울대치점,10:30~22:30,"시급10,000",3시간전
전북 전주시, CGF(주) 삼첩분식 전주혁신점,11:00~21:00,"시급9,000",3시간전
전북 전주시, CGF(주) 삼첩분식 전주혁신점,11:00~21:00,"시급9,000",3시간전
전북 전주시, CGF(주) 삼첩분식 전주혁신점,11:00~21:00,"시급9,000",3시간전
전북 전주시, CGF(주) 삼첩분식 전주혁신점,11:00~21:00,"시급9,000",3시간전
전북 전주시, CGF(주) 삼첩분식 전주혁신점,11:00~21:00,"시급9,000",3시간전
경기 성남시, CGF(주) 삼첩분식 성남 수진점,시간협의,"시급8,800",04/04
경기 성남시, CGF(주) 삼첩분식 성남 수진점,시간협의,"시급8,800",04/04
경기 성남시, CGF(주) 삼첩분식 성남 수진점,시간협의,"시급8,800",04/04
경기 성남시, CGF(주) 삼첩분식 성남 수진점,시간협의,"시급8,800",04/04
경기 성남시, CGF(주) 삼첩분식 성남 수진점,시간협의,"시급8,800",04/04
경기 파주시, CGF(주) 삼첩분식 파주운정점,11:00~22:00,"시급8,800",04/04
경기 파주시, CGF(주) 삼첩분식 파주운정점,11:00~22:00,"시급8,800",04/04
경기 파주시, CGF(주) 삼첩분식 파주운정점,11:00~22:00,"시급8,800",04/04
경기 파주시, CGF(주) 삼첩분식 파주운정점,11:00~22:00,"시급8,800",04/04
경기 파주시, CGF(주) 삼첩분식 파주운정점,11:00~22:00,"시급8,800",04/04
경기 화성시, CGF(주) 삼첩분식 경기봉담점,17:00~21:00,"시급9,500",04/04
경기 화성시, CGF(주) 삼첩분식 경기봉담점,17:00~21:00,"시급9,500",04/04
경기 화성시, CGF(주) 삼첩분식 경기봉담점,17:00~21:00,"시급9,500",04/04
경기 화성시, CGF(주) 삼첩분식 경기봉담점,17:00~21:00,"시급9,500",04/04
경기 화성시, CGF(주) 삼첩분식 경기봉담점,17:00~21:00,"시급9,500",04/04
경북 안동시, CGF(주) 삼첩분식 안동점,18:00~22:00,"시급9,000",04/02
경북 안동시, CGF(주) 삼첩분식 안동점,18:00~22:00,"시급9,000",04/02
경북 안동시, CGF(주) 삼첩분식 안동점,18:00~22:00,"시급9,000",04/02
경북 안동시, CGF(주) 삼첩분식 안동점,18:00~22:00,"시급9,000",04/02
경북 안동시, CGF(주) 삼첩분식 안동점,18:00~22:00,"시급9,000",04/02
경기 수원시, CGF(주) 삼첩분식 수원광교점,11:30~14:30,"시급8,720",04/02
경기 수원시, CGF(주) 삼첩분식 수원광교점,11:30~14:30,"시급8,720",04/02
경기 수원시, CGF(주) 삼첩분식 수원광교점,11:30~14:30,"시급8,720",04/02
경기 수원시, CGF(주) 삼첩분식 수원광교점,11:30~14:30,"시급8,720",04/02
경기 수원시, CGF(주) 삼첩분식 수원광교점,11:30~14:30,"시급8,720",04/02
전북 익산시, CGF(주) 존가네 전북익산점,11:30~24:00,"시급8,720",04/02
전북 익산시, CGF(주) 존가네 전북익산점,11:30~24:00,"시급8,720",04/02
전북 익산시, CGF(주) 존가네 전북익산점,11:30~24:00,"시급8,720",04/02
전북 익산시, CGF(주) 존가네 전북익산점,11:30~24:00,"시급8,720",04/02
전북 익산시, CGF(주) 존가네 전북익산점,11:30~24:00,"시급8,720",04/02
대구 중구, CGF(주) 현덕대창 본사직영점,15:30~01:30,"월급3,000,000",03/29
서울 구로구, CGF(주) 덮덮밥 구로점,11:00~23:00,"월급2,500,000",03/28
서울 구로구, CGF(주) 덮덮밥 구로점,11:00~23:00,"월급2,500,000",03/28
서울 구로구, CGF(주) 덮덮밥 구로점,11:00~23:00,"월급2,500,000",03/28
서울 구로구, CGF(주) 덮덮밥 구로점,11:00~23:00,"월급2,500,000",03/28
서울 구로구, CGF(주) 덮덮밥 구로점,11:00~23:00,"월급2,500,000",03/28
경기 안성시, CGF(주) 덮덮밥 안성점,시간협의,"월급2,350,000",03/26
경기 안성시, CGF(주) 덮덮밥 안성점,시간협의,"월급2,350,000",03/26
경기 안성시, CGF(주) 덮덮밥 안성점,시간협의,"월급2,350,000",03/26
경기 안성시, CGF(주) 덮덮밥 안성점,시간협의,"월급2,350,000",03/26
경기 안성시, CGF(주) 덮덮밥 안성점,시간협의,"월급2,350,000",03/26
대구 달서구, CGF(주) 대천국밥 본사직영점,09:00~19:30,"월급2,400,000",03/23
경남 김해시, CGF(주) 존가네 김해 외동점,10:30~18:00,"시급8,720",03/22
경남 김해시, CGF(주) 존가네 김해 외동점,10:30~18:00,"시급8,720",03/22
경남 김해시, CGF(주) 존가네 김해 외동점,10:30~18:00,"시급8,720",03/22
경남 김해시, CGF(주) 존가네 김해 외동점,10:30~18:00,"시급8,720",03/22
경남 김해시, CGF(주) 존가네 김해 외동점,10:30~18:00,"시급8,720",03/22
경북 포항시, CGF(주) 삼첩분식 포항흥해점,11:00~02:00,"시급8,720",03/22
경북 포항시, CGF(주) 삼첩분식 포항흥해점,11:00~02:00,"시급8,720",03/22
경북 포항시, CGF(주) 삼첩분식 포항흥해점,11:00~02:00,"시급8,720",03/22
경북 포항시, CGF(주) 삼첩분식 포항흥해점,11:00~02:00,"시급8,720",03/22
경북 포항시, CGF(주) 삼첩분식 포항흥해점,11:00~02:00,"시급8,720",03/22
