place,title,time,pay,date
인천 연수구, CU 송도더샵퍼스트점,15:00~22:00,"시급8,720",2분전
경기 의정부, CU 의정부역점,23:00~09:00,"시급8,720",4분전
부산 중구, CU 남포롯데점,15:00~22:00,"시급8,720",4분전
광주 전체, CU 광주엠플러스점,시간협의,"시급8,720",4분전
경기 남양주, CU 도농롯데점,15:00~20:00,"시급8,720",5분전
광주 전체, CU 광주엠플러스점,시간협의,"시급8,720",5분전
부산 부산진, CU 신규점,21:00~08:00,"시급8,720",5분전
대구 전체, CU 범어센트럴푸르지오점,22:00~08:00,"시급8,720",6분전
경기 용인시, CU 수지신봉점,00:00~09:00,"시급8,720",6분전
서울 전체, CU 대한상공회의소점,14:00~21:00,"시급9,200",6분전
서울 강남구, CU 대치은마동문점,00:00~08:00,"시급8,720",6분전
경기 여주시, CU 여주태평리점,23:00~09:00,"시급8,720",7분전
인천 연수구, CU 연수4단지점,00:00~07:00,"시급8,720",7분전
서울 강남구, CU 논현신우점,15:00~22:00,"시급8,720",7분전
제주 서귀포, CU 서귀남원태위로점,18:00~01:00,"시급8,720",7분전
경기 부천시, CU 부천금강마을점,00:00~06:00,"시급8,720",8분전
경기 용인시, CU 보정카페거리점,15:00~23:00,"시급8,720",8분전
경기 파주시, CU 파주삼릉점,시간협의,"시급8,720",8분전
경기 화성시, CU 동탄로얄듀크점,13:00~17:00,"시급8,720",8분전
서울 전체, CU 중구해성점,16:00~23:00,"시급9,000",9분전
경기 김포시, CU 하성원산점,06:00~12:00,"시급8,720",9분전
전남 목포시, CU 목포보건소점,23:00~06:00,"시급8,720",10분전
전북 전주시, CU 호성주공점,시간협의,"시급8,720",11분전
경기 김포시, CU 하성원산점,18:00~01:00,"시급8,720",12분전
전북 전주시, CU 호성주공점,01:30~09:30,"시급8,720",12분전
서울 전체, CU 서초그린점,06:00~10:00,"시급8,720",13분전
부산 서구, CU 감천항점,11:00~16:00,"시급8,720",13분전
경남 통영시, CU 통영인평점,22:30~05:30,"시급8,720",13분전
광주 전체, CU 광주엠플러스점,시간협의,"시급8,720",13분전
인천 부평구, CU 부평금호타운점,23:00~06:00,"시급8,720",14분전
부산 서구, CU 부산송도 베스트점,08:00~15:00,"시급8,720",15분전
서울 서대문, CU 홍은벽산점,23:00~07:00,"시급8,720",15분전
경기 부천시, CU 원종사랑점,22:00~06:00,"시급8,720",15분전
경북 칠곡군, CU 칠곡남율점,08:00~22:00,"시급8,720",16분전
경기 화성시, CU 화성구장사거리점,05:00~11:00,"시급8,720",17분전
제주 전체, CU 켄싱턴리조트제주점,19:00~22:00,"시급8,720",17분전
경기 시흥시, CU 목감LH13단지점,16:00~24:00,"시급8,720",18분전
경기 양주시, CU 옥정이편한정문점,15:00~19:00,"시급8,720",18분전
경기 평택시, CU 평택어연IC점,22:00~08:00,"시급10,300",18분전
경기 평택시, CU 평택어연IC점,08:00~15:00,"시급9,400",19분전
경기 안양시, CU 안양삼성초점,23:00~06:00,"시급8,720",20분전
경기 가평군, CU 신규점,21:00~08:00,"시급8,720",20분전
서울 노원구, CU 중계주공점,12:00~23:00,"시급8,720",21분전
경기 성남시, CU 성남소방서점,23:00~06:00,"시급8,720",22분전
부산 부산진, CU 부산시민공원점,20:30~24:00,"시급8,720",22분전
서울 강남구, CU 개포사랑점,08:00~16:00,"시급8,720",22분전
서울 구로구, CU 구로대륭7차점,19:00~22:00,"시급8,720",23분전
경기 수원시, CU 수원수정점,23:00~07:00,"시급8,720",24분전
경북 구미시, CU 구미여헌로점,17:00~24:00,"시급8,720",25분전
경북 칠곡군, 석적솔파크점,16:00~23:00,"시급8,720",25분전
