place,title,time,pay,date
경기 성남시, 왓슨스 본사,16:30~21:30,"시급8,720",1분전
전남 여수시, (주)지에스리테일,10:00~14:30,"시급8,720",1시간전
충북 충주시, (주)지에스리테일,11:00~14:30,"시급8,720",2시간전
경기 김포시, 랄라블라,19:30~23:00,"시급8,720",2시간전
대구 중구, 랄라블라,16:00~18:00,"시급8,720",3시간전
경기 성남시, (주)지에스리테일,11:00~14:00,"시급8,720",3시간전
경기 고양시, (주)지에스리테일,18:00~22:30,"시급8,720",3시간전
서울 동작구, (주)지에스리테일 랄라블라중대점,19:00~22:00,"시급8,720",3시간전
서울 마포구, (주)지에스리테일,11:00~16:00,"시급8,720",4시간전
경기 성남시, (주)지에스리테일,17:30~21:30,"시급8,720",5시간전
서울 강남구, GS리테일 H&B / 강남역점,16:00~19:00,"시급8,720",04/03
경북 경산시, (주)지에스리테일,16:00~18:00,"시급8,720",04/02
서울 강남구, GS리테일 H&B / 강남역점,08:00~11:00,"시급8,720",04/02
경기 고양시, (주)지에스리테일,18:00~22:00,"시급8,720",04/01
서울 동작구, (주)지에스리테일 랄라블라 성대시장점,16:30~20:00,"시급8,720",04/01
전남 여수시, (주)지에스리테일,10:00~14:30,"시급8,720",04/01
전남 여수시, (주)지에스리테일 랄라블라,11:00~16:00,"시급8,720",03/31
전북 전체, (주)지에스리테일,15:00~19:30,"시급8,720",03/24
