place,title,time,pay,date
경기 안성시, KFC 안성중앙로,시간협의,"시급8,720",41분전
서울 영등포, KFC 당산역,시간협의,"시급8,720",44분전
경기 이천시, 이천터미널,시간협의,"시급8,720",51분전
경기 안성시, KFC 안성중앙로,시간협의,"시급8,720",52분전
충북 청주시, 청주메가폴리스,시간협의,"시급8,720",1시간전
경북 포항시, 포항양덕DT,19:00~23:00,"시급8,720",1시간전
경기 부천시, KFC 부천중동,시간협의,"시급8,590",1시간전
서울 강서구, KFC 발산역,시간협의,"시급8,720",2시간전
서울 강남구, 학동역,시간협의,"시급8,720",2시간전
강원 춘천시, 춘천석사,시간협의,"시급8,720",2시간전
강원 춘천시, 춘천석사,시간협의,"시급8,720",2시간전
서울 강남구, 학동역,시간협의,"시급8,720",2시간전
서울 강남구, 학동역,시간협의,"시급8,720",2시간전
서울 강동구, 둔촌동,시간협의,"시급8,720",2시간전
서울 강동구, 둔촌동,시간협의,"시급8,720",2시간전
충북 청주시, 청주수곡DT,17:00~22:30,"시급8,720",2시간전
서울 강동구, 둔촌동,시간협의,"시급8,720",2시간전
서울 강동구, 둔촌동,시간협의,"시급8,720",2시간전
서울 송파구, 석촌역,시간협의,"시급8,720",2시간전
서울 강남구, 코엑스MALL,시간협의,"시급8,720",2시간전
충남 천안시, KFC 천안불당,시간협의,"시급8,720",2시간전
세종 가람동, 세종이마트,시간협의,"시급8,720",2시간전
경기 오산시, 오산DT,시간협의,"시급8,720",2시간전
충북 전체, 청주오창,시간협의,"시급8,720",3시간전
서울 강동구, 천호역,시간협의,"시급8,720",3시간전
서울 강남구, 학동역,17:00~23:00,"시급8,720",3시간전
서울 강동구, 천호역,시간협의,"시급8,720",3시간전
서울 강남구, 학동역,시간협의,"시급8,720",3시간전
충남 천안시, KFC 천안터미널,17:00~23:30,"시급8,720",3시간전
서울 강남구, 역삼역,10:00~23:00,"시급8,720",3시간전
대구 수성구, 대구시지,17:00~23:30,"시급8,720",3시간전
서울 강남구, 역삼역,10:00~23:00,"시급8,720",3시간전
서울 강남구, 역삼역,10:00~23:00,"시급8,720",3시간전
서울 강남구, 역삼역,10:00~23:00,"시급8,720",3시간전
서울 서초구, KFC 강남역점,09:30~16:30,"시급8,720",3시간전
대전 유성구, KFC 노은역,시간협의,"시급8,720",3시간전
대구 중구, 대구문화동,17:00~24:00,"시급8,720",3시간전
충북 전체, 청주오창,시간협의,"시급8,720",3시간전
대구 중구, 대구문화동,17:00~24:00,"시급8,720",4시간전
인천 남동구, 인천논현,시간협의,"시급8,720",4시간전
경기 고양시, 일산장항,시간협의,"시급8,720",4시간전
충북 전체, 청주오창,시간협의,"시급8,720",4시간전
강원 춘천시, 춘천이마트,10:00~22:00,"시급87,230",4시간전
강원 춘천시, 춘천이마트,시간협의,"시급8,720",4시간전
부산 부산진, 부산서면,시간협의,"시급8,720",4시간전
서울 성북구, KFC 고대안암,시간협의,"시급8,720",4시간전
충북 청주시, 청주수곡DT,09:30~23:30,"시급8,720",5시간전
경기 안양시, 관양1,16:00~23:30,"시급8,720",5시간전
광주 북구, 광주용봉DT,시간협의,"시급8,720",5시간전
경기 고양시, 일산장항,시간협의,"시급8,720",7시간전
서울 강서구, KFC 발산역,시간협의,"시급8,720",7시간전
경기 부천시, KFC 부천중동,시간협의,"시급8,720",8시간전
서울 강남구, 역삼역,10:00~23:00,"시급8,720",10시간전
경기 수원시, 영통씨네마,시간협의,"시급8,720",10시간전
경기 이천시, 이천터미널,시간협의,"시급8,720",19시간전
경기 부천시, 웅진플레이도시,시간협의,"월급2,040,000",04/04
서울 금천구, KFC 독산동,시간협의,"연봉23,500,000",04/04
경기 용인시, 용인상현,시간협의,"시급8,720",04/04
경기 부천시, 부천상동HP,시간협의,"연봉24,000,000",04/04
서울 강동구, 천호역,16:00~24:00,"시급8,720",04/04
경기 안성시, KFC 안성중앙로,시간협의,"시급8,720",04/04
경기 수원시, 수원인계DT,시간협의,"연봉24,000,000",04/04
경기 용인시, 용인명지DT,15:00~24:00,"연봉23,600,000",04/04
경기 용인시, 용인명지DT,09:30~23:00,"시급8,720",04/04
광주 서구, 광주터미널,시간협의,"시급8,720",04/04
경기 수원시, 수원인계DT,15:00~24:00,"연봉24,000,000",04/04
경기 화성시, 동탄,16:00~23:00,"시급8,720",04/04
대전 유성구, KFC 유성온천,09:00~17:00,"시급8,720",04/04
대전 유성구, KFC 유성온천,11:00~24:00,"시급8,720",04/04
충남 아산시, 아산터미널,16:00~22:30,"시급8,720",04/04
경기 평택시, 평택,17:00~23:00,"시급8,720",04/03
경남 창원시, 창원상남동,17:00~24:00,"시급8,720",04/03
경남 창원시, 창원더시티세븐,17:00~23:00,"시급8,720",04/03
대구 달서구, 상인네거리,00:00~01:00,"시급8,720",04/03
대구 달서구, 상인네거리,00:00~01:00,"시급8,720",04/03
대구 달서구, 상인네거리,00:00~01:00,"시급8,720",04/03
대구 달서구, 상인네거리,00:00~01:00,"시급8,720",04/03
대구 달서구, 상인네거리,00:00~01:00,"시급8,720",04/03
서울 송파구, 석촌역,시간협의,"시급8,720",04/03
경기 안양시, KFC 안양일번가,시간협의,"시급8,720",04/03
서울 송파구, 잠실,시간협의,"시급8,720",04/03
서울 송파구, 개롱역,09:00~24:00,"시급8,720",04/03
경기 성남시, 정자역,17:00~00:30,"시급8,720",04/03
경기 성남시, 정자역,17:00~00:30,"시급8,720",04/03
경기 성남시, 정자역,11:00~17:00,"시급8,720",04/03
대구 수성구, 대구시지,17:00~23:30,"시급8,720",04/02
서울 영등포, 동여의도,16:00~23:00,"시급8,720",04/02
충남 아산시, 아산터미널,16:00~22:30,"시급8,720",04/02
경기 고양시, KFC 행신역,17:00~24:00,"시급8,720",04/02
서울 중랑구, 사가정,18:00~01:30,"시급8,720",04/01
