place,title,time,pay,date
경남 창원시, 동부셀프주유소,12:00~18:00,"시급8,720",5시간전
전국 전체, sk섬마을주유소,08:00~18:00,"월급2,900,000",6시간전
서울 영등포, SK행촌주유소,07:00~15:00,"시급8,920",6시간전
경기 안산시, 신양주유소,시간협의,"시급8,800",6시간전
울산 중구, 북부순환셀프주유소,09:00~16:00,"시급8,800",8시간전
경기 시흥시, 파워디젤주유소,09:30~20:00,"시급8,720",9시간전
경기 의왕시, 에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,400,000",11시간전
경기 의왕시, 에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,400,000",11시간전
경기 의왕시, 에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,400,000",11시간전
광주 광산구, SK에너지 SK수완셀프주유소,10:00~19:00,"시급8,720",12시간전
서울 마포구, 주)만성상사,13:00~21:00,"월급2,154,000",12시간전
경북 상주시, (주)동양이룸이에스,06:00~14:00,"시급8,720",13시간전
경기 수원시, SK드림주유소,06:00~13:00,"시급8,720",13시간전
대전 유성구, SK에너지 황제주유소/황제충전소,시간협의,"월급2,300,000",14시간전
대전 유성구, SK에너지 황제주유소,시간협의,"시급8,720",14시간전
광주 광산구, SK에너지 SK수완셀프주유소,15:00~19:00,"시급10,000",15시간전
경기 의왕시, 에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,400,000",04/04
경기 의왕시, 에이치지에너지(주)대원주유소 self,09:00~19:00,"월급2,400,000",04/04
경기 안산시, (주)대한석유한대역주유소,10:00~20:00,"월급2,650,000",04/03
광주 북구, (주)광주화물터미널,06:00~13:00,"시급8,720",04/03
경남 창원시, 북창원주유소,10:00~16:00,"시급8,800",04/02
서울 서대문, 행촌제2주유소,06:00~14:00,"시급8,720",04/02
광주 북구, 첨단북광주IC주유소,13:00~19:00,"시급8,720",04/02
광주 북구, 첨단북광주IC주유소,07:00~13:00,"시급8,720",04/02
경기 안산시, 신양주유소,시간협의,"시급8,800",04/02
광주 광산구, SK에너지 SK수완셀프주유소,15:00~19:00,"시급10,000",04/02
광주 광산구, SK에너지 SK수완셀프주유소,15:00~19:00,"시급10,000",04/01
경기 안성시, 연세석유주식회사,07:00~12:00,"시급8,720",04/01
인천 서구, 청라에너지,14:00~22:00,"월급1,901,380",04/01
서울 서대문, 행촌제2주유소,06:00~14:00,"시급8,720",04/01
충남 천안시, 동일석유(주)천안동일주유소,시간협의,"시급8,720",03/31
경기 안산시, (주)대한석유한대역주유소,23:00~09:00,"일급130,000",03/30
경남 양산시, SK에너지(주)천마주유소,15:00~18:00,"시급9,000",03/30
전국 전체, sk섬마을주유소,08:00~18:00,"월급2,900,000",03/30
경기 광주시, 서민행복주유소,05:00~14:00,"시급8,720",03/30
인천 전체, (주)태평석유 동성제2주유소,09:00~21:00,"연봉40,000,000",03/30
경남 창원시, 북창원주유소,10:00~16:00,"시급8,800",03/30
경북 상주시, SK에너지 경천주유소,08:30~19:00,"월급2,000,000",03/30
서울 강남구, 논현주유소,08:00~19:00,"월급2,447,000",03/30
전북 전주시, SK샘물주유소 (만성버거킹SK점 옆),11:00~18:00,"시급9,000",03/30
경북 구미시, (주)동양이룸이에스,06:00~14:00,"시급8,720",03/29
울산 남구, 신새벽주유소,13:00~18:00,"시급8,720",03/29
경기 용인시, 풍덕천셀프주유소,09:00~18:00,"시급8,720",03/29
경기 용인시, SK에너지 풍덕천셀프주유소,09:00~18:00,"월급2,350,000",03/29
경기 포천시, (주)태봉에너지,10:00~19:30,"월급2,100,000",03/29
서울 동대문, 삼영주유소,10:00~17:00,"시급8,720",03/29
서울 동대문, 삼영주유소,08:00~16:00,"시급8,720",03/29
경북 포항시, 미소주유소,10:00~19:00,"시급9,000",03/26
경북 포항시, 태성주유소,10:00~19:00,"시급9,000",03/26
광주 북구, 성실셀프주유소,11:00~19:00,"시급8,750",03/25
경기 오산시, KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",03/25
경기 오산시, KH에너지(주)직영 오산주유소(과천),10:00~19:00,"월급2,721,000",03/25
전남 장성군, (주)세승 동화주유소,15:00~20:00,"시급8,800",03/24
경기 오산시, KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",03/24
경기 오산시, KH에너지(주)직영 오산주유소(과천),10:00~19:00,"월급2,721,000",03/24
경기 오산시, 기룡셀프주유소,15:00~21:00,"시급8,720",03/24
경기 오산시, 기룡셀프주유소,15:00~21:00,"시급8,720",03/23
경기 오산시, KH에너지(주)직영 오산주유소(동탄),10:00~19:00,"월급2,720,000",03/23
경기 오산시, KH에너지(주)직영 오산주유소(과천),10:00~19:00,"월급2,721,000",03/23
경기 안산시, 준오토조이(주)성우주유소,08:00~19:00,"월급2,600,000",03/22
서울 강동구, sk해뜨는 셀프 주유소,09:00~19:00,"월급2,300,000",03/22
경기 용인시, 동백시티주유소,10:00~18:00,"시급8,720",03/21
경기 오산시, 기룡셀프주유소,15:00~21:00,"시급8,720",03/21
경기 여주시, 성신주유소,시간협의,"월급2,000,000",03/21
경기 여주시, 성신주유소,시간협의,"월급2,000,000",03/21
경기 남양주, SK에너지 호평첨단주유소,07:30~16:00,"시급8,720",03/21
광주 광산구, 태양주유소,12:00~19:00,"시급8,720",03/19
인천 남동구, 한사랑주유소,06:00~14:00,"시급8,720",03/19
대구 동구, 국제주유소,10:00~18:00,"시급8,720",03/19
대구 동구, 국제주유소,12:00~18:00,"시급8,720",03/19
인천 중구, 한국2주유소,시간협의,"시급8,720",03/18
경기 광주시, 서민주유소,08:00~18:00,"시급9,000",03/18
경기 양평군, 승리주유소,08:00~16:00,"월급2,000,000",03/18
경기 양평군, 승리주유소,08:00~16:00,"월급2,000,000",03/18
경기 광주시, 기름나라주유소,15:00~24:00,"월급2,350,000",03/17
울산 울주군, 그린주유소수소복합충전소,09:00~19:00,"월급3,000,000",03/16
인천 전체, 에스케이에너지(주) 스카이파크주유소,15:00~24:00,"월급2,700,000",03/16
경기 광주시, 기름나라주유소,15:00~24:00,"월급2,350,000",03/16
인천 전체, (주)태평석유 동성제2주유소,09:00~21:00,"연봉40,000,000",03/16
