place,title,time,pay,date
대전 서구, TGIF 롯데대전점,시간협의,"시급8,720",2시간전
경기 용인시, TGI FRIDAYS 롯데몰수지점,시간협의,"시급8,720",5시간전
경기 용인시, TGI FRIDAYS 롯데몰수지점,시간협의,"시급8,720",5시간전
경기 용인시, TGI FRIDAYS 롯데몰수지점,시간협의,"시급8,720",5시간전
서울 노원구, TGIF 노원점,18:00~21:30,"시급8,720",7시간전
경기 고양시, TGIF 롯데일산점,17:00~23:00,"시급8,720",8시간전
경기 수원시, TGIF 수원롯데몰점,11:00~22:30,"시급8,720",9시간전
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,720",9시간전
대전 서구, TGIF 롯데대전점,시간협의,"시급8,720",12시간전
경기 용인시, TGI FRIDAYS 롯데몰수지점,시간협의,"시급8,720",14시간전
경기 용인시, TGI FRIDAYS 롯데몰수지점,시간협의,"시급8,720",14시간전
대전 서구, TGIF 롯데대전점,시간협의,"시급8,720",04/04
서울 강남구, (주)롯데리아 더푸드하우스 수서역사점,15:00~22:00,"시급8,720",04/04
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,720",04/04
경기 수원시, TGIF 수원롯데몰점,17:00~22:30,"시급8,720",04/03
경기 수원시, TGIF 수원롯데몰점,11:00~22:30,"시급8,720",04/03
경기 고양시, TGIF 롯데일산점,시간협의,"시급8,720",04/02
경기 고양시, TGIF 롯데일산점,17:00~23:00,"시급8,720",04/02
경기 고양시, TGIF 롯데일산점,17:00~23:00,"시급8,720",04/01
서울 강남구, (주)롯데리아 더푸드하우스 수서역사점,15:00~22:00,"시급8,720",03/29
서울 강남구, (주)롯데리아 더푸드하우스 수서역사점,시간협의,"시급8,720",03/27
서울 영등포, TGIF 롯데영등포점,17:30~22:30,"시급8,720",03/25
경기 고양시, TGIF 롯데일산점,17:00~23:00,"시급8,720",03/25
서울 강남구, (주)롯데리아 더푸드하우스 수서역사점,07:00~16:00,"시급8,720",03/23
