place,title,time,pay,date
경기 수원시, 교촌치킨 고색,17:00~23:00,"시급11,000",4분전
경기 수원시, 교촌치킨 고색,18:00~23:00,"시급9,000",4분전
서울 송파구, 교촌치킨 서울동부 문정법조점,12:00~24:00,"월급3,200,000",5분전
서울 송파구, 교촌치킨 서울동부 문정법조점,17:00~24:00,"시급9,000",5분전
부산 금정구, 교촌치킨 부산대,17:00~22:00,"시급8,720",6분전
서울 도봉구, 교촌치킨 창동,17:30~11:00,"시급8,800",10분전
경기 안양시, 교촌치킨 안양 호계1호,17:00~22:00,"시급9,000",11분전
경기 김포시, 교촌치킨 김포 고촌,17:00~24:00,"시급10,000",12분전
경기 김포시, 교촌치킨 양곡점,17:00~24:00,"시급13,000",12분전
서울 마포구, 교촌치킨 서울 아현점,12:00~24:00,"월급3,200,008",12분전
경기 김포시, 교촌치킨 김포 고촌,17:00~24:00,"시급9,000",12분전
서울 전체, 교촌치킨 서울 신촌,14:00~02:00,"월급3,100,000",13분전
서울 마포구, 교촌치킨 서울 홍대,14:00~02:00,"월급3,200,000",13분전
경기 평택시, 교촌치킨 경기남부 비전2호점,18:00~24:00,"시급9,000",16분전
경기 이천시, 교촌치킨 이천관고점,17:00~23:00,"시급9,000",16분전
경기 평택시, 교촌치킨 경기남부 비전2호점,18:00~24:00,"시급12,000",16분전
경북 경산시, 교촌치킨 경산 계양사동,18:00~24:00,"시급8,720",20분전
인천 남동구, 교촌치킨 소래포구,18:00~24:00,"시급10,000",27분전
서울 전체, 교촌치킨 서울 신공덕,12:00~00:30,"월급3,200,000",30분전
서울 전체, 교촌치킨 서울 신공덕,12:00~00:30,"월급3,200,000",31분전
부산 남구, 교촌치킨 부산 용호1호,17:00~23:30,"시급9,300",34분전
서울 강동구, 교촌치킨 길1호,18:00~22:00,"시급9,000",38분전
부산 사상구, 교촌치킨 부산중서부 동서대점,18:00~22:00,"시급8,720",39분전
인천 남동구, 교촌치킨 소래포구,18:00~24:00,"시급10,000",40분전
서울 강동구, 교촌치킨 서울 길1호,18:00~23:00,"시급9,000",40분전
서울 강동구, 교촌치킨 길1호,18:00~24:00,"시급11,000",40분전
서울 강동구, 교촌치킨 서울 길1호,17:00~24:00,"시급11,000",41분전
제주 제주시, 교촌치킨 아라이도,12:00~24:00,"월급2,800,000",42분전
부산 동래구, 교촌치킨 부산동부 수안점,05:30~11:30,"시급9,000",46분전
제주 제주시, 교촌치킨 아라,12:00~24:00,"월급2,800,000",47분전
서울 영등포, 교촌치킨 서울 여의도,11:00~24:00,"월급3,300,000",53분전
대구 북구, 교촌치킨 학정,18:00~01:00,"시급9,000",53분전
서울 영등포, 교촌치킨 서울 여의도,11:00~24:00,"시급11,000",53분전
서울 영등포, 교촌치킨 서울 여의도,11:00~24:00,"월급3,300,000",54분전
서울 영등포, 교촌치킨 서울 여의도,11:00~24:00,"월급3,300,000",55분전
경기 성남시, 교촌치킨 동천1호점,17:00~23:00,"일급90,000",55분전
경기 안양시, 교촌치킨 범계,시간협의,"시급9,000",56분전
경기 안양시, 교촌치킨 범계,시간협의,"시급9,000",56분전
경기 안양시, 교촌치킨 범계,시간협의,"시급9,000",57분전
부산 해운대, 교촌치킨 부산 좌동1호,18:00~22:00,"시급8,720",57분전
부산 해운대, 교촌치킨 부산 좌동1호,18:00~21:00,"시급8,720",57분전
경기 안양시, 교촌치킨 범계,시간협의,"시급9,000",59분전
전남 광양시, 교촌치킨 중마2호,시간협의,"시급8,750",1시간전
경남 창원시, 교촌치킨 창원 봉곡사림,18:00~23:00,"시급8,720",1시간전
전북 전주시, 교촌치킨 전북 효천점,17:00~24:00,"시급9,000",1시간전
전북 전주시, 교촌치킨 전북 효천점,12:00~24:00,"시급9,500",1시간전
전북 전주시, 교촌치킨 전북 효천점,17:00~24:00,"시급10,000",1시간전
서울 도봉구, 교촌치킨 창동,18:00~23:00,"시급11,000",1시간전
광주 북구, 교촌치킨 첨단신용점,18:00~22:00,"시급8,720",1시간전
광주 북구, 교촌치킨 첨단신용점,18:00~22:00,"시급8,720",1시간전
광주 북구, 교촌치킨 첨단신용점,18:00~22:00,"시급8,720",1시간전
광주 북구, 교촌치킨 첨단신용점,18:00~22:00,"시급8,720",1시간전
광주 북구, 교촌치킨 연제,18:00~00:00,"시급9,000",1시간전
전남 순천시, 교촌치킨 순천 남부,18:00~24:00,"시급8,720",1시간전
전남 순천시, 교촌치킨 순천 남부,18:00~24:00,"시급8,720",1시간전
전남 순천시, 교촌치킨 순천 남부,18:00~24:00,"시급8,720",1시간전
전남 순천시, 교촌치킨 순천 남부,18:00~24:00,"시급8,720",1시간전
전남 순천시, 교촌치킨 순천 남부,18:00~24:00,"시급8,720",1시간전
경기 광명시, 교촌치킨 천왕역,17:00~24:00,"시급10,000",1시간전
서울 구로구, 교촌치킨 천왕역,17:00~24:00,"시급10,000",1시간전
서울 구로구, 교촌치킨 천왕역,17:00~24:00,"시급10,000",1시간전
서울 구로구, 교촌치킨 천왕역,17:00~24:00,"시급8,720",1시간전
경기 광명시, 교촌치킨 천왕역,17:00~24:00,"시급8,720",1시간전
경기 광명시, 교촌치킨 광명 하안1호,09:00~13:00,"시급10,000",1시간전
경기 남양주, 교촌치킨 남양주 도농1호,18:00~22:00,"시급8,720",1시간전
경기 부천시, 교촌치킨 복사골,18:00~24:00,"시급8,720",1시간전
인천 남동구, 교촌치킨 소래포구,18:00~24:00,"시급10,000",1시간전
경남 창원시, 교촌치킨 상남,18:00~01:00,"시급9,500",2시간전
경남 창원시, 교촌치킨 상남,18:00~01:00,"시급8,800",2시간전
서울 도봉구, 교촌치킨 창동,23:00~01:00,"시급10,500",2시간전
인천 연수구, 교촌치킨 인천 선학연수3호,시간협의,"시급10,500",2시간전
경기 의정부, 교촌치킨 회룡역점,시간협의,"월급2,750,000",2시간전
인천 연수구, 교촌치킨 인천 선학연수3호,18:00~01:00,"시급10,500",2시간전
서울 강남구, 교촌치킨 도곡,18:00~24:00,"시급9,000",2시간전
경기 군포시, 교촌치킨 경기중부 금정역점,12:00~24:00,"월급3,000,000",2시간전
서울 중랑구, 교촌치킨 서울 신내1호,18:00~21:00,"시급8,720",2시간전
서울 중랑구, 교촌치킨 서울 신내1호,18:00~22:00,"시급8,720",2시간전
부산 금정구, 교촌치킨 구서1호,17:00~24:00,"시급9,000",2시간전
부산 금정구, 교촌치킨 구서1호,17:00~24:00,"시급9,000",2시간전
부산 금정구, 교촌치킨 구서1호,17:00~24:00,"시급9,000",2시간전
인천 서구, 교촌치킨 인천 당하,17:00~22:00,"시급11,000",2시간전
서울 강동구, 교촌치킨 서울동부 명일1호점,17:00~24:00,"시급9,000",2시간전
전북 김제시, 교촌치킨 김제,12:00~24:00,"시급9,000",2시간전
서울 동대문, 교촌치킨 청량리역점,18:00~01:00,"시급10,000",2시간전
서울 동대문, 교촌치킨 청량리역점,18:00~01:00,"시급10,000",2시간전
서울 마포구, 교촌치킨 신수,18:00~23:00,"시급10,500",2시간전
서울 동대문, 교촌치킨 청량리역점,18:00~01:00,"시급10,000",2시간전
서울 마포구, 교촌치킨 신수,18:00~23:00,"시급10,500",2시간전
대구 중구, 교촌치킨 대구 남산대신,17:00~24:00,"시급8,720",2시간전
서울 마포구, 교촌치킨 신수,18:00~23:00,"시급11,000",2시간전
서울 마포구, 교촌치킨 신수,18:00~23:00,"시급11,000",2시간전
서울 마포구, 교촌치킨 신수,18:00~23:00,"시급11,000",2시간전
경기 부천시, 교촌치킨 복사골,18:00~24:00,"시급8,720",2시간전
부산 해운대, 교촌치킨 반여1호점,18:00~22:00,"시급10,000",2시간전
경기 수원시, 교촌치킨 화서1호,18:00~24:00,"시급9,000",2시간전
경기 의정부, 교촌치킨 녹양점,18:00~24:00,"시급8,720",2시간전
경기 수원시, 교촌치킨 병점1호,12:00~24:00,"시급12,000",2시간전
경기 오산시, 교촌치킨 병점1호,12:00~24:00,"시급12,000",2시간전
경북 경산시, 교촌치킨 경산 계양사동,18:00~24:00,"시급8,720",2시간전
광주 서구, 교촌치킨 화정1호점,18:00~24:00,"시급9,500",2시간전
광주 서구, 교촌치킨 화정1호점,18:00~24:00,"시급9,500",2시간전
광주 서구, 교촌치킨 화정1호점,18:00~24:00,"시급9,500",2시간전
전북 전주시, 교촌치킨 에코시티,17:00~23:00,"시급8,720",2시간전
서울 용산구, 교촌치킨 서울 신공덕,17:30~23:30,"시급11,000",2시간전
경기 안양시, 교촌치킨 안양1번가,18:00~24:00,"시급9,200",2시간전
서울 마포구, 교촌치킨 서울 신공덕,17:30~23:30,"시급11,000",2시간전
경기 이천시, 교촌치킨 이천 이천1호,17:00~24:00,"시급8,720",2시간전
경기 포천시, 교촌치킨 포천,17:30~23:30,"시급10,000",2시간전
경기 용인시, 교촌치킨 성복,시간협의,"월급3,000,000",2시간전
충남 금산군, 교촌치킨 금산,17:30~22:30,"시급9,000",2시간전
인천 서구, 교촌치킨 가정루원시티점,17:00~24:00,"시급12,000",2시간전
인천 서구, 교촌치킨 가정루원시티점,17:00~24:00,"시급12,000",2시간전
인천 서구, 교촌치킨 가정루원시티점,17:00~24:00,"시급12,000",2시간전
인천 서구, 교촌치킨 가정루원시티점,17:00~24:00,"시급12,000",2시간전
인천 서구, 교촌치킨 가정루원시티점,17:00~24:00,"시급12,000",2시간전
경기 포천시, 교촌치킨 포천,18:00~24:00,"시급8,720",2시간전
경기 오산시, 교촌치킨 오산 세마1호,17:00~23:00,"시급8,720",2시간전
서울 관악구, 교촌치킨 서울 봉천4호,18:00~24:00,"시급11,500",2시간전
서울 관악구, 교촌치킨 서울 봉천4호,18:00~24:00,"시급11,500",2시간전
서울 강동구, 교촌치킨 서울동부 명일1호점,17:00~24:00,"시급9,000",2시간전
서울 종로구, 교촌치킨 서울 숭인,12:00~24:00,"월급2,500,000",3시간전
서울 양천구, 교촌치킨 서울서부 목3동점,14:00~02:00,"월급3,000,000",3시간전
서울 양천구, 교촌치킨 서울서부 목3동점,14:00~02:00,"월급3,000,000",3시간전
서울 강서구, 교촌치킨 서울서부 목3동점,14:00~02:00,"월급3,000,000",3시간전
서울 강서구, 교촌치킨 서울서부 목3동점,14:00~02:00,"월급3,000,000",3시간전
부산 해운대, 교촌치킨 반여1호점,18:00~22:00,"시급10,000",3시간전
경기 광명시, 교촌치킨 광명 소하1호,18:00~22:00,"시급9,000",3시간전
경기 광명시, 교촌치킨 광명 소하1호,18:00~23:30,"시급11,500",3시간전
경기 광명시, 교촌치킨 광명 소하1호,18:00~23:00,"시급11,500",3시간전
전남 여수시, 교촌치킨 여수 문수,05:00~24:00,"시급8,720",3시간전
인천 미추홀, 교촌치킨 인천 도화점,시간협의,"시급10,500",3시간전
경기 수원시, 교촌치킨 화서1호,17:00~24:00,"시급9,000",3시간전
서울 강동구, 교촌치킨 서울 길1호,18:00~23:00,"시급9,000",3시간전
서울 강동구, 교촌치킨 길1호,18:00~22:00,"시급9,000",3시간전
서울 강동구, 교촌치킨 서울 길1호,17:00~24:00,"시급11,000",3시간전
서울 강동구, 교촌치킨 길1호,18:00~24:00,"시급11,000",3시간전
전북 익산시, 교촌치킨 함열,18:00~23:00,"월급1,300,000",3시간전
부산 금정구, 교촌치킨 구서1호,17:00~24:00,"시급9,000",3시간전
광주 광산구, 교촌치킨 광주 첨단2호,18:00~24:00,"시급10,500",3시간전
광주 광산구, 교촌치킨 선운지구점,18:00~24:00,"시급9,000",3시간전
광주 광산구, 교촌치킨 선운지구점,18:00~24:00,"시급9,000",3시간전
광주 서구, 교촌치킨 광주 상무1호,18:00~01:00,"월급1,600,000",3시간전
서울 강동구, 교촌치킨 서울동부 상일점,17:00~23:00,"시급12,000",3시간전
서울 용산구, 교촌치킨 서울시청,18:00~23:00,"시급10,500",3시간전
서울 용산구, 교촌치킨 서울시청,18:00~23:00,"시급10,500",3시간전
경기 성남시, 교촌치킨 성남 은행1호,18:00~24:00,"시급8,720",3시간전
대구 수성구, 교촌치킨 범어2호,17:00~24:00,"시급9,500",4시간전
경기 의왕시, 교촌치킨 경기 포일내손,18:00~23:00,"시급12,000",4시간전
서울 성북구, 교촌치킨 서울북부 정릉1호점,12:00~24:00,"시급11,000",4시간전
서울 성북구, 교촌치킨 서울북부 정릉1호점,12:00~24:00,"시급9,000",4시간전
서울 강서구, 교촌치킨 서울 화곡1호,18:00~24:00,"시급12,000",4시간전
서울 강동구, 교촌치킨 강일점,17:30~12:00,"시급12,000",4시간전
경남 창원시, 교촌치킨 경남 자은냉천점,17:30~23:00,"시급9,000",4시간전
전남 순천시, 교촌치킨 연향,18:00~24:00,"시급8,800",4시간전
전남 순천시, 교촌치킨 연향,18:00~24:00,"시급9,000",4시간전
경기 이천시, 교촌치킨 이천관고점,16:00~24:00,"시급9,000",4시간전
광주 서구, 교촌치킨 광주 농성1호점,17:00~24:00,"시급8,720",4시간전
인천 남동구, 교촌치킨 인천 구월,12:00~02:00,"시급10,500",4시간전
부산 전체, 교촌치킨 부산중서부지사 전포1호점,시간협의,"시급10,000",4시간전
경기 광명시, 교촌치킨 철산역,16:00~03:30,"월급2,620,000",4시간전
경기 광명시, 교촌치킨 철산역,16:00~03:30,"월급2,620,000",4시간전
경기 광명시, 교촌치킨 철산역,16:00~03:30,"월급2,620,000",4시간전
광주 서구, 교촌치킨 광주 농성1호점,17:00~24:00,"시급8,720",4시간전
광주 서구, 교촌치킨 광주 농성1호점,17:00~24:00,"시급8,800",4시간전
서울 도봉구, 교촌치킨 쌍문1호,18:00~24:00,"시급8,720",4시간전
서울 도봉구, 교촌치킨 쌍문1호,12:00~24:00,"시급8,720",4시간전
서울 양천구, 교촌치킨 서울 화곡1호,18:00~24:00,"시급12,000",4시간전
서울 강서구, 교촌치킨 서울 화곡1호,18:00~24:00,"시급12,000",4시간전
경기 김포시, 교촌치킨 김포 장기1호,17:00~24:00,"연봉40,000,000",4시간전
경기 김포시, 교촌치킨 김포 장기1호,17:00~24:00,"연봉40,000,000",4시간전
경기 김포시, 교촌치킨 김포 장기1호,17:00~24:00,"연봉40,000,000",4시간전
인천 미추홀, 교촌치킨 인천 용현5동,18:00~24:00,"시급11,000",4시간전
서울 도봉구, 교촌치킨 쌍문1호,18:00~24:00,"시급8,720",4시간전
인천 미추홀, 교촌치킨 인천 용현5동,18:00~23:00,"시급9,200",4시간전
서울 도봉구, 교촌치킨 쌍문1호,12:00~24:00,"시급8,720",4시간전
경남 밀양시, 교촌치킨 밀양 내일동,17:00~23:00,"시급9,000",4시간전
경기 이천시, 교촌치킨 이천하이닉스,17:00~23:00,"시급9,000",4시간전
대구 남구, 교촌치킨 앞산,18:00~24:00,"시급9,000",4시간전
경기 의정부, 교촌치킨 의정부 금오,18:00~22:00,"시급9,500",4시간전
경기 광명시, 교촌치킨 광명 하안1호,10:00~15:00,"시급10,000",4시간전
서울 전체, 교촌치킨 도화,18:00~23:00,"시급10,000",5시간전
인천 서구, 교촌치킨 인천 청라,18:00~02:00,"시급11,000",5시간전
강원 강릉시, 교촌치킨 강릉 교동1호,시간협의,"시급9,000",5시간전
인천 서구, 교촌치킨 인천 청라,14:00~02:00,"월급2,800,000",5시간전
경기 평택시, 교촌치킨 진사리,18:00~22:00,"시급9,000",5시간전
대구 수성구, 교촌치킨 수성호수,17:00~02:00,"월급2,400,000",5시간전
대구 수성구, 교촌치킨 수성호수,17:00~02:00,"월급2,400,000",5시간전
서울 강남구, 교촌치킨 도곡,17:00~24:00,"시급13,000",5시간전
경기 의정부, 교촌치킨 의정부 금오,18:00~22:00,"시급9,500",5시간전
경기 남양주, 교촌치킨 남양주 도농1호,18:00~22:00,"시급8,720",5시간전
경기 안성시, 교촌치킨 진사리,18:00~22:00,"시급9,000",5시간전
인천 부평구, 교촌치킨 인천 산곡2호점,17:00~24:00,"시급12,000",5시간전
인천 부평구, 교촌치킨 인천 산곡2호점,17:00~24:00,"시급12,000",5시간전
인천 부평구, 교촌치킨 인천 산곡2호점,17:00~24:00,"시급12,000",5시간전
인천 부평구, 교촌치킨 인천 산곡2호점,12:00~24:00,"월급3,200,000",5시간전
경기 안양시, 교촌치킨 안양 호계1호,12:00~24:00,"월급3,000,000",5시간전
서울 광진구, 교촌치킨 서울 중곡1호,16:00~24:00,"시급11,000",5시간전
경북 경주시, 교촌치킨 경북동부 성건중앙점,시간협의,"시급8,720",5시간전
강원 춘천시, 교촌치킨 춘천시청,17:30~23:30,"시급10,000",5시간전
강원 춘천시, 교촌치킨 춘천시청,18:00~24:00,"시급8,720",5시간전
대구 수성구, 교촌치킨 수성호수,시간협의,"시급8,720",5시간전
경남 창원시, 교촌치킨 상남,10:00~03:00,"월급4,000,000",5시간전
경남 창원시, 교촌치킨 상남,18:00~01:00,"시급8,800",5시간전
서울 용산구, 교촌치킨 서울시청,18:00~23:00,"시급10,500",5시간전
서울 용산구, 교촌치킨 서울시청,18:00~23:00,"시급10,500",5시간전
서울 영등포, 교촌치킨 신길1호,12:00~00:00,"월급3,000,000",5시간전
전북 전주시, 교촌치킨 혁신,17:00~24:00,"시급9,500",5시간전
대구 수성구, 교촌치킨 수성호수,17:00~02:00,"월급1,800,000",5시간전
경기 김포시, 교촌치킨 김포 통진1호,18:00~24:00,"월급2,800,000",5시간전
서울 광진구, 교촌치킨 서울 중곡1호,16:00~24:00,"시급11,000",5시간전
서울 관악구, 교촌치킨 서울 봉천4호,18:00~24:00,"시급11,500",5시간전
서울 관악구, 교촌치킨 서울 봉천4호,18:00~24:00,"시급11,500",5시간전
경북 포항시, 교촌치킨 도구청림,17:00~23:00,"시급8,720",5시간전
경남 창원시, 교촌치킨 감계,18:00~22:00,"시급9,000",5시간전
경남 창원시, 교촌치킨 창원 용지호수,18:00~22:00,"시급8,720",5시간전
경북 포항시, 교촌치킨 도구청림,17:00~23:00,"시급9,000",5시간전
서울 강남구, 교촌치킨 도곡,17:00~24:00,"시급13,000",5시간전
경북 포항시, 교촌치킨 도구청림,17:00~23:00,"시급9,000",5시간전
서울 강남구, 교촌치킨 도곡,17:00~24:00,"시급13,000",5시간전
부산 남구, 교촌치킨 부산 용호1호,17:00~23:30,"시급9,300",5시간전
충북 청주시, 교촌치킨 금천광장점,17:00~24:00,"시급9,300",5시간전
인천 미추홀, 교촌치킨 인천 주안3호,17:30~01:00,"시급9,000",5시간전
인천 미추홀, 교촌치킨 인천 주안3호,시간협의,"시급12,000",5시간전
인천 미추홀, 교촌치킨 인천 주안3호,시간협의,"월급2,000,000",5시간전
인천 미추홀, 교촌치킨 인천 주안3호,17:30~01:00,"시급9,000",5시간전
서울 강남구, 교촌치킨 도곡,17:00~24:00,"시급13,000",5시간전
경남 양산시, 교촌치킨 평산,18:00~22:30,"시급8,720",5시간전
경남 양산시, 교촌치킨 평산,18:00~22:30,"시급8,720",5시간전
경남 양산시, 교촌치킨 증산점,17:00~23:00,"시급8,720",6시간전
경남 양산시, 교촌치킨 증산점,17:00~23:00,"시급8,720",6시간전
경남 양산시, 교촌치킨 평산,18:00~23:00,"시급8,720",6시간전
경기 남양주, 교촌치킨 남양주 도농1호,18:00~22:00,"시급8,720",6시간전
경기 오산시, 교촌치킨 병점1호,12:00~24:00,"시급12,000",6시간전
경기 화성시, 교촌치킨 병점1호,12:00~24:00,"시급12,000",6시간전
경북 경산시, 교촌치킨 경산 계양사동,18:00~24:00,"시급8,720",6시간전
