place,title,time,pay,date
경기 남양주, 다산지금점,09:00~20:30,"월급2,700,000",16분전
부산 강서구, 부산신호점,시간협의,"월급2,400,000",3시간전
부산 강서구, 부산신호점,시간협의,"월급2,400,000",3시간전
부산 강서구, 부산신호점,시간협의,"월급2,400,000",3시간전
경기 시흥시, 월곶점,시간협의,"월급2,500,000",5시간전
경기 광명시, 철산점,시간협의,"월급2,400,000",5시간전
경기 광명시, 철산점,시간협의,"월급2,400,000",13시간전
경기 광명시, 철산점,시간협의,"월급2,400,000",14시간전
경기 광명시, 철산점,시간협의,"월급2,400,000",14시간전
경기 광명시, 철산점,시간협의,"월급2,400,000",04/03
경기 군포시, 산본점,12:00~00:00,"월급2,750,000",04/02
서울 강동구, 길동점,시간협의,"월급2,400,000",04/02
서울 강동구, 길동점,시간협의,"월급2,400,000",04/02
서울 강동구, 길동점,시간협의,"월급2,400,000",04/02
서울 강동구, 천호점,시간협의,"월급2,400,000",04/02
서울 강동구, 천호점,시간협의,"월급2,400,000",04/02
서울 강동구, 천호점,시간협의,"월급2,400,000",04/02
서울 영등포, 신길점,10:00~22:00,"월급2,400,000",04/02
서울 영등포, 신길점,10:00~22:00,"월급2,400,000",04/02
서울 영등포, 신길점,10:00~22:00,"월급2,400,000",04/02
서울 영등포, 신길점,10:00~22:00,"월급2,400,000",04/02
서울 영등포, 신길점,10:00~22:00,"월급2,400,000",04/02
서울 강동구, 천호점,시간협의,"월급2,400,000",04/02
서울 강동구, 길동점,시간협의,"월급2,400,000",04/02
