place,title,time,pay,date
경기 안산시, 깐부치킨 안산신길지구점,시간협의,"시급10,000",2시간전
서울 강서구, 깐부치킨 증미역점,15:00~01:00,"월급2,500,000",4시간전
서울 강서구, 깐부치킨 마곡중앙점,17:00~23:00,"시급9,000",5시간전
경기 구리시, 깐부치킨 구리장자못점,19:00~22:00,"시급9,000",6시간전
서울 중구, 깐부치킨 을지트윈타워점,18:00~24:00,"시급9,000",6시간전
서울 중구, 깐부치킨 을지트윈타워점,19:00~23:00,"시급9,000",6시간전
경기 성남시, 깐부치킨 모란역점,18:00~22:00,"시급8,720",8시간전
경기 용인시, 깐부치킨 동천래미안점,17:00~01:00,"월급2,000,000",04/04
서울 전체, 깐부치킨 한티점,18:00~01:00,"시급8,720",04/04
서울 강서구, 깐부치킨 증미역점,17:00~00:30,"시급9,000",04/04
서울 영등포, 깐부치킨 동여의도점,18:00~01:00,"시급10,000",04/04
경기 용인시, 깐부치킨 동천래미안점,17:00~01:00,"월급2,000,000",04/03
경기 성남시, 깐부치킨 깐부치킨판교역점,16:00~22:00,"시급9,500",04/03
경기 성남시, 깐부치킨 정자동까페거리점,18:00~22:00,"시급9,500",04/03
서울 서초구, 깐부치킨 예술의전당점,16:00~00:00,"시급8,720",04/02
경기 용인시, 깐부치킨 동천래미안점,17:00~01:00,"월급2,000,000",04/02
서울 용산구, 깐부치킨 용산파크해링턴점,15:00~02:30,"월급3,000,000",04/02
서울 성동구, 깐부치킨 성수갤러리아포레점,시간협의,"시급9,000",04/02
서울 성동구, 깐부치킨 성수갤러리아포레점,시간협의,"월급2,300,000",04/02
서울 서초구, 깐부치킨 예술의전당점,16:00~23:00,"시급10,000",04/01
인천 연수구, 깐부치킨 68공구마리나베이점,18:00~24:00,"시급8,720",04/01
서울 강남구, 깐부치킨 학동역점,15:00~02:00,"월급3,000,000",03/31
경기 성남시, 깐부치킨 분당서현점,19:00~22:00,"월급500,000",03/31
경기 이천시, 깐부치킨 라온팰리스점,19:00~22:00,"시급9,000",03/31
경기 이천시, 깐부치킨 라온팰리스점,19:00~22:00,"시급9,000",03/31
경기 이천시, 깐부치킨 라온팰리스점,19:00~22:00,"시급9,000",03/31
경기 용인시, 깐부치킨 수지구청점,19:00~01:30,"시급8,720",03/31
경기 안산시, 깐부치킨 안산신길지구점,시간협의,"월급2,500,000",03/30
경기 안산시, 깐부치킨 안산신길지구점,18:00~23:00,"시급8,800",03/30
서울 서초구, 깐부치킨 사당역점,14:00~24:00,"월급2,500,000",03/29
서울 용산구, 깐부치킨 용산파크해링턴점,18:00~22:00,"시급12,000",03/29
경기 안산시, 깐부치킨 안산고잔점,15:00~01:00,"월급2,400,000",03/28
경기 안산시, 깐부치킨 안산고잔점,15:00~01:00,"월급2,400,000",03/25
서울 송파구, 깐부치킨 가락본동점,14:00~02:00,"월급2,800,000",03/25
서울 서초구, 깐부치킨 사당역점,18:00~22:00,"시급10,000",03/24
서울 성동구, 깐부치킨 성수갤러리아포레점,시간협의,"시급9,000",03/24
서울 중구, 깐부치킨 서울역한라비발디점,18:00~23:30,"시급8,720",03/23
서울 중구, 깐부치킨 서울역한라비발디점,18:00~23:30,"시급8,720",03/23
서울 송파구, 깐부치킨 가락본동점,14:00~02:00,"월급2,800,000",03/23
경기 안산시, 깐부치킨 안산고잔점,15:00~01:00,"월급2,400,000",03/21
