place,title,time,pay,date
대구 달서구, 다이소 대구본리점,09:30~18:30,"월급1,822,480",18분전
대구 달서구, 다이소 대구상인네거리점,14:00~20:00,"시급8,720",19분전
대구 달성군, 대구테크노폴리스점,09:00~18:00,"월급1,822,480",22분전
경북 예천군, 다이소 경북도청신도시점,09:00~18:00,"월급1,822,480",24분전
경북 문경시, 다이소 문경모전점,08:00~17:00,"월급1,822,480",25분전
서울 강북구, 다이소 삼양시장점,07:00~16:00,"월급1,822,480",30분전
경북 경산시, 다이소 경산하양점,08:30~17:30,"월급1,822,480",35분전
경남 창원시, 다이소 진해장천점,09:00~15:00,"시급8,720",37분전
경남 창원시, 다이소 진해장천점,09:00~15:00,"시급8,720",38분전
강원 춘천시, 다이소 춘천거두점,09:30~18:30,"월급1,822,480",39분전
서울 도봉구, 다이소 쌍문세라믹사거리점,08:30~17:30,"월급1,822,480",54분전
부산 동래구, 다이소 부산동래역점,16:00~22:00,"시급8,720",1시간전
부산 동래구, 다이소 부산동래역점,16:00~22:00,"시급8,720",1시간전
부산 동래구, 다이소 부산동래역점,16:00~22:00,"시급8,720",1시간전
전남 나주시, 다이소 나주혁신점,10:00~16:00,"시급8,720",1시간전
광주 광산구, 다이소 나주혁신점,10:00~16:00,"시급8,720",1시간전
서울 종로구, 다이소 안국역2호점,12:00~18:00,"시급8,720",2시간전
전남 목포시, 다이소 목포옥암점,10:00~16:00,"시급8,720",2시간전
서울 종로구, 다이소 대학로점,16:00~22:00,"시급8,720",2시간전
경기 시흥시, 다이소 시흥정왕본점,08:00~14:00,"시급8,720",2시간전
경기 시흥시, 다이소 시흥능곡점,09:00~15:00,"시급8,720",2시간전
경북 경산시, 다이소 경산하양점,08:30~17:30,"월급1,822,480",2시간전
대구 달서구, 다이소 대구본리점,09:30~18:30,"월급1,822,480",2시간전
대구 달서구, 다이소 대구상인네거리점,14:00~20:00,"시급8,720",2시간전
대구 달성군, 대구테크노폴리스점,09:00~18:00,"월급1,822,480",2시간전
대구 달서구, 다이소 영남 오픈리베로,09:30~18:30,"월급1,822,480",2시간전
대구 달서구, 다이소 영남현장CS팀,09:30~18:30,"월급1,822,480",2시간전
경북 경산시, 다이소 영남현장CS팀,08:30~17:30,"월급1,822,480",2시간전
경북 문경시, 다이소 영남현장CS팀,08:00~17:00,"월급1,822,480",2시간전
경북 문경시, 다이소 문경모전점,08:00~17:00,"월급1,822,480",3시간전
경북 예천군, 다이소 경북도청신도시점,09:00~18:00,"월급1,822,480",3시간전
경북 경주시, 다이소 경주본점,10:00~16:00,"시급8,720",3시간전
경남 양산시, 다이소 양산남부시장점,09:00~15:00,"시급8,720",3시간전
경남 양산시, 다이소 양산증산점,09:00~15:00,"시급8,720",3시간전
울산 동구, 다이소 울산남목점,08:30~14:30,"시급8,720",3시간전
울산 북구, 다이소 울산신천점,09:00~15:00,"시급8,720",3시간전
경기 시흥시, 다이소 시흥능곡점,09:00~18:00,"월급1,822,480",3시간전
울산 북구, 다이소 울산화봉점,08:30~14:30,"시급8,720",3시간전
서울 금천구, 다이소 마리오아울렛점,12:00~18:00,"시급8,720",3시간전
서울 금천구, 다이소 독산점,16:00~22:00,"시급8,720",3시간전
경기 광명시, 다이소 광명소하점,08:00~17:00,"월급1,822,480",3시간전
서울 관악구, 다이소 신림점,09:00~18:00,"월급1,822,480",3시간전
서울 관악구, 다이소 신림3호점,09:00~18:00,"월급1,822,480",3시간전
서울 관악구, 다이소 직영3현장CS팀,10:00~16:00,"시급8,720",3시간전
서울 관악구, 다이소 직영3현장CS팀,09:00~15:00,"시급8,720",3시간전
전국 전체, 다이소 직영3현장CS팀,09:00~18:00,"월급2,322,480",3시간전
서울 관악구, 다이소 봉천2호점,09:00~18:00,"월급1,822,480",3시간전
서울 동작구, 다이소 노량진점,08:00~17:00,"월급1,822,480",3시간전
강원 원주시, 다이소 원주혁신점,07:30~13:30,"시급8,720",3시간전
서울 광진구, 다이소 화양동점,08:00~17:00,"월급1,822,480",4시간전
서울 마포구, 다이소 합정동점,07:30~13:30,"시급8,720",4시간전
경기 포천시, 다이소 포천송우사거리점,09:00~15:00,"시급8,720",4시간전
경기 남양주, 다이소 평내2호점,08:00~17:00,"월급1,822,480",4시간전
경기 파주시, 다이소 파주운정2호점,06:30~16:00,"월급1,822,480",4시간전
경기 파주시, 다이소 파주운정1호점,09:30~15:30,"시급8,720",4시간전
경기 파주시, 다이소 파주목동동점,07:00~16:00,"월급1,822,480",4시간전
경북 경산시, 다이소 경산영남대점,10:00~16:00,"시급8,720",4시간전
경기 파주시, 다이소 파주교하점,07:00~16:00,"월급1,822,480",4시간전
경북 경산시, 다이소 경산영남대점,09:00~18:00,"월급1,822,480",4시간전
경기 남양주, 다이소 진접본점,09:00~18:00,"월급1,822,480",4시간전
경기 고양시, 다이소 주엽점,06:30~15:30,"월급1,822,480",4시간전
경북 경산시, 다이소 경산영남대점,09:00~18:00,"월급1,822,480",4시간전
경기 고양시, 다이소 일산후곡점,06:30~15:30,"월급1,822,480",4시간전
경기 고양시, 다이소 일산제니스점,07:00~16:00,"월급1,822,480",4시간전
경기 고양시, 다이소 일산웨스턴돔점,16:00~22:00,"시급8,720",4시간전
경북 경산시, 다이소 경산하양점,08:30~17:30,"월급1,822,480",4시간전
경남 창원시, 창원상남2호점,12:00~18:00,"시급8,720",4시간전
경남 창원시, 창원상남2호점,12:00~18:00,"시급8,720",4시간전
경남 창원시, 창원상남2호점,12:00~18:00,"시급8,720",4시간전
경기 고양시, 다이소 일산덕이점,07:00~16:00,"월급1,822,480",4시간전
서울 서대문, 다이소 이대역점,10:00~16:00,"월급1,822,480",4시간전
대구 달서구, 다이소 대구본리점,09:30~18:30,"월급1,822,480",4시간전
경기 의정부, 다이소 의정부점,10:00~16:00,"시급8,720",4시간전
대구 달서구, 다이소 대구상인네거리점,14:00~20:00,"시급8,720",4시간전
경기 의정부, 다이소 의정부민락2호점,16:00~22:00,"시급8,720",4시간전
경기 의정부, 다이소 의정부녹양점,08:00~14:00,"시급8,720",4시간전
대구 달성군, 대구테크노폴리스점,09:00~18:00,"월급1,822,480",4시간전
서울 은평구, 다이소 응암역점,16:00~22:00,"시급8,720",4시간전
대구 달서구, 다이소 홈플러스성서점,07:00~13:00,"시급8,720",4시간전
