place,title,time,pay,date
전남 여수시, 대한곱창 여수웅천점,15:00~01:00,"월급2,500,000",2시간전
전남 여수시, 대한곱창 여수웅천점,18:00~23:00,"시급10,000",2시간전
세종 소담동, 대한곱창 세종소담점,19:00~22:00,"시급9,000",4시간전
경기 광주시, 대한곱창 광주초월점,15:00~01:00,"월급2,400,000",6시간전
경기 광주시, 대한곱창 광주초월점,18:00~23:00,"시급9,000",6시간전
세종 소담동, 대한곱창 세종소담점,19:00~21:30,"시급9,000",8시간전
경남 창원시, 대한곱창 창원봉곡점,18:00~22:00,"시급9,000",04/04
경남 창원시, 대한곱창 창원봉곡점,18:00~22:00,"시급9,000",04/04
충북 청주시, 대한곱창 청주동남점,시간협의,"시급9,500",04/04
충북 청주시, 대한곱창 청주동남점,시간협의,"월급2,400,000",04/04
서울 광진구, 대한곱창 군자점,14:00~22:00,"시급10,500",04/04
서울 광진구, 대한곱창 군자점,14:00~22:00,"시급10,500",04/04
경남 창원시, 대한곱창 창원봉곡점,18:00~22:00,"시급9,000",04/03
충북 청주시, 대한곱창 청주동남점,시간협의,"월급2,400,000",04/03
충북 청주시, 대한곱창 청주동남점,시간협의,"시급9,500",04/03
세종 소담동, 대한곱창 세종소담점,19:00~21:30,"시급9,000",04/02
서울 광진구, 대한곱창 군자점,14:00~22:00,"시급10,500",04/01
서울 광진구, 대한곱창 군자점,15:00~02:00,"월급2,800,000",04/01
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",03/31
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",03/31
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",03/31
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",03/31
부산 금정구, 대한곱창 부산대점,시간협의,"월급2,200,000",03/31
부산 전체, 대한곱창 부산화명점,시간협의,"시급9,000",03/31
부산 전체, 대한곱창 부산화명점,시간협의,"시급9,000",03/31
대전 중구, 대한곱창 대전대흥점,시간협의,"시급8,720",03/28
충북 충주시, 대한곱창 충주점,18:00~22:00,"시급8,800",03/27
전남 여수시, 대한곱창 여수웅천점,18:00~23:00,"시급10,000",03/26
경기 광주시, 대한곱창 광주초월점,18:00~23:00,"시급9,000",03/25
전북 익산시, 대한곱창 익산모현점,시간협의,"시급9,000",03/25
경기 성남시, 대한곱창 위례점,18:00~21:00,"시급8,720",03/23
경남 창원시, 대한곱창 창원봉곡점,18:00~22:00,"시급9,000",03/22
서울 송파구, 대한곱창 문정역점,15:00~01:00,"월급2,500,000",03/22
서울 송파구, 대한곱창 문정역점,15:00~01:00,"월급2,500,000",03/22
서울 송파구, 대한곱창 문정역점,15:00~01:00,"월급2,500,000",03/22
전남 여수시, 대한곱창 여수웅천점,15:00~01:00,"월급2,500,000",03/22
충북 충주시, 대한곱창 충주점,18:00~22:00,"시급8,800",03/22
충북 충주시, 대한곱창 충주점,18:00~22:00,"시급8,800",03/22
충북 충주시, 대한곱창 충주점,18:00~22:00,"시급8,800",03/22
충북 충주시, 대한곱창 충주점,18:00~22:00,"시급8,800",03/20
