place,title,time,pay,date
경기 양주시, 딜버 딜버 경기양주옥정점,시간협의,"일급200,000",19분전
경기 양주시, 딜버 딜버 경기양주옥정점,시간협의,"일급200,000",19분전
경기 양주시, 딜버 딜버 경기양주옥정점,시간협의,"일급200,000",20분전
충남 아산시, 충남아산점,10:00~03:00,"월급5,000,000",27분전
충남 아산시, 충남아산점,10:00~03:00,"월급5,000,000",27분전
충남 아산시, 충남아산점,10:00~03:00,"월급5,000,000",27분전
경남 김해시, 장유1지점,10:00~02:00,"일급200,000",36분전
경남 창원시, 딜버 용원점,07:00~02:00,"시급12,000",43분전
경남 창원시, 딜버 진해용원점,07:00~02:00,"시급12,000",43분전
경남 김해시, 김해본점,10:00~02:00,"일급200,000",45분전
대전 전체, 대전 구암지점,09:00~02:00,"일급350,000",47분전
대전 유성구, 대전 구암지점,09:00~02:00,"일급350,000",47분전
대전 유성구, 대전 구암지점,09:00~02:00,"일급350,000",49분전
경기 양주시, 딜버 양주신도시점,시간협의,"일급200,000",1시간전
경기 양주시, 딜버 양주신도시점,시간협의,"일급200,000",1시간전
경기 양주시, 딜버 양주신도시점,시간협의,"일급180,000",1시간전
부산 수영구, 딜버 부산 수영망미점,11:00~01:30,"일급150,000",1시간전
부산 수영구, 딜버 부산 수영망미점,11:00~01:30,"일급150,000",2시간전
부산 북구, 구포점,00:00~24:00,"시급15,000",2시간전
부산 북구, 구포점,00:00~24:00,"시급15,000",2시간전
부산 북구, 구포점,00:00~24:00,"시급15,000",2시간전
경남 창원시, 창원중앙동,시간협의,"일급150,000",2시간전
경남 창원시, 창원중앙동,시간협의,"일급150,000",2시간전
경남 창원시, 창원중앙동,시간협의,"일급150,000",2시간전
경남 창원시, 창원중앙점,시간협의,"시급150,000",2시간전
경남 창원시, 창원중앙점,시간협의,"시급150,000",2시간전
경남 창원시, 창원중앙점,시간협의,"시급150,000",2시간전
전북 전주시, 서신지점,09:00~24:00,"일급200,000",2시간전
전북 전주시, 신시지점,09:00~04:00,"일급200,000",2시간전
전북 전주시, 전주 본점,09:00~02:00,"일급200,000",2시간전
