place,title,time,pay,date
전국 전체, (주)러쉬 러쉬코리아,시간협의,"시급10,750",2시간전
경기 성남시, (주)러쉬코리아,11:30~20:30,"시급10,350",3시간전
서울 양천구, (주)러쉬코리아 현대목동점,시간협의,"시급10,790",4시간전
경기 고양시, (주)러쉬코리아,09:00~20:30,"시급10,790",5시간전
전북 전주시, (주)러쉬코리아,09:30~20:30,"시급10,790",5시간전
경기 용인시, (주)러쉬코리아,12:00~21:00,"시급10,790",8시간전
경기 용인시, (주)러쉬코리아,12:00~21:00,"시급10,790",8시간전
경기 안양시, (주)러쉬코리아 롯데평촌점,시간협의,"시급10,790",04/04
서울 서초구, (주)러쉬코리아 강남역점,10:00~22:00,"시급10,790",04/04
서울 종로구, 러쉬 대학로점,시간협의,"시급10,790",04/04
충남 천안시, (주)러쉬코리아,10:30~08:30,"시급10,790",04/04
경기 성남시, (주)러쉬코리아 롯데백화점 분당점,11:30~20:30,"시급10,350",04/04
서울 송파구, (주)러쉬코리아,13:00~22:00,"시급10,790",04/03
경기 구리시, (주)러쉬코리아,시간협의,"시급10,790",04/03
광주 서구, (주)러쉬코리아,09:30~20:30,"시급10,790",04/01
경기 부천시, (주)러쉬코리아,시간협의,"시급10,790",03/28
대전 전체, (주)러쉬코리아,09:30~08:30,"시급10,790",03/28
경기 수원시, (주)러쉬코리아,09:30~20:30,"시급10,790",03/28
서울 중구, 러쉬 신세계본점,09:30~20:30,"시급10,790",03/28
경기 하남시, (주)러쉬코리아,13:00~22:00,"시급10,790",03/27
