place,title,time,pay,date
서울 구로구, 롯데리아 신도림역점,09:00~24:00,"시급8,720",11분전
부산 연제구, 롯데리아 부산물만골역점,시간협의,"시급8,720",40분전
인천 부평구, 롯데리아 인천청천점,09:00~24:00,"시급8,720",44분전
인천 부평구, 롯데리아 인천청천점,09:00~24:00,"시급8,720",44분전
인천 부평구, 롯데리아 인천청천점,09:00~24:00,"시급8,720",44분전
인천 부평구, 롯데리아 인천청천점,09:00~24:00,"시급8,720",44분전
경북 구미시, 롯데리아 구미공단점,18:30~22:00,"시급8,720",55분전
경기 수원시, 롯데리아 수원성대점,시간협의,"시급8,720",1시간전
인천 부평구, 롯데리아 인천청천점,09:00~24:00,"시급8,720",1시간전
울산 동구, 롯데리아 울산전하점,17:00~23:30,"시급8,720",1시간전
부산 사하구, 롯데리아 부산괴정점,09:00~23:00,"시급8,720",1시간전
경남 창원시, 롯데리아 창원대학점,시간협의,"시급8,720",2시간전
경기 안양시, 롯데리아 안양박달D/I점,시간협의,"시급8,720",2시간전
서울 성북구, 롯데리아 성신여대점,00:00~24:00,"시급8,720",2시간전
경기 안양시, 롯데리아 안양박달D/I점,시간협의,"시급8,720",2시간전
경기 안양시, 롯데리아 안양박달D/I점,시간협의,"시급8,720",2시간전
경기 안양시, 롯데리아 안양박달D/I점,시간협의,"시급8,720",2시간전
세종 조치원읍, 롯데리아 홈플러스조치원점,시간협의,"월급2,000,000",2시간전
대구 수성구, 롯데리아 대구수성구청점,10:00~16:00,"시급8,740",2시간전
전남 여수시, 롯데리아 여수죽림점,시간협의,"시급8,720",2시간전
전남 여수시, 롯데리아 여수죽림점,시간협의,"월급2,000,000",2시간전
충남 보령시, 롯데리아 보령동대점,10:00~22:00,"시급8,720",2시간전
충남 서산시, 롯데리아 서산해미점,12:00~22:00,"시급8,720",2시간전
서울 관악구, 롯데리아 서울대입구역점,시간협의,"시급8,720",2시간전
서울 관악구, 롯데리아 서울대입구역점,시간협의,"시급8,720",2시간전
서울 관악구, 롯데리아 서울대입구역점,시간협의,"시급8,720",2시간전
서울 관악구, 롯데리아 서울대입구역점,시간협의,"시급8,720",2시간전
경남 창원시, 롯데리아 하나로마트남창원점,시간협의,"시급8,720",2시간전
서울 송파구, 롯데리아 잠실롯데월드몰B1점,10:00~23:00,"시급8,720",2시간전
경기 수원시, 롯데리아 수원성대점,시간협의,"시급8,720",3시간전
인천 미추홀, 롯데리아 인천학산점,11:00~20:00,"시급8,720",3시간전
경기 안성시, 롯데리아 안성중앙점,09:00~24:00,"시급8,720",3시간전
경기 안성시, 롯데리아 안성중앙점,09:00~21:00,"월급2,600,000",3시간전
경기 안성시, 롯데리아 안성중앙점,09:00~21:00,"월급2,600,000",3시간전
서울 동작구, 롯데리아 이수역점,09:00~18:00,"월급2,600,000",3시간전
서울 동작구, 롯데리아 이수역점,09:00~18:00,"월급2,600,000",3시간전
서울 동작구, 롯데리아 이수역점,시간협의,"시급8,720",3시간전
부산 사하구, 롯데리아 부산다대포점,09:00~22:00,"시급8,720",4시간전
부산 사하구, 롯데리아 신평탑마트점,09:00~22:00,"시급8,720",4시간전
인천 서구, 롯데리아 인천가좌점,18:00~00:00,"시급8,720",4시간전
서울 금천구, 롯데리아 홈플러스금천점,시간협의,"시급8,720",4시간전
경기 시흥시, 롯데리아 배곧신도시점,시간협의,"시급8,720",4시간전
경기 시흥시, 롯데리아 배곧신도시점,시간협의,"시급8,720",4시간전
서울 성동구, 롯데리아 왕십리역사점,시간협의,"시급8,720",4시간전
서울 성동구, 롯데리아 왕십리역사점,시간협의,"시급8,720",4시간전
서울 광진구, 롯데리아 왕십리역사점,시간협의,"시급8,720",4시간전
경기 수원시, 롯데리아 수원권선점,09:00~24:00,"시급8,720",4시간전
경기 수원시, 롯데리아 수원권선점,시간협의,"시급8,720",4시간전
경기 수원시, 롯데리아 수원권선점,시간협의,"시급8,720",4시간전
경기 수원시, 롯데리아 수원권선점,09:00~24:00,"시급8,720",4시간전
경기 수원시, 롯데리아 수원권선점,08:00~18:00,"월급2,000,000",4시간전
대전 대덕구, 롯데리아 한남대점,시간협의,"시급8,720",4시간전
경기 남양주, 롯데리아 남양주도농점,18:00~23:00,"시급8,720",4시간전
서울 구로구, 롯데리아 개봉역점,17:00~23:00,"시급8,720",4시간전
서울 강동구, 롯데리아 암사역점,시간협의,"시급8,720",4시간전
경기 수원시, 롯데리아 수원성대점,시간협의,"시급8,720",4시간전
경기 안산시, 롯데리아 안산그랑시티자이,시간협의,"시급8,720",4시간전
경기 수원시, 롯데리아 화성반월점,09:00~23:00,"시급8,720",5시간전
경기 화성시, 롯데리아 화성반월점,09:00~23:00,"시급8,720",5시간전
서울 강동구, 롯데리아 암사역점,시간협의,"시급8,720",5시간전
인천 미추홀, 롯데리아 인천석바위점,시간협의,"시급8,720",5시간전
인천 미추홀, 롯데리아 인천석바위점,시간협의,"시급8,720",5시간전
인천 부평구, 롯데리아 롯데마인천삼산B1점,18:00~22:30,"시급8,720",5시간전
인천 부평구, 롯데리아 롯데마인천삼산B1점,18:00~22:30,"시급8,720",5시간전
제주 제주시, 롯데리아 제주공항국내선탑승,06:00~22:00,"시급8,720",5시간전
