place,title,time,pay,date
대구 중구, 롭스 대구동성로점,10:30~15:30,"시급8,720",10분전
경남 창원시, 롭스 창원상남점,16:30~21:00,"시급8,720",21분전
경기 용인시, 롭스 기흥아웃렛점,15:30~21:00,"시급8,720",24분전
경기 수원시, 롭스 수원역사점,18:30~22:00,"시급8,720",27분전
경남 창원시, 롭스 창원상남점,16:30~21:00,"시급8,720",27분전
서울 강남구, 롭스 신논현점,11:30~13:30,"시급8,720",1시간전
경기 용인시, 롭스 용인역북점,16:00~22:00,"시급8,720",2시간전
부산 금정구, 롭스 부산대점,15:30~21:00,"시급8,720",2시간전
경기 용인시, 롭스 용인역북점,15:00~18:30,"시급8,720",2시간전
부산 금정구, 롭스 부산대점,16:00~21:30,"시급8,720",2시간전
경기 수원시, 롭스 인계점,14:30~22:00,"시급8,720",2시간전
충남 부여군, 롭스 부여아울렛점,14:00~17:30,"시급8,720",3시간전
경기 수원시, 롭스 수원몰점,11:00~14:30,"시급8,720",3시간전
광주 전체, 롭스 광주상무점,12:00~17:00,"시급8,720",4시간전
부산 금정구, 롭스 부산대점,16:00~21:30,"시급8,720",04/04
경기 양평군, 롭스 경기롯데마트양평점,10:00~15:30,"시급8,720",04/04
서울 마포구, 롭스 홍대점,16:30~23:00,"시급8,720",04/04
서울 마포구, 롭스 홍대점,16:30~23:00,"시급8,720",04/04
부산 금정구, 롭스 부산대점,15:30~21:00,"시급8,720",04/04
경기 구리시, 롭스 구리점,12:00~15:00,"시급8,720",04/03
경기 구리시, 롭스 구리점,15:00~21:30,"시급8,720",04/03
서울 송파구, 롭스 잠실캐슬점,17:30~22:00,"시급8,720",03/31
대구 동구, 롭스 동대구역사점,17:30~21:00,"시급8,720",03/31
서울 강남구, 롭스 신논현점,18:30~23:00,"시급8,720",03/31
서울 강남구, 롭스 가로수길점,17:00~22:00,"시급8,720",03/27
경기 구리시, 롭스 구리점,16:00~20:30,"시급8,720",03/26
서울 강남구, 롭스 가로수길점,17:00~22:00,"시급8,720",03/26
