place,title,time,pay,date
경기 성남시, 마왕족발 정자점(직영),15:00~24:00,"월급2,300,000",40분전
경기 부천시, 마왕족발 부천점(본점직영),20:00~01:00,"시급10,464",56분전
인천 연수구, 마왕족발 인천연수점(직영),15:00~01:00,"월급2,360,000",1시간전
경기 부천시, 마왕족발 부천점(본점직영),16:00~01:00,"월급2,290,000",1시간전
인천 연수구, 마왕족발 인천연수점(직영),15:00~01:00,"월급2,360,000",1시간전
경기 부천시, 마왕족발 부천점(본점직영),16:00~01:00,"월급2,290,000",1시간전
경기 부천시, 마왕족발 부천점(본점직영),20:00~01:00,"시급10,464",1시간전
대구 달서구, 마왕족발 대구계명대점,14:00~24:00,"월급2,500,000",2시간전
서울 송파구, 마왕족발 위례신도시점,14:00~23:00,"월급2,300,000",6시간전
인천 미추홀, 마왕족발 인천도화점,시간협의,"시급9,000",6시간전
대전 서구, 마왕족발 대전둔산직영점,11:00~20:00,"월급2,300,000",6시간전
대구 달서구, 마왕족발 대구계명대점,14:00~24:00,"월급2,500,000",13시간전
경기 파주시, 마왕족발 파주금릉역점,18:00~01:00,"시급9,100",03/30
인천 서구, 마왕족발 인천서구청점,19:00~23:00,"시급8,720",03/30
인천 서구, 마왕족발 인천서구청점,19:00~23:00,"시급8,720",03/30
인천 서구, 마왕족발 인천서구청점,19:00~23:00,"시급8,720",03/30
대전 서구, 마왕족발 대전둔산직영점,16:00~24:00,"월급2,300,000",03/30
대전 서구, 마왕족발 대전둔산직영점,16:00~24:00,"월급2,300,000",03/30
대전 서구, 마왕족발 대전둔산직영점,16:00~24:00,"월급2,300,000",03/30
대전 서구, 마왕족발 대전둔산직영점,16:00~24:00,"월급2,300,000",03/29
인천 서구, 마왕족발 인천서구청점,19:00~23:00,"시급8,720",03/26
대구 달서구, 마왕족발 대구계명대점,17:00~23:00,"시급8,720",03/26
서울 송파구, 마왕족발 방이점(직영),15:00~24:00,"월급2,300,000",03/26
인천 미추홀, 마왕족발 인천용현점,03:00~11:00,"시급8,720",03/25
서울 송파구, 마왕족발 위례신도시점,14:00~23:00,"월급2,300,000",03/23
경기 성남시, 마왕족발 정자점(직영),15:00~24:00,"월급2,300,000",03/22
경기 성남시, 마왕족발 정자점(직영),11:00~20:00,"월급2,300,000",03/21
