place,title,time,pay,date
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",1시간전
대전 서구, 매드포갈릭 대전둔산점,12:00~21:00,"시급8,720",1시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",2시간전
인천 연수구, 매드포갈릭 송도점,13:00~21:00,"시급8,720",2시간전
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",2시간전
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,470",2시간전
서울 송파구, 주) 엠에프지코리아 엠스테이크하우스,시간협의,"시급10,470",3시간전
인천 연수구, 매드포갈릭 송도점,13:00~21:00,"시급8,720",3시간전
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",4시간전
경기 안양시, 매드포갈릭 안양범계점,시간협의,"시급10,470",4시간전
경기 부천시, 매드포갈릭 부천중동현대점,시간협의,"시급10,470",4시간전
경기 안양시, 매드포갈릭 안양범계점,18:00~21:00,"시급10,470",5시간전
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,470",5시간전
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",5시간전
광주 서구, 매드포갈릭 광주광천점,12:30~21:30,"시급10,470",5시간전
광주 서구, 매드포갈릭 광주광천점,12:30~21:30,"시급10,470",5시간전
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,470",5시간전
서울 마포구, 매드포갈릭 합정점,12:00~21:00,"시급10,470",5시간전
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,470",5시간전
경기 성남시, 판교 라스트리트점,12:00~21:00,"시급10,470",6시간전
서울 마포구, 매드포갈릭 상암MBC점,12:00~21:00,"시급10,470",6시간전
경기 안양시, 매드포갈릭 안양범계점,18:00~21:00,"시급10,470",6시간전
인천 연수구, 매드포갈릭 송도점,12:00~21:00,"시급10,470",6시간전
경기 성남시, 판교 라스트리트점,12:00~21:00,"시급10,470",6시간전
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",7시간전
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",7시간전
서울 마포구, 매드포갈릭 합정점,12:00~21:00,"시급10,470",7시간전
경기 수원시, 매드포갈릭 수원인계점,09:30~18:30,"시급10,470",7시간전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",7시간전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",8시간전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",8시간전
경기 수원시, 매드포갈릭 롯데시네마 수원역점,시간협의,"시급10,470",8시간전
서울 전체, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",04/04
부산 해운대, 매드포갈릭 해운대점,14:00~21:00,"시급10,470",04/04
경기 안양시, 매드포갈릭 안양범계점,18:00~21:00,"시급10,470",04/03
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",04/03
경기 성남시, 판교 라스트리트점,12:00~21:00,"시급10,470",04/03
부산 해운대, 매드포갈릭 해운대점,14:00~21:00,"시급10,470",04/03
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,470",04/03
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",04/02
서울 서초구, 매드포갈릭 삼성타운점,11:30~20:30,"시급10,470",04/02
서울 서초구, 매드포갈릭 예술의 전당점,09:30~14:30,"시급10,470",04/02
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,470",04/02
경기 성남시, 판교 라스트리트점,12:00~21:00,"시급10,470",04/01
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",04/01
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,470",04/01
서울 강남구, 매드포갈릭봉은사아이파크타워점,12:00~21:00,"시급10,470",04/01
부산 해운대, 매드포갈릭 해운대점,14:00~21:00,"시급10,470",04/01
서울 용산구, 엠에프지코리아 매드포갈릭용산아이파크몰,12:00~21:00,"시급10,470",03/31
경기 수원시, 매드포갈릭 수원인계점,18:00~21:00,"시급10,470",03/31
경기 평택시, 매드포갈릭 평택AK플라자점,시간협의,"시급10,470",03/31
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",03/31
인천 연수구, 매드포갈릭 송도점,15:30~21:00,"시급8,720",03/31
서울 송파구, 매드포갈릭 롯데월드타워점,13:00~22:00,"시급10,470",03/31
인천 연수구, 매드포갈릭 송도점,13:00~21:00,"시급8,720",03/26
서울 광진구, 매드포갈릭 건대스타시티점,13:00~22:00,"시급10,470",03/23
대전 서구, 매드포갈릭 대전둔산점,12:00~21:00,"시급10,470",03/23
서울 중구, 매드포갈릭 센터원점,시간협의,"시급10,470",03/22
서울 강남구, 매드포갈릭 도곡점,12:00~21:00,"시급10,470",03/21
서울 강남구, 매드포갈릭봉은사아이파크타워점,10:00~15:30,"시급10,470",03/20
서울 마포구, 주식회사 엠에프지코리아 매드포갈릭 합,12:00~21:00,"시급10,470",03/20
