place,title,time,pay,date
경기 수원시, 더본코리아 홍콩반점0410 수원역점,12:00~14:30,"시급9,500",6분전
경기 수원시, 더본코리아 홍콩반점0410 수원역점,10:00~21:30,"월급2,500,000",6분전
대전 동구, 더본코리아 역전우동0410 대전터미널,17:00~20:30,"시급8,720",7분전
경기 용인시, 새마을식당 용인죽전점,10:00~20:00,"월급2,500,000",7분전
부산 중구, 롤링파스타 부산남포점,11:30~14:30,"시급9,000",8분전
서울 광진구, 더본코리아 홍콩반점0410 어린이대공,10:30~22:30,"월급2,600,000",9분전
서울 광진구, 더본코리아 홍콩반점0410 어린이대공,10:30~22:30,"월급2,400,000",9분전
경남 창원시, 더본코리아 리춘시장 창원봉곡점,18:00~03:00,"시급8,800",11분전
대구 동구, 더본코리아 홍콩반점0410 동대구역점,10:00~22:00,"월급2,200,000",12분전
충북 청주시, 더본코리아 새마을식당 청주용암점,시간협의,"월급2,450,000",12분전
강원 춘천시, 새마을식당 춘천애막골점,21:00~01:00,"시급8,800",13분전
경기 시흥시, 더본코리아 역전우동0410 시흥배곧신,12:00~15:00,"시급8,720",19분전
경기 수원시, 롤링파스타 수원인계점,17:30~21:30,"시급8,720",20분전
전북 전주시, 더본코리아 역전우동0410 전북대점,09:00~19:00,"월급2,400,000",20분전
전북 전주시, 더본코리아 역전우동0410 전북대점,09:00~19:00,"월급2,400,000",21분전
전남 목포시, 더본코리아 새마을식당 목포하당점,19:00~22:00,"시급8,800",22분전
경기 용인시, 새마을식당 용인죽전점,10:00~20:00,"월급2,500,000",23분전
경기 용인시, 더본코리아 홍콩반점0410 수지구청점,10:00~21:00,"월급2,550,000",23분전
서울 마포구, 더본코리아 홍콩반점0410 홍대2호점,10:00~22:00,"월급2,600,000",24분전
서울 강남구, 더본코리아 인생설렁탕 논현지점,10:30~22:30,"월급2,446,660",24분전
서울 마포구, 더본코리아 홍콩반점0410 홍대2호점,10:00~22:00,"월급2,600,000",26분전
경기 남양주, 더본코리아 홍콩반점0410 남양주별내,10:00~21:30,"월급2,400,000",26분전
전남 순천시, 롤링파스타 순천연향점,10:00~21:30,"월급2,500,000",27분전
경기 고양시, 더본코리아 홍콩반점0410 일산후곡점,10:00~22:00,"월급2,550,000",27분전
서울 은평구, 더본코리아 홍콩반점0410 응암역점,10:00~22:00,"월급2,300,000",28분전
서울 은평구, 더본코리아 홍콩반점0410 응암역점,10:00~22:00,"월급2,300,000",28분전
서울 양천구, 홍콩반점0410 양천구청점,10:00~10:00,"월급2,400,000",30분전
충남 천안시, 리춘시장 천안두정점,20:00~01:00,"시급9,000",31분전
경기 전체, 인생설렁탕 평촌점,10:00~21:30,"월급2,400,000",33분전
강원 춘천시, 더본코리아 한신포차 춘천강원대점,시간협의,"월급2,500,000",33분전
경기 안양시, 인생설렁탕 평촌점,10:00~21:30,"월급2,400,000",34분전
충남 아산시, 더본코리아 한신포차 아산신용화점,21:00~04:00,"시급9,000",36분전
부산 부산진, 더본코리아 홍콩반점0410 부산양정역,11:00~21:00,"월급2,400,000",38분전
전북 전주시, 롤링파스타 전북대점,10:00~20:00,"월급2,400,000",38분전
전북 전주시, 롤링파스타 전북대점,10:00~20:00,"월급2,400,000",38분전
부산 전체, 더본코리아 홍콩반점0410 부산영도대,시간협의,"월급2,300,000",38분전
부산 부산진, 더본코리아 홍콩반점0410 부산양정역,11:00~21:00,"월급2,400,000",38분전
충북 청주시, 홍콩반점0410 충북대중문점,10:30~21:30,"월급2,350,000",39분전
경남 김해시, 더본코리아 홍콩반점0410 김해내동,09:30~21:30,"월급2,800,000",43분전
경남 김해시, 더본코리아 홍콩반점0410 김해내동,09:30~21:30,"월급2,800,000",43분전
서울 강남구, 더본코리아 홍콩반점0410 압구정역점,10:00~21:00,"월급2,400,000",44분전
인천 부평구, 더본코리아 롤링파스타 부평로데오점,10:00~22:00,"월급2,600,000",47분전
부산 해운대, 새마을식당 부산장산점,12:00~24:00,"월급2,500,000",47분전
경남 창원시, 더본코리아 리춘시장 창원봉곡점,16:30~04:00,"월급2,400,000",47분전
부산 해운대, 새마을식당 부산장산점,시간협의,"시급8,720",48분전
부산 해운대, 롤링파스타 부산장산역점,시간협의,"시급8,720",48분전
부산 해운대, 롤링파스타 부산장산역점,10:00~22:00,"월급2,500,000",49분전
부산 해운대, 롤링파스타 부산장산역점,10:00~22:00,"월급2,400,000",49분전
서울 마포구, 더본코리아 홍콩반점0410 홍대2호점,10:00~22:00,"월급2,600,000",50분전
