place,title,time,pay,date
서울 서초구, 사보텐 교대역점,10:00~15:30,"시급8,720",37분전
서울 영등포, 사보텐 경방타임스퀘어점,시간협의,"시급8,720",37분전
서울 송파구, 사보텐 롯데월드점,12:00~21:00,"시급8,720",2시간전
서울 서초구, 사보텐 교대역점,10:00~15:30,"시급8,720",2시간전
서울 성북구, (주)캘리스코 현대미아점,17:00~22:00,"시급8,720",2시간전
서울 전체, (주)캘리스코 사보텐 코엑스점,17:00~22:00,"시급8,720",3시간전
서울 강남구, 사보텐 아워홈빌딩점,09:30~14:00,"시급8,720",3시간전
광주 서구, 사보텐 신세계광주점,시간협의,"시급8,720",4시간전
경기 여주시, (주)캘리스코 히바린 여주첼시점,00:00~24:00,"시급8,720",4시간전
서울 강남구, (주)캘리스코 사보텐 코엑스점,시간협의,"시급8,720",6시간전
부산 전체, 히바린 롯데부산본점,시간협의,"시급8,720",6시간전
부산 전체, 히바린 롯데부산본점,시간협의,"시급8,720",6시간전
경기 여주시, (주)캘리스코 히바린 여주첼시점,00:00~24:00,"시급8,720",6시간전
서울 서초구, (주)캘리스코,00:00~24:00,"시급8,720",7시간전
경기 안성시, (주)캘리스코 스타필드안성점,12:00~16:00,"시급8,720",7시간전
서울 영등포, (주)캘리스코,10:00~22:00,"시급8,720",8시간전
서울 서초구, 사보텐 교대역점,10:00~15:30,"시급8,720",04/03
경기 여주시, (주)캘리스코 히바린 여주첼시점,시간협의,"시급8,720",04/01
경기 의정부, 사보텐 신세계의정부점,시간협의,"시급8,720",04/01
서울 강남구, (주)캘리스코,12:00~16:30,"시급8,720",03/21
서울 마포구, (주)캘리스코 사보텐 공덕역점,17:00~21:00,"시급8,720",03/21
