place,title,time,pay,date
울산 남구, 슈마커 울산업스퀘어점,10:00~20:00,"시급8,720",55분전
대구 동구, 슈마커 대구이시아폴리스점,11:00~21:00,"월급2,163,940",2시간전
울산 남구, 슈마커 울산업스퀘어점,10:00~20:00,"시급8,720",2시간전
서울 강서구, 슈마커 NC강서점,10:00~19:00,"시급8,720",2시간전
울산 남구, 슈마커 울산업스퀘어점,10:00~20:00,"시급8,720",4시간전
울산 남구, 슈마커 울산업스퀘어점,10:00~20:00,"시급8,720",6시간전
대구 동구, 슈마커 대구이시아폴리스점,11:00~21:00,"월급2,163,940",7시간전
대구 동구, 슈마커 대구이시아폴리스점,11:00~21:00,"월급2,163,940",10시간전
서울 양천구, (주)슈마커,10:00~20:00,"월급2,133,360",04/04
대구 동구, 슈마커 대구이시아폴리스점,11:00~21:00,"월급2,163,940",04/03
서울 양천구, (주)슈마커,10:00~20:00,"월급2,133,360",04/02
서울 양천구, (주)슈마커,10:00~20:00,"월급2,133,360",04/01
서울 양천구, (주)슈마커,10:00~20:00,"월급2,133,360",03/30
