place,title,time,pay,date
대구 전체, 슈퍼히어로 대구수성지사,10:30~01:00,"월급4,000,000",9분전
대구 전체, 슈퍼히어로 대구수성지사,10:30~01:00,"월급4,000,000",11분전
대구 전체, 슈퍼히어로 대구수성지사,10:30~01:00,"월급4,000,000",11분전
충남 천안시, 슈퍼히어로 천안쌍용지사,시간협의,"월급4,500,000",14분전
경기 안산시, 슈퍼히어로 안산사동지사,시간협의,"월급4,000,000",16분전
경기 안산시, 슈퍼히어로 안산신이동지사,10:00~03:00,"일급150,000",31분전
경기 남양주, 슈퍼히어로 남양주진접지사,시간협의,"건별3,500",31분전
경기 의정부, 슈퍼히어로 의정부L,시간협의,"건별4,000",34분전
경기 안산시, 슈퍼히어로 안산고잔지사,시간협의,"월급4,000,000",42분전
경기 광명시, 슈퍼히어로 광명센터,10:00~02:30,"월급6,000,000",3시간전
경기 광명시, 슈퍼히어로 광명센터,10:00~02:30,"월급6,000,000",3시간전
경기 광주시, 슈퍼히어로 광주태전센터,시간협의,"일급200,000",4시간전
경기 파주시, 슈퍼히어로 파주운정지사,시간협의,"주급300,000",4시간전
전남 광양시, 슈퍼히어로 광영지사,10:30~24:00,"건별3,500",6시간전
경기 안산시, 슈퍼히어로 안산센터,10:00~03:00,"건별3,200",7시간전
경기 의정부, 슈퍼히어로 의정부F,시간협의,"일급150,000",7시간전
경기 광주시, 슈퍼히어로 광주태전센터,시간협의,"일급200,000",7시간전
경기 부천시, 슈퍼히어로 TNB소사지사,시간협의,"일급200,000",7시간전
경기 부천시, 슈퍼히어로 TNB소사지사,시간협의,"일급200,000",7시간전
충남 천안시, 슈퍼히어로 천안목천지사,시간협의,"월급5,000,000",7시간전
충남 천안시, 슈퍼히어로 천안센터,시간협의,"월급4,500,000",8시간전
경기 안산시, 슈퍼히어로 안산신이동지사,10:00~03:00,"일급150,000",8시간전
경기 안산시, 슈퍼히어로 안산신이동지사,10:00~03:00,"일급150,000",8시간전
경기 부천시, 슈퍼히어로 부천남부지사,시간협의,"건별3,500",8시간전
경기 시흥시, 슈퍼히어로 시흥시센터,시간협의,"일급150,000",9시간전
서울 마포구, 슈퍼히어로 마포지사,시간협의,"일급200,000",9시간전
전남 광양시, 슈퍼히어로 광영지사,09:00~02:00,"일급150,000",10시간전
경기 광명시, 슈퍼히어로 광명센터,10:00~02:30,"월급6,000,000",11시간전
전남 광양시, 슈퍼히어로 광영지사,10:30~24:00,"건별3,500",12시간전
경기 연천군, 슈퍼히어로 전곡지사,시간협의,"건별3,000",12시간전
경기 의정부, 슈퍼히어로 의정부L,시간협의,"건별4,000",21시간전
경기 부천시, 슈퍼히어로 부천러쉬,시간협의,"일급200,000",04/04
경기 의정부, 슈퍼히어로 의정부L,시간협의,"건별4,000",04/04
경남 진주시, 슈퍼히어로 진주엠케이2,시간협의,"건별3,500",04/04
경기 부천시, 슈퍼히어로 부천허니런,시간협의,"건별3,500",04/04
경북 의성군, 슈퍼히어로 의성지사,10:30~10:30,"건별2,200",04/04
인천 전체, 슈퍼히어로 부평굿맨지사,09:00~24:00,"월급6,000,000",04/04
서울 관악구, 슈퍼히어로 관악동작센터,시간협의,"건별3,600",04/04
경기 의정부, 슈퍼히어로 의정부브라더,시간협의,"건별4,000",04/03
경기 의정부, 슈퍼히어로 의정부브라더,시간협의,"건별4,000",04/03
경기 의정부, 슈퍼히어로 의정부G,시간협의,"건별4,000",04/03
경기 의정부, 슈퍼히어로 의정부G,시간협의,"건별4,000",04/03
경기 광주시, 슈퍼히어로 광주태전센터,시간협의,"일급200,000",04/03
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",04/03
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",04/03
부산 남구, 슈퍼히어로 부산용호지사,시간협의,"시급16,000",04/03
부산 남구, 슈퍼히어로 부산용호지사,시간협의,"시급16,000",04/03
경기 의정부, 슈퍼히어로 의정부드림,시간협의,"건별4,000",04/03
부산 남구, 슈퍼히어로 부산용호지사,시간협의,"시급16,000",04/03
부산 남구, 슈퍼히어로 부산남부지사,시간협의,"시급16,000",04/03
부산 남구, 슈퍼히어로 부산남부지사,시간협의,"시급16,000",04/03
부산 남구, 슈퍼히어로 부산남부지사,시간협의,"시급16,000",04/03
경기 의정부, 슈퍼히어로 의정부센터,시간협의,"월급6,000,000",04/03
경북 칠곡군, 슈퍼히어로 왜관지사,시간협의,"일급100,000",04/03
대구 달성군, 슈퍼히어로 달성구지지사,시간협의,"일급100,000",04/03
경남 진주시, 슈퍼히어로 진주엠케이,시간협의,"월급6,000,000",04/03
