place,title,time,pay,date
서울 서초구, 슈펜 슈펜본부,13:00~22:00,"월급1,920,000",36분전
서울 관악구, 슈펜 슈펜본부,13:00~22:00,"월급1,920,000",36분전
서울 송파구, 슈펜 슈펜본부,13:00~22:00,"월급1,920,000",36분전
경기 부천시, 슈펜 부천 (뉴코아아울렛),13:00~22:00,"월급1,992,480",2시간전
경기 부천시, 슈펜 부천 (뉴코아아울렛),13:00~22:00,"월급1,992,480",2시간전
경기 부천시, 슈펜 부천 (뉴코아아울렛),13:00~22:00,"월급1,992,480",2시간전
부산 부산진, 슈펜 슈펜 서면점,13:00~22:00,"월급1,922,480",2시간전
부산 부산진, 슈펜 슈펜 서면점,13:00~22:00,"월급1,922,480",2시간전
서울 동작구, 슈펜 강남역 1호 (점프밀라노),13:00~22:00,"월급1,922,480",2시간전
서울 전체, 슈펜 강남역 1호 (점프밀라노),13:00~22:00,"월급1,922,480",2시간전
서울 강남구, 슈펜 강남역 1호 (점프밀라노),13:00~22:00,"월급1,922,480",2시간전
서울 관악구, 슈펜 강남역 1호 (점프밀라노),13:00~22:00,"월급1,922,480",2시간전
서울 노원구, 슈펜 청량리 (롯데백화점),13:00~22:00,"월급1,922,480",2시간전
서울 동대문, 슈펜 청량리 (롯데백화점),13:00~22:00,"월급1,922,480",2시간전
서울 중랑구, 슈펜 청량리 (롯데백화점),13:00~22:00,"월급1,922,480",2시간전
서울 성북구, 슈펜 청량리 (롯데백화점),13:00~22:00,"월급1,922,480",2시간전
부산 해운대, 슈펜 해운대점,13:00~22:00,"월급1,900,000",2시간전
경기 고양시, 슈펜 일산 (뉴코아아울렛),13:00~22:00,"월급1,922,480",2시간전
경기 고양시, 슈펜 일산 (뉴코아아울렛),13:00~22:00,"월급1,922,480",2시간전
경기 고양시, 슈펜 일산 (뉴코아아울렛),13:00~22:00,"월급1,922,480",2시간전
서울 전체, 슈펜 슈펜 홍대점,09:00~18:00,"월급1,920,000",4시간전
전남 순천시, 슈펜 광양 LF몰점,12:00~21:00,"월급1,922,480",04/04
전남 광양시, 슈펜 광양 LF몰점,12:00~21:00,"월급1,922,480",04/04
전남 광양시, 슈펜 광양 LF몰점,13:00~20:00,"시급8,720",04/04
서울 동작구, 슈펜 용산 아이파크몰점,13:00~20:00,"시급8,720",04/03
서울 영등포, 슈펜 용산 아이파크몰점,13:00~20:00,"시급8,720",04/03
서울 용산구, 슈펜 용산 아이파크몰점,13:00~20:00,"시급8,720",04/03
