place,title,time,pay,date
광주 남구, 스타벅스커피 코리아 광주봉선로,07:30~22:30,"시급9,000",4분전
전남 여수시, 스타벅스커피 코리아 여수여천점,07:30~21:30,"시급9,000",5분전
전남 광양시, 스타벅스커피 코리아 전남광양DT,06:30~23:00,"시급9,000",5분전
충북 청주시, 청주오송,06:30~24:00,"시급9,000",8분전
경기 용인시, 스타벅스커피 코리아 용인보정DT,07:00~23:00,"시급9,000",15분전
충남 계룡시, 스타벅스커피 코리아 계룡대로DT,06:00~23:00,"시급9,000",29분전
경남 창원시, 스타벅스커피 코리아 마산해안대로DT점,06:00~23:30,"시급9,000",37분전
충남 천안시, 스타벅스커피 코리아 천안서북이마트,09:00~23:00,"시급9,000",47분전
충남 서산시, 서산예천DT,06:00~23:00,"시급9,000",55분전
충남 서산시, 서산예천DT,06:00~23:00,"시급9,000",58분전
충남 서산시, 스타벅스커피 코리아 서산호수점,07:00~23:00,"시급9,000",1시간전
대전 서구, 스타벅스커피 코리아 대전대덕로점,06:00~21:30,"시급9,000",1시간전
전남 광양시, 스타벅스커피 코리아 전남광양DT,06:30~23:00,"시급9,000",1시간전
경기 성남시, 스타벅스커피 코리아 정자동,06:30~22:30,"시급9,000",1시간전
서울 중구, 명동센트럴,시간협의,"시급9,000",1시간전
충북 전체, 스타벅스커피 코리아 충북진천혁신도시,06:30~23:00,"시급9,000",1시간전
서울 은평구, 스타벅스커피 코리아 은평구청입구점,06:30~24:00,"시급9,000",2시간전
제주 제주시, 스타벅스커피 코리아 제주애월DT점,07:30~24:00,"시급9,000",2시간전
전남 여수시, 스타벅스커피 코리아 여수여천점,07:30~21:30,"시급9,000",2시간전
경기 하남시, 스타필드위례1FR,09:00~23:00,"시급9,000",2시간전
충북 전체, 스타벅스커피 코리아 오창호수공원,07:30~23:00,"시급9,000",2시간전
전남 여수시, 스타벅스커피 코리아 여수여서점,08:00~23:00,"시급9,000",2시간전
경남 창원시, 스타벅스커피 코리아 마산월남동DT,18:00~23:30,"시급9,000",3시간전
경남 김해시, 스타벅스커피 코리아 신세계김해,09:30~21:30,"시급9,000",3시간전
경기 용인시, 스타벅스커피 코리아 용인보정DT,07:00~23:00,"시급9,000",3시간전
경기 수원시, 스타벅스커피 코리아 수원시청점,06:30~22:30,"시급9,000",3시간전
대전 유성구, 스타벅스커피 코리아 대전관평동점,06:30~24:00,"시급9,000",3시간전
충북 청주시, 스타벅스커피 코리아 청주비하DT,06:00~24:00,"시급9,000",3시간전
경기 파주시, 스타벅스커피 코리아 파주운정이마트,09:30~22:30,"시급9,000",3시간전
경남 창원시, 스타벅스커피 코리아 삼성창원병원,06:30~22:00,"시급9,000",3시간전
대전 서구, 대전건양대병원,06:30~22:30,"시급9,000",3시간전
서울 강남구, 스타벅스커피 코리아 압구정미소점,08:00~15:00,"시급9,000",4시간전
경기 용인시, 스타벅스커피 코리아 용인동백DT점,06:30~23:00,"시급9,000",4시간전
경남 창원시, 스타벅스커피 코리아 마산해안대로DT점,06:00~23:30,"시급9,000",4시간전
