place,title,time,pay,date
서울 전체, 보노보노 플러스 삼성점,08:00~17:00,"월급2,000,130",8분전
서울 중구, 노브랜드버거 을지로4가역점,18:00~22:30,"시급8,900",8분전
서울 관악구, 자니로켓 사당(사당역5번출구앞),15:30~00:30,"월급2,000,000",9분전
서울 전체, 보노보노 플러스 삼성점,13:00~22:00,"시급8,900",9분전
서울 전체, 보노보노 플러스 삼성점,13:00~22:00,"시급8,900",10분전
서울 관악구, 자니로켓 사당(사당역5번출구앞),15:30~00:30,"월급2,000,000",12분전
서울 관악구, 자니로켓 사당(사당역5번출구앞),15:30~00:30,"월급2,000,000",20분전
서울 중구, 신세계푸드 노브랜드버거 서울시청점,11:30~19:30,"시급8,900",30분전
서울 광진구, 노브랜드버거 건대입구점,시간협의,"시급8,900",30분전
서울 중구, 베키아에누보 신세계백화점 본점,11:30~18:00,"시급8,720",38분전
서울 관악구, 자니로켓 사당(사당역5번출구앞),15:30~00:30,"월급2,000,000",41분전
서울 서대문, 노브랜드버거신촌점,16:30~23:00,"시급8,900",51분전
경기 전체, 노브랜드버거 스타필드안성점,12:00~21:00,"시급8,900",59분전
서울 중구, 노브랜드버거 을지로4가역점,18:00~22:30,"시급8,900",1시간전
부산 해운대, 베키아에누보 센텀시티점,10:00~16:00,"시급8,720",1시간전
서울 성북구, 노브랜드버거 종로구청점,00:00~24:00,"시급8,900",1시간전
서울 서초구, 노브랜드버거 남부터미널점,시간협의,"시급8,900",1시간전
서울 서초구, 신세계푸드 NBB 남부터미널점,시간협의,"시급8,900",1시간전
서울 금천구, 신세계푸드 NBB 가산디지털단지점,16:00~20:00,"시급8,900",1시간전
서울 금천구, 신세계푸드 NBB 가산디지털단지점,14:30~22:30,"시급8,900",1시간전
경기 부천시, (주)신세계푸드 노브랜드버거 마곡점,10:00~14:00,"시급8,900",1시간전
경기 고양시, 노브랜드버거 고양신원점(가맹),시간협의,"월급2,200,000",2시간전
인천 남동구, 노브랜드버거 인천구월점,16:00~22:30,"시급8,900",2시간전
서울 광진구, (주)신세계푸드 노브랜드버거 역삼역점,시간협의,"시급8,900",2시간전
서울 전체, (주)신세계푸드 노브랜드버거 역삼역점,시간협의,"시급8,900",2시간전
서울 송파구, (주)신세계푸드 노브랜드버거 역삼역점,시간협의,"시급8,900",2시간전
서울 서초구, 노브랜드버거 방배역점,13:30~22:30,"시급8,900",2시간전
서울 관악구, (주)신세계푸드 노브랜드버거 역삼역점,시간협의,"시급8,900",2시간전
경기 부천시, (주)신세계푸드 노브랜드버거 마곡점,06:00~23:00,"시급8,900",2시간전
서울 강남구, (주)신세계푸드 노브랜드버거 역삼역점,시간협의,"시급8,900",2시간전
서울 중랑구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",2시간전
서울 광진구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",2시간전
서울 노원구, 주)신세계푸드 노브랜드버거 학동역점,시간협의,"시급8,900",2시간전
서울 강서구, (주)신세계푸드 노브랜드버거 마곡점,09:00~14:00,"시급8,900",2시간전
서울 관악구, 자니로켓 사당(사당역5번출구앞),15:30~00:30,"월급2,000,000",3시간전
경기 용인시, 신세계푸드,18:30~22:00,"시급10,000",6시간전
서울 성북구, 노브랜드버거 종로구청점,00:00~24:00,"시급8,900",22시간전
경기 용인시, 신세계푸드,18:30~22:00,"시급10,000",04/04
서울 은평구, 노브랜드버거 연신내점,14:00~23:00,"시급8,900",04/03
서울 성북구, 노브랜드버거 종로구청점,시간협의,"시급8,900",04/03
서울 강남구, 노브랜드버거 대치대원빌딩점,13:30~22:30,"시급8,900",03/31
서울 성북구, 노브랜드버거 종로구청점,시간협의,"시급8,900",03/30
서울 은평구, 신세계푸드 데블스다이너 고양점,13:00~22:00,"시급11,000",03/28
경기 고양시, 신세계푸드 데블스다이너 고양점,13:00~22:00,"시급11,000",03/28
경기 고양시, 신세계푸드 데블스다이너 고양점,13:00~22:00,"시급11,000",03/28
경기 고양시, 신세계푸드 데블스다이너 고양점,13:00~22:00,"시급11,000",03/28
서울 강남구, 노브랜드버거 대치대원빌딩점,13:30~22:30,"시급8,900",03/26
경기 김포시, 보노보노M 김포한강점,13:00~22:00,"월급1,860,100",03/26
경기 김포시, 보노보노M 김포한강점,13:00~22:00,"시급8,900",03/26
서울 금천구, 신세계푸드 NBB 가산디지털단지점,14:00~22:30,"시급8,900",03/24
서울 강남구, 노브랜드버거 대치대원빌딩점,13:30~22:30,"시급8,900",03/23
