place,title,time,pay,date
서울 강서구, 아워홈 이대서울병원강서점,10:00~19:00,"시급9,000",46분전
부산 전체, 아워홈 만디젤앤터보코리아부산점,09:00~14:30,"시급8,720",4시간전
경남 김해시, 아워홈 행성김해점,08:30~18:30,"시급8,720",5시간전
경기 평택시, 아워홈 LG이노텍평택점,09:00~14:30,"시급8,720",5시간전
서울 전체, 아워홈 LG트윈타워점,11:00~08:00,"시급8,720",6시간전
경남 양산시, 양산공장지원파트,08:30~17:30,"시급8,720",6시간전
인천 남동구, 아워홈 한국단자공업남동공장점,21:30~09:00,"시급9,200",7시간전
인천 남동구, 아워홈 한국단자공업남동공장점,11:00~14:00,"시급8,720",7시간전
경기 군포시, 아워홈 GS홈쇼핑물류센터군포점,10:00~19:00,"시급8,720",8시간전
서울 강서구, 아워홈 KCC오토타워강서점,08:30~15:30,"시급8,720",8시간전
경기 성남시, 아워홈 실리콘파크분당점,09:00~15:00,"시급8,720",8시간전
부산 전체, 아워홈 만디젤앤터보코리아부산점,09:00~14:30,"시급8,720",13시간전
인천 연수구, 아워홈 바바리안모터스인천점,09:00~15:00,"시급8,720",04/04
경기 안성시, 아워홈 코리아에프티안성점,06:00~15:00,"일급80,000",04/04
전북 전체, 아워홈 용산익산점,16:00~19:00,"시급12,000",04/04
경북 구미시, 아워홈 LG전자구미3공장점,05:00~14:30,"시급8,720",04/03
서울 강서구, 오토닉스R&D마곡센터점,12:30~15:30,"시급8,720",04/03
인천 남동구, 아워홈 한국단자공업남동공장점,11:00~14:00,"시급8,720",04/03
경기 성남시, 아워홈 실리콘파크분당점,09:00~15:00,"시급8,720",04/03
경기 부천시, 아워홈 서울여성병원부천점,06:00~15:00,"일급69,760",04/03
서울 강남구, 아워홈 쿠팡,10:00~19:00,"시급8,720",04/03
제주 제주시, 아워홈 솔담한방병원제주점,시간협의,"시급9,000",04/03
경기 화성시, 아워홈 우신세이프티화성점,09:00~19:00,"시급9,200",04/03
서울 전체, 아워홈 대상상봉점,11:00~16:00,"월급980,000",04/02
부산 전체, 아워홈 만디젤앤터보코리아부산점,09:00~14:30,"시급8,720",04/02
경기 용인시, 아워홈 노블카운티용인점,시간협의,"일급80,000",04/02
전북 전체, 아워홈 용산익산점,15:00~19:00,"시급12,000",04/02
대구 달성군, 아워홈 대동공업대구달성점,07:00~15:30,"월급2,300,000",04/02
경기 부천시, 아워홈 삼성미래산후조리원부천점,05:30~14:30,"시급9,200",04/02
경기 의정부, 아워홈 업타운성모병원의정부점,09:00~13:00,"시급8,720",04/02
강원 춘천시, 아워홈 더플레이어스GC춘천점,시간협의,"월급2,100,000",04/01
서울 영등포, 한림성심병원강남점,05:00~14:00,"시급8,720",03/31
부산 전체, 아워홈 만디젤앤터보코리아부산점,09:00~14:30,"시급8,720",03/30
경남 양산시, 아워홈 쿠쿠양산점,07:30~14:30,"시급9,500",03/30
충북 청주시, 아워홈 LS산전청주점,10:00~16:00,"시급8,720",03/30
충북 청주시, 아워홈 LS산전청주점,10:00~16:00,"시급8,720",03/30
