place,title,time,pay,date
세종 전체, 애니맨 대구지사A,09:00~18:00,"건별20,000",6시간전
대구 서구, 애니맨 대구지사A,09:00~18:00,"건별20,000",6시간전
대구 수성구, 애니맨 대구지사A,09:00~18:00,"건별20,000",6시간전
대구 중구, 애니맨 대구지사A,09:00~18:00,"건별20,000",6시간전
대구 북구, 애니맨 대구지사A,09:00~18:00,"건별20,000",6시간전
대구 달서구, 애니맨 대구지사A,09:00~18:00,"건별20,000",6시간전
대구 달성군, 애니맨 대구지사A,09:00~18:00,"건별20,000",6시간전
대구 남구, 애니맨 대구지사A,09:00~18:00,"건별20,000",6시간전
대구 동구, 애니맨 대구지사A,09:00~18:00,"건별20,000",6시간전
대구 북구, 애니맨 대구지사A,09:00~18:00,"건별20,000",6시간전
대전 중구, 애니맨 대전지사,09:00~18:00,"건별20,000",6시간전
대전 유성구, 애니맨 대전지사,09:00~18:00,"건별20,000",6시간전
대전 서구, 애니맨 대전지사,09:00~18:00,"건별20,000",6시간전
대전 동구, 애니맨 대전지사,09:00~18:00,"건별20,000",6시간전
대전 대덕구, 애니맨 대전지사,09:00~18:00,"건별20,000",6시간전
광주 서구, 애니맨 광주지사,09:00~18:00,"건별20,000",6시간전
광주 북구, 애니맨 광주지사,09:00~18:00,"건별20,000",6시간전
광주 동구, 애니맨 광주지사,09:00~18:00,"건별20,000",6시간전
광주 남구, 애니맨 광주지사,09:00~18:00,"건별20,000",6시간전
광주 광산구, 애니맨 광주지사,09:00~18:00,"건별20,000",6시간전
부산 중구, 애니맨 부산지사B,09:00~18:00,"건별20,000",6시간전
부산 영도구, 애니맨 부산지사B,09:00~18:00,"건별20,000",6시간전
부산 연제구, 애니맨 부산지사B,09:00~18:00,"건별20,000",6시간전
부산 수영구, 애니맨 부산지사B,09:00~18:00,"건별20,000",6시간전
부산 서구, 애니맨 부산지사B,09:00~18:00,"건별20,000",6시간전
부산 서구, 애니맨 부산지사B,09:00~18:00,"건별20,000",6시간전
