place,title,time,pay,date
서울 강북구, 얼맥당 미아점,19:00~22:00,"월급800,000",10분전
서울 마포구, 얼맥당 합정점,14:00~23:00,"월급2,200,000",2시간전
서울 마포구, 얼맥당 합정점,18:30~22:30,"시급8,720",2시간전
서울 마포구, 얼맥당 합정점,14:00~23:00,"월급2,200,000",2시간전
서울 마포구, 얼맥당 합정점,18:30~22:30,"시급8,720",2시간전
대구 북구, 얼맥당 침산사거리점,시간협의,"시급8,720",03/30
대구 북구, 얼맥당 침산사거리점,시간협의,"시급8,720",03/30
대구 북구, 얼맥당 침산사거리점,시간협의,"시급8,720",03/30
대구 북구, 얼맥당 침산사거리점,시간협의,"시급8,720",03/27
서울 마포구, 얼맥당 합정점,14:00~23:00,"월급2,200,000",03/24
서울 중랑구, 얼맥당 먹골역점,17:00~22:00,"시급8,720",03/21
