place,title,time,pay,date
경기 화성시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",3분전
경북 포항시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",8분전
서울 양천구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",10분전
서울 영등포, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",12분전
서울 마포구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",13분전
서울 금천구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",18분전
대전 동구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",20분전
서울 강남구, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",6시간전
경기 화성시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",6시간전
부산 기장군, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",6시간전
서울 중구, 제일패션리테일(주),12:30~21:30,"시급8,720",6시간전
경기 수원시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",7시간전
부산 전체, 제일패션리테일(주),12:30~21:30,"시급8,720",7시간전
부산 기장군, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",8시간전
경기 고양시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",8시간전
경기 용인시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",8시간전
경기 파주시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",8시간전
경기 용인시, 제일패션리테일(주),13:00~22:00,"연봉25,130,000",8시간전
서울 중구, 에잇세컨즈 명동본점,09:00~18:00,"시급10,470",8시간전
서울 서대문, 제일패션리테일(주),시간협의,"시급10,470",04/02
경남 창원시, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",03/30
광주 동구, 제일패션리테일(주),13:00~22:00,"연봉26,500,000",03/30
