place,title,time,pay,date
전북 익산시, 엔제리너스 익산고봉로점,12:00~15:00,"시급8,720",4시간전
경기 수원시, 엔제리너스 수원고색D/I점,18:00~21:00,"시급8,720",5시간전
서울 송파구, 엔제리너스 건대영존점,08:00~22:00,"시급8,720",5시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,720",6시간전
서울 광진구, 엔제리너스 건대역점,08:00~15:00,"시급8,720",9시간전
대구 서구, 엔제리너스 대구북비산네거리점,시간협의,"월급1,830,000",9시간전
서울 송파구, 엔제리너스 건대영존점,08:00~22:00,"시급8,720",9시간전
전북 군산시, 엔제리너스 롯데몰군산,14:00~21:00,"시급8,720",10시간전
전북 군산시, 엔제리너스 롯데몰군산,14:00~21:00,"시급8,720",10시간전
서울 송파구, 엔제리너스 잠실롯데월드몰B1점,10:00~18:00,"시급8,720",12시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,720",13시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,720",13시간전
서울 강남구, 엔제리너스 수서환승통로점,시간협의,"시급8,720",13시간전
서울 송파구, 엔제리너스 건대영존점,08:00~22:00,"시급8,720",13시간전
서울 중구, 엔제리너스 서울역사점,12:00~23:30,"시급8,720",14시간전
서울 중구, 엔제리너스 서울역사점,12:00~23:30,"시급8,720",15시간전
대구 전체, 엔제리너스 대구칠성시장역점,시간협의,"월급1,830,000",23시간전
대구 전체, 엔제리너스 칠곡구암역점,23:30~08:00,"월급2,180,000",04/02
대구 전체, 엔제리너스 칠곡구암역점,시간협의,"월급1,830,000",04/02
충남 논산시, 엔제리너스 논산점,18:30~23:00,"시급8,720",04/02
울산 북구, 엔제리너스 울산명촌점,09:30~15:00,"시급8,720",04/01
부산 기장군, 엔제리너스 롯데아울렛동부산1층점,13:00~22:00,"월급1,900,000",03/31
충남 논산시, 엔제리너스 논산점,18:30~23:00,"시급8,720",03/30
울산 중구, 엔제리너스 울산병영점,시간협의,"월급1,830,000",03/27
경북 경주시, 엔제리너스 경주D/T점,14:00~23:00,"월급1,850,000",03/26
부산 강서구, 엔제리너스 김해공항점,06:00~22:00,"시급8,800",03/20
