place,title,time,pay,date
서울 관악구, 폴바셋 광명철산DT점,07:00~23:00,"시급9,000",6분전
서울 동작구, 폴바셋 광명철산DT점,07:00~23:00,"시급9,000",6분전
서울 구로구, 폴바셋 광명철산DT점,07:00~23:00,"시급9,000",7분전
경기 부천시, 폴바셋 광명철산DT점,07:00~23:00,"시급9,000",8분전
경기 광명시, 폴바셋 광명철산DT점,07:00~23:00,"시급9,000",11분전
서울 강남구, 폴바셋 청담점,06:30~22:30,"시급9,000",1시간전
서울 전체, 폴바셋 구로지밸리몰점,07:00~23:00,"시급9,000",1시간전
서울 전체, 폴바셋 서초본점,06:30~22:00,"시급9,000",1시간전
서울 전체, 폴바셋 GFC점,07:00~23:00,"시급9,000",1시간전
서울 종로구, 폴바셋 종각역점,07:00~23:00,"시급9,000",1시간전
경기 의정부, 송반(엠즈씨드),09:00~20:30,"월급2,176,200",2시간전
경기 김포시, 폴바셋 현대아울렛김포점,08:00~22:00,"시급9,000",2시간전
경기 고양시, 폴바셋 스타필드고양1호점,08:00~23:00,"시급8,720",2시간전
서울 전체, 폴바셋 구로지밸리몰점,07:00~23:00,"시급9,000",2시간전
경기 파주시, 폴바셋 파주프리미엄아울렛점,07:00~23:00,"시급8,800",2시간전
경기 고양시, 폴바셋 스타필드 고양 1호점,08:00~23:00,"시급9,000",2시간전
부산 전체, 폴 바셋 롯데백화점 광복점,09:00~23:00,"시급9,000",2시간전
경기 고양시, 폴바셋 김포구래DT점,07:00~23:30,"시급9,000",3시간전
경기 고양시, 폴바셋 김포구래DT점,07:00~23:30,"시급9,000",3시간전
경기 김포시, 폴바셋 김포구래DT점,07:00~23:30,"시급9,000",3시간전
서울 관악구, 폴바셋 NC타워삼성점,06:30~22:00,"시급9,000",3시간전
서울 강남구, 폴바셋 NC타워삼성점,06:30~22:00,"시급9,000",3시간전
서울 전체, 폴바셋 구로지밸리몰점,07:00~23:00,"시급9,000",3시간전
서울 강남구, 더키친일뽀르노 신세계강남점,11:00~21:00,"월급2,100,000",3시간전
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급9,000",3시간전
서울 동작구, 더키친일뽀르노 신세계강남점,11:00~21:00,"월급2,100,000",3시간전
서울 관악구, 더키친일뽀르노 신세계강남점,11:00~21:00,"월급2,100,000",3시간전
서울 서초구, 더키친일뽀르노 신세계강남점,11:00~21:00,"월급2,100,000",3시간전
경기 용인시, 폴바셋 롯데몰수지점,07:00~23:00,"시급9,000",4시간전
서울 강동구, 폴바셋 상일동점,06:30~22:00,"시급9,000",5시간전
서울 강서구, 폴바셋 롯데김포공항점,09:00~23:00,"시급9,000",5시간전
경기 수원시, 폴바셋 광교엘포트점,07:00~23:00,"시급9,000",7시간전
서울 영등포, 폴 바셋 여의도 현대카드점,07:00~21:00,"시급9,000",11시간전
서울 서초구, 폴바셋 롯데강남점,08:00~22:00,"시급9,000",20시간전
서울 강남구, 폴바셋 NC타워삼성점,06:30~22:00,"시급9,000",04/04
부산 기장군, 상하목장 밀크아이스크림 롯데몰동부산점,09:00~22:00,"시급8,720",04/04
서울 강남구, 폴바셋 롯데강남점,08:00~22:00,"시급9,000",04/04
대구 동구, 살바토레쿠오모 신세계대구점,09:30~17:30,"시급8,720",04/04
서울 영등포, 폴바셋 여의도점,06:00~23:00,"시급9,000",04/03
서울 전체, 크리스탈제이드,12:00~21:00,"시급8,720",04/03
제주 제주시, 폴바셋 제주아라DT점,06:00~24:00,"시급9,000",04/03
전북 전주시, 폴바셋 전주혁신도시점,06:30~23:00,"시급9,000",04/03
인천 중구, 폴바셋 파라다이스점,09:00~14:30,"시급9,000",04/02
서울 구로구, 폴바셋 고대구로병원점,06:00~21:30,"시급9,000",04/02
서울 종로구, 폴바셋 광화문점,06:00~23:00,"시급9,000",04/02
서울 전체, 폴바셋 서초본점,06:30~22:00,"시급9,000",04/02
서울 마포구, 폴바셋 MBC몰 파크점,07:00~23:00,"시급9,000",04/02
서울 강남구, 폴바셋 NC타워삼성점,06:30~22:00,"시급9,000",04/01
서울 강동구, 폴바셋 상일동점,06:30~22:00,"시급9,000",04/01
서울 전체, 폴바셋 롯데본점2호점,09:00~21:00,"시급9,000",03/31
서울 관악구, 폴바셋 구로지스퀘어점,07:00~23:00,"시급9,000",03/30
서울 구로구, 폴바셋 구로지스퀘어점,07:00~23:00,"시급9,000",03/30
서울 구로구, 폴바셋 구로지스퀘어점,07:00~23:00,"시급9,000",03/29
인천 전체, 폴바셋 송도점,07:00~23:30,"시급9,000",03/29
서울 전체, 폴바셋 강남GT타워점,06:00~23:00,"시급9,000",03/26
서울 은평구, 폴바셋 롯데몰은평점,17:00~22:30,"시급8,720",03/25
서울 강서구, 폴바셋 현대아울렛김포점,08:00~22:00,"시급9,000",03/24
서울 전체, 폴바셋 강남구청역점,06:30~23:00,"시급9,000",03/23
서울 전체, 폴바셋 현대백화점천호점,08:30~21:30,"시급9,000",03/23
서울 전체, 폴바셋 현대백화점천호점,08:30~21:30,"시급9,000",03/22
서울 종로구, 폴바셋 종각역점,07:00~23:00,"시급9,000",03/21
