place,title,time,pay,date
경남 창원시, 영웅배송 스파이더 반지지점,시간협의,"월급5,000,000",12분전
경남 창원시, 영웅배송 스파이더 반지지점,시간협의,"건별3,000",13분전
경남 창원시, 영웅배송 스파이더 반지지점,시간협의,"일급200,000",13분전
서울 도봉구, 영웅배송 스파이더 창동지사,시간협의,"건별3,600",30분전
경남 창원시, 영웅배송 스파이더 Hero지점,시간협의,"월급5,000,000",49분전
경남 창원시, 영웅배송 스파이더 Hero지점,시간협의,"월급5,000,000",49분전
경남 창원시, 영웅배송 스파이더 Hero지점,시간협의,"월급5,000,000",49분전
경기 부천시, 영웅배송 스파이더 소사2지사,시간협의,"건별3,500",50분전
경기 오산시, 영웅배송 스파이더 오산8지사,14:00~01:00,"일급200,000",58분전
경남 창원시, 영웅배송 스파이더 Go지점,시간협의,"일급200,000",1시간전
경남 창원시, 영웅배송 스파이더 Go지점,시간협의,"일급200,000",1시간전
경남 창원시, 영웅배송 스파이더 Go지점,시간협의,"일급200,000",1시간전
경기 오산시, 영웅배송 스파이더 오산8지사,14:00~01:00,"일급200,000",2시간전
경기 오산시, 영웅배송 스파이더 오산8지사,14:00~01:00,"일급200,000",2시간전
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"월급4,000,000",3시간전
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"월급4,000,000",3시간전
경남 통영시, 영웅배송 스파이더 통영지사,시간협의,"건별3,000",4시간전
경남 창원시, 영웅배송 스파이더 소답소계지점,시간협의,"건별3,000",4시간전
경남 창원시, 영웅배송 스파이더 소답소계지점,시간협의,"건별3,000",4시간전
서울 구로구, 영웅배송 스파이더 구로본부,시간협의,"건별3,800",5시간전
경기 부천시, 영웅배송 스파이더 원미지사,시간협의,"일급200,000",5시간전
서울 강동구, 영웅배송 스파이더 명일B지사,시간협의,"월급4,500,000",5시간전
경남 통영시, 영웅배송 스파이더 통영지사,시간협의,"건별3,000",5시간전
경기 부천시, 영웅배송 스파이더 항동지사,10:30~11:00,"건별3,500",6시간전
충남 천안시, 영웅배송 스파이더 천안본부,시간협의,"일급200,000",6시간전
충남 천안시, 영웅배송 스파이더 천안본부,시간협의,"일급200,000",6시간전
충남 천안시, 영웅배송 스파이더 천안본부,시간협의,"일급200,000",6시간전
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"월급4,000,000",7시간전
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"월급4,000,000",7시간전
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"월급4,000,000",7시간전
울산 전체, 영웅배송 스파이더 남구지사B,시간협의,"월급4,000,000",8시간전
경기 전체, 영웅배송 스파이더 광교지사,10:00~24:00,"월급5,000,000",8시간전
울산 북구, 영웅배송 스파이더 울산북구지사,시간협의,"건별3,000",8시간전
울산 북구, 영웅배송 스파이더 울산북구지사,시간협의,"건별3,000",8시간전
울산 북구, 영웅배송 스파이더 울산북구지사,시간협의,"건별3,000",8시간전
서울 중랑구, 영웅배송 스파이더 면목지사,시간협의,"일급150,000",8시간전
서울 중랑구, 영웅배송 스파이더 면목지사,시간협의,"일급150,000",8시간전
서울 중랑구, 영웅배송 스파이더 면목지사,시간협의,"일급150,000",8시간전
경기 전체, 영웅배송 스파이더 광교지사,10:00~24:00,"월급5,000,000",11시간전
경기 성남시, 영웅배송 스파이더 야탑지사,10:00~01:30,"건별3,800",04/04
경기 성남시, 영웅배송 스파이더 야탑지사,10:00~01:30,"건별3,800",04/04
경기 성남시, 영웅배송 스파이더 야탑지사,10:00~01:30,"건별3,800",04/04
경남 전체, 영웅배송 스파이더 마산지사,시간협의,"월급3,500,000",04/03
경남 창원시, 영웅배송 스파이더 마산지사,시간협의,"일급200,000",04/03
경남 창원시, 영웅배송 스파이더 마산지사,시간협의,"일급200,000",04/03
경남 창원시, 영웅배송 스파이더 마산지사,시간협의,"월급5,000,000",04/03
경남 전체, 영웅배송 스파이더 마산지사,시간협의,"월급3,500,000",04/03
