place,title,time,pay,date
경기 고양시, 웅진씽크빅 일산동부지국,시간협의,"월급2,000,000",3분전
경기 광주시, 웅진씽크빅 경기광주지국,15:00~20:00,"월급2,000,000",4분전
경기 고양시, 웅진씽크빅 일산동부지국,시간협의,"월급2,000,000",4분전
부산 전체, 웅진씽크빅 정관지국,시간협의,"월급2,000,000",5분전
부산 전체, 웅진씽크빅 정관지국,시간협의,"월급2,000,000",5분전
부산 전체, 웅진씽크빅 정관지국,시간협의,"월급2,000,000",6분전
서울 관악구, 웅진씽크빅 신림지국,14:00~21:00,"월급1,800,000",6분전
서울 관악구, 웅진씽크빅 신림지국,14:00~21:00,"월급1,800,000",7분전
서울 관악구, 웅진씽크빅 신림지국,14:00~21:00,"월급1,800,000",7분전
경기 용인시, 웅진씽크빅 용인북부지국,시간협의,"월급1,800,000",8분전
경기 고양시, 웅진씽크빅 일산동부지국,시간협의,"월급2,000,000",12분전
인천 계양구, 웅진씽크빅 작전지국,13:00~19:00,"월급1,800,000",12분전
광주 광산구, 웅진씽크빅 광주첨단지국,14:00~20:30,"월급1,500,000",13분전
광주 광산구, 웅진씽크빅 광주첨단지국,13:00~18:00,"월급1,200,000",13분전
광주 광산구, 웅진씽크빅 광주첨단지국,13:00~18:00,"월급1,200,000",13분전
경기 부천시, 웅진씽크빅 부천소사지국,시간협의,"월급1,200,000",14분전
전북 전주시, 웅진씽크빅 전주서부지국,시간협의,"월급2,000,000",15분전
경기 김포시, 웅진씽크빅 김포풍무지국,13:00~21:00,"월급2,000,000",16분전
경기 화성시, 웅진씽크빅 동탄북부지국,시간협의,"월급2,000,000",16분전
경남 창원시, 웅진씽크빅 창원서부지국,13:30~19:00,"월급2,000,000",16분전
전북 전주시, 웅진씽크빅 전주서부지국,시간협의,"월급2,000,000",17분전
경기 화성시, 웅진씽크빅 동탄북부지국,시간협의,"월급2,000,000",17분전
광주 전체, 웅진씽크빅 광주선운지국,시간협의,"시급10,000",17분전
경남 창원시, 웅진씽크빅 창원서부지국,10:00~18:00,"월급2,000,000",17분전
경기 화성시, 웅진씽크빅 동탄북부지국,시간협의,"월급2,000,000",18분전
경기 파주시, 웅진씽크빅 금촌문산,시간협의,"월급2,000,000",19분전
서울 강서구, 웅진씽크빅 강서마곡지국,13:00~18:00,"월급2,000,000",19분전
서울 강서구, 웅진씽크빅 강서마곡지국,13:00~18:00,"월급2,000,000",19분전
서울 강서구, 웅진씽크빅 강서마곡지국,13:00~18:00,"월급2,000,000",19분전
제주 제주시, 웅진씽크빅 제주서부지국,14:00~20:00,"월급2,000,000",19분전
제주 제주시, 웅진씽크빅 제주서부지국,14:00~20:00,"월급2,000,000",20분전
경기 부천시, 웅진씽크빅 부천소사지국,시간협의,"월급1,200,000",20분전
경남 창원시, 웅진씽크빅 창원서부지국,시간협의,"월급1,500,000",20분전
