place,title,time,pay,date
부산 연제구, 윈윈파트너 [부산연제구]토곡2호점,10:00~24:00,"일급200,000",6분전
부산 연제구, 윈윈파트너 [부산연제구]토곡2호점,10:00~24:00,"일급200,000",6분전
충남 부여군, 윈윈파트너 윈윈 충남논산지점,시간협의,"월급4,000,000",6분전
충남 계룡시, 윈윈파트너 윈윈 충남논산지점,시간협의,"월급4,000,000",6분전
부산 연제구, 윈윈파트너 [부산연제구]토곡2호점,10:00~24:00,"일급200,000",6분전
충남 논산시, 윈윈파트너 윈윈 충남논산지점,시간협의,"월급4,000,000",6분전
경기 안양시, 윈윈파트너 윈[경기안양동안구]동안점,시간협의,"일급200,000",1시간전
부산 남구, 윈윈파트너 [부산남구]용당감만점,시간협의,"월급4,500,000",1시간전
부산 남구, 윈윈파트너 [부산남구]용당감만점,시간협의,"월급4,500,000",1시간전
부산 남구, 윈윈파트너 [부산남구]용당감만점,시간협의,"월급4,500,000",1시간전
부산 전체, 윈윈파트너 [부산남구]남구점,시간협의,"일급150,000",1시간전
부산 전체, 윈윈파트너 [부산남구]남구점,시간협의,"일급150,000",1시간전
부산 남구, 윈윈파트너 [부산남구]남구점,시간협의,"건별3,000",1시간전
부산 전체, 윈윈파트너 [부산남구수영4호점],시간협의,"월급3,500,000",2시간전
부산 전체, 윈윈파트너 [부산남구수영4호점],시간협의,"월급3,500,000",2시간전
부산 전체, 윈윈파트너 [부산남구수영4호점],시간협의,"월급3,500,000",2시간전
부산 수영구, 윈윈파트너 [부산남구수영3호점],시간협의,"일급150,000",2시간전
경기 의정부, 윈윈파트너 [경기의정부]의정부5팀,시간협의,"일급150,000",3시간전
부산 연제구, 윈윈파트너 윈[부산연제구]시청지점,시간협의,"일급150,000",3시간전
부산 연제구, 윈윈파트너 윈[부산연제구]시청지점,시간협의,"일급150,000",3시간전
부산 연제구, 윈윈파트너 윈[부산연제구]시청지점,시간협의,"일급150,000",3시간전
경기 의정부, 윈윈파트너 WIN[경기의정부]의정부7,시간협의,"일급200,000",4시간전
경기 의정부, 윈윈파트너 WIN[경기의정부]의정부7,시간협의,"일급200,000",4시간전
경기 의정부, 윈윈파트너 WIN[경기의정부]의정부7,시간협의,"일급200,000",4시간전
부산 부산진, 윈윈파트너 WIN.[부산진구]진구점,10:00~02:00,"건별3,000",5시간전
부산 부산진, 윈윈파트너 WIN.[부산진구]진구점,10:00~02:00,"건별3,000",5시간전
부산 부산진, 윈윈파트너 WIN.[부산진구]진구점,10:00~02:00,"건별3,000",5시간전
부산 수영구, 윈윈파트너 [부산바다2호점],시간협의,"일급200,000",6시간전
