place,title,time,pay,date
울산 울주군, 유가네닭갈비 울산언양점,10:00~10:00,"시급8,720",2시간전
경기 안양시, 유가네닭갈비 범계역점,18:00~22:00,"시급8,720",2시간전
경기 안양시, 유가네닭갈비 범계역점,11:00~22:00,"월급2,800,000",3시간전
경기 안양시, 유가네닭갈비 범계역점,12:00~22:00,"시급8,720",3시간전
경기 안양시, 유가네닭갈비 범계역점,18:00~21:30,"시급8,720",4시간전
울산 울주군, 유가네닭갈비 울산언양점,10:00~10:00,"시급8,720",5시간전
울산 울주군, 유가네닭갈비 울산언양점,10:00~10:00,"시급8,720",7시간전
인천 중구, 유가네닭갈비 운서역점,시간협의,"시급10,464",13시간전
경남 창원시, 유가네닭갈비 진해석동점,10:00~22:00,"월급2,500,000",04/04
경북 경산시, 유가네닭갈비 경산사동점,시간협의,"시급8,720",04/04
경기 고양시, 유가네닭갈비 일산웨스턴점,11:00~22:30,"월급2,500,000",04/04
부산 부산진, 유가네닭갈비 서면직영점,10:00~14:00,"시급8,720",04/04
부산 부산진, 유가네닭갈비 서면직영점,10:00~14:00,"시급8,720",04/04
부산 부산진, 유가네닭갈비 서면직영점,10:00~14:00,"시급8,720",04/04
인천 남동구, 유가네닭갈비 만수향촌점,17:00~21:00,"시급8,720",04/04
경남 김해시, 유가네닭갈비 김해주촌점,10:00~22:00,"시급8,720",04/02
경남 김해시, 유가네닭갈비 김해주촌점,17:00~22:00,"시급8,720",04/02
경기 안산시, 유가네닭갈비 안산선부점,10:30~15:00,"시급8,720",04/02
서울 동대문, 유가네닭갈비 장한평역점,12:30~15:30,"시급8,720",04/02
서울 송파구, 유가네닭갈비 신천점,시간협의,"시급9,000",03/29
경북 경산시, 유가네닭갈비 경산사동점,시간협의,"시급8,720",03/29
서울 송파구, 유가네닭갈비 신천점,시간협의,"시급9,000",03/29
경기 평택시, 유가네닭갈비 평택소사벌점,17:00~22:00,"시급9,000",03/28
부산 남구, 유가네닭갈비 부산용호점,10:30~22:30,"시급8,720",03/21
부산 남구, 유가네닭갈비 부산용호점,10:30~22:30,"월급2,500,000",03/21
경기 양주시, 유가네닭갈비 양주옥정점,10:00~10:00,"월급2,500,000",03/20
