place,title,time,pay,date
대구 동구, 유니클로 신세계백화점 대구점,09:30~22:30,"시급10,644",2시간전
서울 전체, 유니클로 광화문 D-Tower점,시간협의,"시급10,644",3시간전
인천 부평구, 유니클로 인천 구산점,시간협의,"월급1,850,000",4시간전
경기 수원시, 유니클로 롯데몰 수원점,시간협의,"월급1,850,000",4시간전
강원 강릉시, 유니클로 강릉 포남점,시간협의,"월급1,850,000",6시간전
경북 포항시, 유니클로 포항 해도점,시간협의,"시급10,644",6시간전
경북 포항시, 유니클로 포항 해도점,시간협의,"월급1,850,000",6시간전
전남 여수시, 유니클로 여수 둔덕점,09:00~05:00,"시급8,870",6시간전
전남 여수시, 유니클로 여수 둔덕점,09:00~05:00,"시급10,644",6시간전
서울 영등포, 유니클로 여의도 아이에프씨몰점,시간협의,"시급8,870",6시간전
서울 영등포, 유니클로 여의도 아이에프씨몰점,시간협의,"시급10,644",6시간전
경기 시흥시, 유니클로 이마트 시화점,시간협의,"월급1,850,000",7시간전
인천 전체, 유니클로 인천 항동점,시간협의,"시급8,870",7시간전
세종 전체, 유니클로 세종 파이낸스센터점,시간협의,"시급10,644",7시간전
대구 중구, 유니클로 현대백화점 대구점,시간협의,"시급10,644",8시간전
대구 동구, 유니클로 롯데몰 이시아폴리스점,시간협의,"시급10,644",9시간전
대구 동구, 유니클로 롯데몰 이시아폴리스점,시간협의,"시급10,644",9시간전
경기 안산시, 유니클로 롯데마트 안산점,시간협의,"월급1,850,000",9시간전
전남 순천시, 유니클로 순천 연향점,시간협의,"시급10,644",9시간전
경기 하남시, 유니클로 신세계 스타필드 하남점,시간협의,"월급1,850,000",9시간전
전북 익산시, 유니클로 익산 영등점,시간협의,"시급8,870",9시간전
전남 광양시, 유니클로 LF 스퀘어 광양점,시간협의,"월급1,850,000",9시간전
광주 전체, 유니클로 롯데아울렛 광주 월드컵점,시간협의,"시급10,644",11시간전
경기 전체, 유니클로 롯데백화점 분당점,시간협의,"시급10,644",13시간전
경기 전체, 유니클로 롯데백화점 분당점,시간협의,"시급10,644",13시간전
충남 아산시, 유니클로 아산 풍기점,13:00~21:00,"시급10,644",13시간전
충남 아산시, 유니클로 아산 풍기점,11:30~21:00,"월급1,850,000",13시간전
서울 서초구, 유니클로 신세계백화점 강남점,시간협의,"시급10,644",13시간전
서울 서초구, 유니클로 신세계백화점 강남점,시간협의,"시급10,644",13시간전
경북 포항시, 유니클로 포항 장성점,시간협의,"월급1,850,000",14시간전
경기 화성시, 유니클로 이마트 동탄점,시간협의,"월급1,850,000",14시간전
서울 송파구, 유니클로 롯데월드몰점,시간협의,"시급8,870",14시간전
서울 송파구, 유니클로 롯데월드몰점,시간협의,"시급10,644",14시간전
서울 송파구, 유니클로 롯데월드몰점,시간협의,"월급1,850,000",14시간전
경기 성남시, 유니클로 현대백화점 판교점,시간협의,"월급1,850,000",14시간전
경기 성남시, 유니클로 현대백화점 판교점,시간협의,"시급10,644",14시간전
서울 노원구, 유니클로 롯데마트 중계점,시간협의,"월급1,850,000",14시간전
경기 하남시, 유니클로 스타필드 시티 위례점,시간협의,"시급10,644",04/04
경기 하남시, 유니클로 스타필드 시티 위례점,시간협의,"시급8,870",04/04
경기 하남시, 유니클로 스타필드 시티 위례점,시간협의,"월급1,850,000",04/04
