place,title,time,pay,date
경기 전체, 자라리테일코리아,시간협의,"시급11,370",7시간전
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",7시간전
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",7시간전
경기 전체, 마시모듀띠코리아,시간협의,"연봉24,000,000",04/04
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",04/04
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",04/04
경기 전체, 자라리테일코리아,시간협의,"시급11,370",04/04
부산 전체, 자라리테일코리아,시간협의,"시급11,370",04/04
전북 전체, 자라리테일코리아,10:30~17:30,"시급11,370",04/04
광주 전체, 자라리테일코리아,시간협의,"연봉24,000,000",04/04
서울 전체, 자라리테일코리아,시간협의,"연봉24,000,000",03/30
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",03/30
경기 전체, 자라리테일코리아,시간협의,"연봉24,000,000",03/30
경기 화성시, 마시모두띠코리아,시간협의,"연봉24,000,000",03/27
경기 전체, 마시모두띠코리아,11:30~19:30,"시급11,370",03/27
