place,title,time,pay,date
경기 군포시, 장원교육 군포과천,시간협의,"월급3,000,000",12분전
경기 안양시, 장원교육 군포과천,14:00~21:00,"월급2,000,000",18분전
대구 전체, 장원교육 수성,13:00~22:00,"월급1,800,000",40분전
경기 안산시, 장원교육 안산상록,10:00~21:00,"시급8,720",2시간전
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",2시간전
서울 강남구, 장원교육 서울강남,14:00~21:00,"연봉18,000,000",3시간전
서울 용산구, 장원교육 용산서,시간협의,"연봉18,000,000",3시간전
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",3시간전
서울 용산구, 장원교육 용산서,시간협의,"월급1,800,000",3시간전
서울 강남구, 장원교육 서울강남,14:00~21:00,"월급1,800,000",3시간전
경기 성남시, 장원교육 위례,10:00~20:00,"월급2,000,000",3시간전
경기 성남시, 장원교육 분당남부,시간협의,"월급1,795,310",3시간전
경기 성남시, 장원교육 분당남부,시간협의,"월급1,795,310",3시간전
경기 성남시, 장원교육 분당남부,시간협의,"월급1,795,310",3시간전
경기 성남시, 장원교육 분당남부,시간협의,"월급1,795,310",3시간전
경기 성남시, 장원교육 분당남부,시간협의,"월급1,795,310",3시간전
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,900,000",3시간전
경북 전체, 장원교육 포항남북,시간협의,"월급1,800,000",11시간전
경기 화성시, 장원교육 2동탄,10:00~10:00,"월급1,800,000",12시간전
서울 송파구, 장원교육 본사 한서연,10:00~20:00,"월급2,000,000",04/04
서울 구로구, 장원교육 서울영등포,10:00~20:00,"월급1,900,000",04/04
서울 서초구, 장원교육 서울서초,10:00~20:30,"월급2,000,000",04/03
대전 대덕구, 장원교육 동대전,10:00~10:00,"월급1,800,000",04/03
경기 하남시, 장원교육 하남,15:00~21:00,"월급1,500,000",04/01
서울 서초구, 장원교육 서울서초,10:00~20:30,"월급2,000,000",03/29
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",03/29
대구 전체, 장원교육 수성,13:00~22:00,"월급1,800,000",03/27
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",03/27
경북 전체, 장원교육 포항남북,시간협의,"월급1,900,000",03/26
대구 동구, 장원교육 대구동구,15:00~21:30,"월급1,900,000",03/26
대구 동구, 장원교육 대구동구,15:00~21:30,"월급1,900,000",03/26
경기 고양시, 장원교육 일산서부,시간협의,"월급1,500,000",03/22
인천 연수구, 장원교육 인천연수,10:00~20:00,"월급1,900,000",03/22
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",03/22
대구 전체, 장원교육 수성,13:00~22:00,"월급1,800,000",03/22
서울 관악구, 장원교육 서울관악,13:00~21:00,"월급1,800,000",03/20
대구 전체, 장원교육 수성,13:00~22:00,"월급1,800,000",03/20
대구 달서구, 장원교육 월배,시간협의,"월급2,000,000",03/20
