place,title,time,pay,date
인천 전체, 제이디스포츠패션코리아 인천구월점(직),10:30~18:30,"시급9,040",2분전
서울 강남구, 제이디스포츠패션코리아 강남점(직),14:30~22:00,"시급9,040",37분전
울산 중구, 제이디스포츠패션코리아 울산성남점(직),13:00~22:00,"월급1,822,480",2시간전
서울 강남구, 제이디스포츠패션코리아 강남점(직),14:30~22:00,"시급9,040",5시간전
서울 강남구, 제이디스포츠패션코리아 강남점(직),14:30~22:00,"시급9,040",5시간전
광주 동구, 제이디스포츠패션코리아 광주충장로점(직,13:00~22:00,"월급1,822,480",7시간전
서울 강남구, 제이디스포츠패션코리아 파르나스몰점,13:00~22:00,"월급1,822,480",9시간전
인천 연수구, 제이디스포츠패션코리아 인천스퀘어원점(,13:30~21:30,"시급9,040",04/04
서울 송파구, 제이디스포츠패션코리아 롯데월드타워몰점,13:00~22:00,"월급1,822,480",04/04
경기 고양시, 제이디스포츠패션코리아 스타필드고양점(,14:30~22:00,"시급9,040",04/04
경기 고양시, 제이디스포츠패션코리아 스타필드고양점(,13:00~22:00,"월급1,822,480",04/04
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),13:00~22:00,"월급1,822,480",04/04
인천 부평구, 제이디스포츠패션코리아 부평중앙점(직),13:00~22:00,"월급1,822,480",04/04
제주 제주시, 제이디스포츠패션코리아 제주칠성점(직),13:00~22:00,"월급1,822,480",04/02
울산 중구, 제이디스포츠패션코리아 울산성남점(직),13:00~22:00,"월급1,822,480",04/02
인천 전체, 제이디스포츠패션코리아 인천구월점(직),10:30~18:30,"시급9,040",04/01
충북 청주시, 제이디스포츠패션코리아 청주성안점(직),02:30~22:00,"시급9,040",04/01
경기 고양시, 제이디스포츠패션코리아 스타필드고양점(,14:30~22:00,"시급9,040",03/31
경기 고양시, 제이디스포츠패션코리아 스타필드고양점(,13:00~22:00,"월급1,822,480",03/31
인천 전체, 제이디스포츠패션코리아 인천구월점(직),10:30~18:30,"시급9,040",03/30
충북 청주시, 제이디스포츠패션코리아 청주성안점(직),02:30~22:00,"시급9,040",03/30
대구 중구, 제이디스포츠패션코리아 동성로중앙점(직,02:30~22:00,"시급9,040",03/30
제주 제주시, 제이디스포츠패션코리아 제주칠성점(직),13:00~22:00,"월급1,822,480",03/29
서울 송파구, 제이디스포츠패션코리아 롯데월드타워몰점,13:00~22:00,"월급1,822,480",03/29
인천 전체, 제이디스포츠패션코리아 인천구월점(직),10:30~18:30,"시급9,040",03/29
충북 청주시, 제이디스포츠패션코리아 청주성안점(직),02:30~22:00,"시급9,040",03/26
경기 성남시, 제이디스포츠패션코리아 현대백화점판교점,12:30~20:00,"시급9,040",03/25
