place,title,time,pay,date
경기 전체, (주)지오다노,09:30~18:30,"월급1,823,000",4분전
경기 용인시, (주)지오다노,09:30~18:30,"월급1,923,000",5시간전
인천 연수구, (주)지오다노,09:30~18:30,"월급1,830,000",5시간전
경기 수원시, (주)지오다노,10:00~20:30,"시급8,720",04/02
경기 수원시, (주)지오다노,10:00~20:30,"시급8,720",04/02
경기 수원시, (주)지오다노,시간협의,"월급1,823,000",04/01
경기 수원시, (주)지오다노,시간협의,"월급1,823,000",03/30
서울 구로구, (주)지오다노,시간협의,"월급1,823,000",03/22
경기 용인시, (주)지오다노,10:00~21:00,"시급8,720",03/22
경기 용인시, (주)지오다노,10:00~21:00,"시급8,720",03/22
서울 구로구, (주)지오다노,10:00~22:00,"시급8,720",03/22
서울 구로구, (주)지오다노,10:00~22:00,"시급8,720",03/22
