place,title,time,pay,date
광주 남구, 치킨더홈 광주봉선점,17:30~22:30,"시급8,720",5시간전
광주 남구, 치킨더홈 광주봉선점,17:30~22:30,"시급8,720",5시간전
광주 남구, 치킨더홈 광주봉선점,17:30~22:30,"시급8,720",5시간전
광주 남구, 치킨더홈 광주봉선점,17:30~22:30,"시급8,720",04/03
경북 포항시, 치킨더홈 포항초곡점,17:00~20:00,"시급8,720",04/02
경북 포항시, 치킨더홈 포항초곡점,17:00~20:00,"시급8,720",04/02
경북 포항시, 치킨더홈 포항초곡점,17:00~20:00,"시급8,720",04/02
경북 포항시, 치킨더홈 포항초곡점,17:00~20:00,"시급8,720",04/02
광주 북구, 치킨더홈 광주첨단점,시간협의,"시급8,720",04/02
광주 북구, 치킨더홈 광주첨단점,시간협의,"시급8,720",04/02
광주 북구, 치킨더홈 광주첨단점,시간협의,"시급8,720",04/02
광주 북구, 치킨더홈 광주첨단점,시간협의,"시급8,720",04/02
경남 창원시, 치킨더홈 창원중앙점,06:30~09:30,"시급8,800",03/26
경남 창원시, 치킨더홈 창원중앙점,06:30~09:30,"시급8,800",03/26
경남 창원시, 치킨더홈 창원중앙점,06:30~09:30,"시급8,800",03/26
경남 창원시, 치킨더홈 창원중앙점,06:30~09:30,"시급8,800",03/26
경북 영주시, 치킨더홈 영주점,17:30~24:00,"시급8,720",03/26
경북 영주시, 치킨더홈 영주점,17:30~24:00,"시급8,720",03/26
경북 영주시, 치킨더홈 영주점,17:30~24:00,"시급8,720",03/26
경북 영주시, 치킨더홈 영주점,17:30~24:00,"시급8,720",03/26
강원 원주시, 치킨더홈 원주기업도시점,17:30~21:30,"시급10,000",03/26
강원 원주시, 치킨더홈 원주기업도시점,17:30~21:30,"시급10,000",03/26
강원 원주시, 치킨더홈 원주기업도시점,17:30~21:30,"시급10,000",03/26
강원 원주시, 치킨더홈 원주기업도시점,17:30~21:30,"시급10,000",03/26
경기 여주시, 치킨더홈 여주중앙점,17:00~21:00,"시급9,000",03/26
경기 여주시, 치킨더홈 여주중앙점,17:00~21:00,"시급9,000",03/26
경기 여주시, 치킨더홈 여주중앙점,17:00~21:00,"시급9,000",03/21
경남 창원시, 치킨더홈 창원신월점,18:00~23:00,"시급8,720",03/21
경남 창원시, 치킨더홈 창원신월점,18:00~23:00,"시급8,720",03/21
경남 창원시, 치킨더홈 창원신월점,18:00~23:00,"시급8,720",03/21
경남 창원시, 치킨더홈 창원신월점,18:00~23:00,"시급8,720",03/21
대구 달서구, 치킨더홈 대구상인점,19:00~24:00,"월급1,180,000",03/21
대구 달서구, 치킨더홈 대구상인점,19:00~24:00,"월급1,180,000",03/21
대구 달서구, 치킨더홈 대구상인점,19:00~24:00,"월급1,180,000",03/21
대구 달서구, 치킨더홈 대구상인점,19:00~24:00,"월급1,180,000",03/21
전남 무안군, 치킨더홈 남악점,시간협의,"시급8,720",03/21
전남 무안군, 치킨더홈 남악점,시간협의,"시급8,720",03/21
전남 무안군, 치킨더홈 남악점,시간협의,"시급8,720",03/21
전남 무안군, 치킨더홈 남악점,시간협의,"시급8,720",03/21
