place,title,time,pay,date
경기 부천시, 테그42 부천옥길점,19:00~21:00,"시급8,720",6분전
서울 종로구, 테그42 독립문역점,시간협의,"시급8,720",4시간전
서울 종로구, 테그42 독립문역점,시간협의,"시급8,720",5시간전
서울 종로구, 테그42 독립문역점,시간협의,"시급8,720",5시간전
서울 종로구, 테그42 독립문역점,시간협의,"시급8,720",5시간전
서울 종로구, 테그42 독립문역점,시간협의,"시급8,720",5시간전
경기 부천시, 테그42 부천옥길점,19:00~21:00,"시급8,720",5시간전
경기 부천시, 테그42 부천옥길점,19:00~21:00,"시급8,720",5시간전
경기 부천시, 테그42 부천옥길점,19:00~21:00,"시급8,720",5시간전
경기 부천시, 테그42 부천옥길점,19:00~21:00,"시급8,720",5시간전
경기 남양주, 테그42 다산신도시점,11:00~21:00,"월급2,100,000",5시간전
경기 남양주, 테그42 다산신도시점,11:00~21:00,"월급2,100,000",5시간전
부산 해운대, 테그42 테그42 부산센텀점,12:00~21:00,"시급8,720",04/03
인천 미추홀, 테그42 인하대점,15:30~22:30,"시급8,720",04/03
경기 남양주, 테그42 다산신도시점,15:00~21:00,"시급8,720",04/03
경기 남양주, 테그42 다산신도시점,10:00~16:00,"시급8,720",04/03
경기 남양주, 테그42 다산신도시점,11:00~21:00,"월급2,100,000",04/03
부산 해운대, 테그42 테그42 부산센텀점,07:30~02:00,"시급8,720",04/03
부산 해운대, 테그42 테그42 부산센텀점,12:00~21:00,"시급8,720",04/02
인천 미추홀, 테그42 인하대점,15:30~22:30,"시급8,720",04/02
인천 미추홀, 테그42 인하대점,15:30~22:30,"시급8,720",04/02
인천 미추홀, 테그42 인하대점,15:30~22:30,"시급8,720",04/02
