place,title,time,pay,date
서울 강동구, 라그릴리아 천호,12:00~17:00,"시급8,720",1시간전
서울 전체, 피그인더가든,11:00~19:30,"시급8,720",4시간전
서울 전체, 피그인더가든,11:00~19:30,"시급8,720",4시간전
서울 송파구, 라그릴리아 가든파이브점,09:00~18:00,"시급8,720",04/04
서울 강남구, 비스트로바 라그릴리아 SPC스퀘어점,17:30~22:30,"시급8,720",04/02
서울 강남구, (주)파리크라상 스트릿 스퀘어점,시간협의,"시급8,720",04/02
서울 강남구, (주)파리크라상 스트릿 스퀘어점,시간협의,"시급8,720",04/01
서울 영등포, (주)파리크라상,시간협의,"연봉29,000,000",03/27
경기 성남시, (주)파리크라상,시간협의,"연봉29,000,000",03/27
서울 강남구, (주)파리크라상,시간협의,"연봉29,000,000",03/27
서울 종로구, (주)파리크라상,시간협의,"연봉29,000,000",03/27
서울 영등포, (주)파리크라상 스트릿,시간협의,"연봉29,000,000",03/27
서울 강남구, (주)파리크라상 스트릿,시간협의,"연봉29,000,000",03/27
경기 성남시, (주)파리크라상 스트릿,시간협의,"연봉29,000,000",03/27
서울 영등포, (주)파리크라상 스트릿,시간협의,"연봉29,000,000",03/27
서울 전체, 피그인더가든,14:00~21:30,"시급8,720",03/20
