place,title,time,pay,date
서울 구로구, 주식회사 케이컴퍼니,11:00~21:00,"월급1,900,000",3시간전
경기 화성시, 주식회사 케이컴퍼니,10:00~19:00,"월급1,950,000",4시간전
서울 강동구, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",9시간전
경기 안산시, 주식회사 케이컴퍼니,10:00~20:00,"시급8,720",10시간전
경기 안산시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",10시간전
서울 강동구, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",12시간전
경기 화성시, 주식회사 케이컴퍼니,09:00~18:00,"일급80,000",04/02
경기 화성시, 주식회사 케이컴퍼니,09:00~18:00,"일급80,000",04/02
경기 화성시, 주식회사 케이컴퍼니,09:00~18:00,"시급8,720",03/30
경북 포항시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",03/30
경기 안산시, 주식회사 케이컴퍼니,10:00~20:00,"시급8,720",03/29
경기 안산시, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",03/29
서울 동대문, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",03/28
경기 화성시, 주식회사 케이컴퍼니,09:00~18:00,"시급8,720",03/27
경기 수원시, 주식회사 케이컴퍼니,10:00~20:00,"시급8,720",03/27
경기 화성시, 주식회사 케이컴퍼니,09:00~18:00,"시급8,720",03/21
서울 동대문, 주식회사 케이컴퍼니,10:00~20:00,"월급1,900,000",03/21
