place,title,time,pay,date
부산 해운대, 한경기획 청년다방 장산점,11:00~23:00,"월급2,100,000",2시간전
충남 천안시, 한경기획 청년다방 천안불당점,10:00~22:00,"월급2,600,000",2시간전
인천 부평구, 한경기획 청년다방 인천삼산점,10:00~22:00,"월급2,100,000",3시간전
서울 은평구, 한경기획 청년다방 응암이마트점,18:30~24:00,"시급8,720",3시간전
충남 천안시, 한경기획 청년다방 천안불당점,10:00~22:00,"월급2,600,000",4시간전
경기 성남시, 한경기획 청년다방 서현로데오점,17:00~21:30,"시급9,000",5시간전
경기 성남시, 한경기획 청년다방 서현로데오점,17:00~21:30,"시급10,465",5시간전
경기 성남시, 한경기획 청년다방 서현로데오점,17:00~21:30,"시급10,465",5시간전
충남 논산시, 한경기획 청년다방 논산오거리점,17:30~21:30,"시급8,720",5시간전
충남 천안시, 한경기획 청년다방 천안두정역점,17:00~22:00,"시급8,720",6시간전
경기 용인시, 한경기획 청년다방 용인동천점,18:00~22:00,"시급8,800",6시간전
전북 전주시, 한경기획 청년다방 전주송천점,18:00~22:00,"시급8,720",6시간전
충남 천안시, 한경기획 청년다방 천안불당점,10:00~22:00,"월급2,600,000",6시간전
충남 천안시, 한경기획 청년다방 천안불당점,10:00~22:00,"월급2,600,000",7시간전
서울 은평구, 한경기획 청년다방 응암이마트점,10:00~16:00,"시급8,720",7시간전
경기 남양주, 한경기획 남양주별내점,17:00~22:00,"시급9,000",8시간전
충남 천안시, 한경기획 청년다방 천안두정역점,11:00~21:30,"시급9,000",8시간전
경기 성남시, 한경기획 청년다방 판교테크노밸리점,11:00~15:00,"시급10,000",8시간전
충남 천안시, 한경기획 청년다방 천안불당점,10:00~22:00,"월급2,600,000",13시간전
경기 시흥시, 한경기획 청년다방 시흥능곡역점,11:00~15:00,"시급10,000",04/04
부산 해운대, 한경기획 청년다방 장산점,11:00~14:30,"시급8,720",04/04
경기 안양시, 한경기획 청년다방 안양일번가점,17:00~21:00,"시급8,720",04/04
경기 안양시, 한경기획 청년다방 안양일번가점,17:00~21:00,"시급8,720",04/04
경기 안양시, 한경기획 청년다방 안양일번가점,12:00~17:00,"시급8,720",04/04
강원 홍천군, 홍천점,시간협의,"시급8,720",04/03
인천 중구, 한경기획 청년다방 영종하늘도시점,17:00~21:30,"시급8,720",04/03
부산 해운대, 한경기획 청년다방 장산점,17:00~23:00,"월급1,250,000",04/03
인천 중구, 한경기획 청년다방 영종하늘도시점,10:00~22:00,"월급2,500,000",04/03
경기 성남시, 한경기획 청년다방 판교테크노밸리점,18:00~22:00,"시급10,000",04/03
광주 광산구, 한경기획 청년다방 호남대점,17:00~21:00,"시급8,720",04/01
광주 광산구, 한경기획 청년다방 호남대점,10:00~14:00,"시급8,720",04/01
충북 청주시, 한경기획 청년다방 청주지웰시티점,16:30~21:30,"시급8,900",03/31
경기 성남시, 한경기획 청년다방 서현로데오점,17:00~21:30,"시급10,465",03/26
충북 청주시, 한경기획 청년다방 청주지웰시티점,16:30~21:30,"시급8,900",03/24
충남 천안시, 한경기획 은화수식당 천안쌍용점,10:00~21:00,"월급2,100,000",03/23
충북 청주시, 한경기획 청년다방 청주지웰시티점,16:30~21:30,"시급8,900",03/22
경기 안양시, 한경기획 청년다방 안양예술공원점,16:00~20:00,"시급8,720",03/20
