place,title,time,pay,date
서울 영등포, 할리스커피 구로디지털뉴스테이점,10:00~13:30,"시급8,720",3분전
서울 노원구, 할리스커피 당고개역점,12:30~15:30,"시급8,720",10분전
서울 관악구, 할리스커피 낙성대역점,16:00~22:00,"시급8,720",30분전
경남 창원시, 할리스커피 마산터미널점,12:00~15:00,"시급8,720",36분전
서울 전체, 할리스커피 청담삼성로점,시간협의,"시급8,720",40분전
서울 서초구, 할리스커피 교대역점,08:00~15:00,"시급8,720",41분전
서울 노원구, 할리스커피 당고개역점,12:30~15:30,"시급8,720",45분전
서울 관악구, 할리스커피 신림고시촌점,13:00~17:00,"시급8,720",1시간전
서울 관악구, 할리스커피 신림고시촌점,18:00~22:00,"시급8,720",1시간전
서울 전체, 할리스커피 청담삼성로점,시간협의,"시급8,720",1시간전
서울 성동구, 할리스커피 한양대시티빌점,10:00~23:00,"시급8,720",1시간전
인천 미추홀, 할리스커피 인천주안역점,12:00~23:00,"시급8,720",1시간전
인천 미추홀, 할리스커피 인천주안역점,12:00~18:00,"시급8,720",1시간전
대구 수성구, 할리스커피 대구수성네거리점,시간협의,"시급8,720",1시간전
경기 남양주, 할리스커피 다산센트럴점,18:00~22:00,"시급8,720",1시간전
서울 서초구, 할리스커피 교대역점,08:00~15:00,"시급8,720",1시간전
경기 평택시, 할리스커피 평택지산점,09:00~16:00,"시급8,720",1시간전
인천 미추홀, 할리스커피 인천주안역점,12:00~17:00,"시급8,720",2시간전
인천 미추홀, 할리스커피 인천주안역점,12:00~18:00,"시급8,720",2시간전
인천 미추홀, 할리스커피 인천주안역점,12:00~23:00,"시급8,720",2시간전
서울 전체, 할리스커피 종로DGB점,12:00~14:00,"시급8,720",2시간전
세종 가람동, 할리스커피 세종가람DT점,18:00~22:00,"시급8,720",2시간전
서울 노원구, 할리스커피 수락산역점,시간협의,"시급8,720",2시간전
경기 하남시, 할리스커피 하남미사역점,시간협의,"월급1,822,480",2시간전
대전 서구, 할리스커피 대전만년점,시간협의,"시급8,720",3시간전
서울 성동구, 할리스커피 한양대시티빌점,10:00~23:00,"시급8,720",3시간전
서울 강남구, 할리스커피 코엑스점,18:00~22:00,"시급8,720",3시간전
서울 노원구, 할리스커피 당고개역점,12:30~15:30,"시급8,720",3시간전
경기 하남시, 할리스커피 하남미사역점,시간협의,"연봉24,500,000",3시간전
서울 관악구, 할리스커피 신림사거리점,13:00~19:00,"시급8,720",3시간전
서울 강남구, 할리스커피 수서점,17:00~22:00,"시급8,720",3시간전
강원 속초시, 할리스커피 속초영랑해변점,11:00~18:00,"시급8,720",3시간전
서울 강남구, 할리스커피 코엑스점,18:00~22:00,"시급8,720",3시간전
경기 파주시, 할리스커피 파주운정역점,17:00~23:00,"시급8,720",3시간전
서울 종로구, 할리스커피 대명거리점,20:00~22:00,"시급8,720",3시간전
서울 마포구, 할리스커피 홍대역2번출구점,시간협의,"월급1,850,000",4시간전
경남 창원시, 할리스커피 할리스 진해속천점,09:00~18:00,"월급2,000,000",4시간전
경기 양주시, 할리스커피 양주고읍점,20:00~22:00,"시급8,720",4시간전
경기 화성시, 할리스커피 화성융건릉점,18:00~22:00,"시급8,720",4시간전
서울 중구, 할리스커피 덕수궁점,19:00~22:00,"시급8,720",4시간전
경기 남양주, 할리스커피 다산센트럴점,18:00~22:00,"시급8,720",4시간전
서울 전체, 할리스커피 청담삼성로점,시간협의,"시급8,720",4시간전
서울 영등포, 할리스커피 여의도하나투자점,17:00~21:00,"시급8,720",4시간전
서울 강북구, 할리스커피 미아역점,시간협의,"시급8,720",4시간전
전남 순천시, 할리스커피 순천금당점,18:00~22:00,"시급8,720",4시간전
경기 김포시, 할리스커피 김포디원시티점,시간협의,"시급8,720",4시간전
서울 전체, 할리스커피 종로DGB점,12:00~14:00,"시급8,720",5시간전
경기 부천시, 할리스커피 부천중동점,12:00~16:00,"시급8,720",5시간전
경남 창원시, 할리스커피 상남중앙점,19:30~22:30,"시급8,720",5시간전
경기 양주시, 할리스커피 양주고읍점,20:00~22:00,"시급8,720",5시간전
광주 북구, 할리스커피 광주전남대점,12:00~14:00,"시급8,720",7시간전
서울 중구, 할리스커피 덕수궁점,19:00~22:00,"시급8,720",10시간전
울산 전체, 할리스커피 울산성남점,19:00~02:00,"시급9,000",11시간전
전북 전주시, 할리스커피 서전주DT점,19:00~22:00,"시급8,720",04/04
경기 성남시, 할리스커피 성남터미널점,19:00~22:00,"시급8,720",04/04
대전 유성구, 할리스커피 대전유성온천점,18:00~23:00,"시급8,720",04/04
경기 성남시, 할리스커피 성남터미널점,11:00~15:30,"시급8,720",04/04
