place,title,time,pay,date
서울 성북구, 호식이두마리치킨 돈암점,18:00~22:00,"시급9,000",41분전
서울 성북구, 호식이두마리치킨 돈암점,18:00~21:00,"시급9,000",48분전
서울 송파구, 호식이두마리치킨 송파위례점,13:00~23:00,"월급2,500,000",2시간전
인천 부평구, 호식이두마리치킨 부개1호점,18:00~24:00,"시급9,000",3시간전
인천 부평구, 호식이두마리치킨 삼산1호점,18:00~22:00,"시급8,720",3시간전
대구 수성구, 호식이두마리치킨 대구중동점,18:00~22:00,"시급9,000",3시간전
대구 북구, 호식이두마리치킨 금호지구점,18:00~21:00,"시급8,800",5시간전
서울 영등포, 호식이두마리치킨 신길1호점,22:00~03:00,"시급9,000",6시간전
서울 구로구, 호식이두마리치킨 신길1호점,17:00~03:00,"월급2,950,000",6시간전
서울 영등포, 호식이두마리치킨 신길1호점,17:00~03:00,"월급2,950,000",6시간전
서울 동작구, 호식이두마리치킨 신길1호점,17:00~03:00,"월급2,950,000",6시간전
서울 영등포, 호식이두마리치킨 신길1호점,18:00~03:00,"시급11,000",6시간전
인천 서구, 호식이두마리치킨 청라1호점,18:00~21:00,"시급8,720",7시간전
부산 남구, 호식이두마리치킨 용호점,17:00~22:00,"시급8,720",8시간전
경북 포항시, 호식이두마리치킨 문덕점,17:00~23:00,"시급9,000",04/04
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",04/04
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",04/04
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",04/04
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",04/04
대구 전체, 호식이두마리치킨 금호지구점,18:00~21:00,"시급8,800",04/03
서울 강동구, 호식이두마리치킨 천호1호점,05:00~23:00,"시급9,000",04/03
부산 남구, 호식이두마리치킨 용호점,17:00~22:00,"시급8,720",04/03
대구 동구, 호식이두마리치킨 방촌점,17:00~22:00,"시급8,720",04/03
충남 아산시, 호식이두마리치킨 배방점,15:00~24:00,"시급8,720",04/02
부산 사하구, 호식이두마리치킨 괴정점,17:00~22:00,"시급10,000",04/02
충남 아산시, 호식이두마리치킨 배방점,12:00~16:00,"시급8,720",04/01
충남 아산시, 호식이두마리치킨 배방점,12:00~16:00,"시급8,720",04/01
충남 아산시, 호식이두마리치킨 배방점,12:00~16:00,"시급8,720",04/01
충남 아산시, 호식이두마리치킨 배방점,12:00~16:00,"시급8,720",04/01
대구 전체, 호식이두마리치킨 대신점,15:00~11:00,"시급8,720",04/01
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급8,800",04/01
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급8,800",04/01
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급8,800",04/01
경기 성남시, 호식이두마리치킨 정자점(분당),17:00~23:00,"시급8,800",04/01
경기 성남시, 호식이두마리치킨 정자점(분당),시간협의,"시급8,800",04/01
제주 제주시, 호식이두마리치킨 삼화점,17:00~24:00,"시급9,000",04/01
대구 동구, 호식이두마리치킨 율하점,시간협의,"시급8,720",03/30
경기 용인시, 호식이두마리치킨 신갈점,18:00~01:00,"시급9,000",03/30
서울 구로구, 호식이두마리치킨 대림점,17:00~03:00,"월급2,700,000",03/29
서울 영등포, 호식이두마리치킨 대림점,17:00~03:00,"월급2,700,000",03/29
서울 영등포, 호식이두마리치킨 대림점,17:00~03:00,"월급2,700,000",03/29
서울 구로구, 호식이두마리치킨 대림점,17:00~03:00,"월급2,700,000",03/29
서울 구로구, 호식이두마리치킨 대림점,17:00~03:00,"월급2,700,000",03/29
경기 용인시, 호식이두마리치킨 신갈점,18:00~01:00,"시급9,000",03/27
인천 서구, 호식이두마리치킨 청라1호점,18:00~21:00,"시급8,720",03/26
서울 광진구, 호식이두마리치킨 중곡점,17:00~24:00,"시급9,000",03/23
