place,title,time,pay,date
경기 시흥시, 호치킨 시흥목감역점,시간협의,"월급2,500,000",30분전
서울 영등포, 호치킨 호치킨양평역점(현-1),18:00~22:00,"시급8,720",2시간전
경기 하남시, 호치킨 호치킨 하남미사점,시간협의,"시급8,800",3시간전
경기 시흥시, 호치킨 시흥목감역점,시간협의,"월급2,500,000",3시간전
인천 남동구, 호치킨 관교점,시간협의,"시급9,000",4시간전
인천 남동구, 호치킨 관교점,시간협의,"시급9,000",4시간전
인천 남동구, 호치킨 관교점,시간협의,"시급9,000",4시간전
인천 남동구, 호치킨 관교점,시간협의,"시급9,000",5시간전
인천 남동구, 호치킨 관교점,시간협의,"시급9,000",5시간전
경기 의정부, 호치킨 회룡역점,18:00~00:30,"시급10,464",6시간전
경기 시흥시, 호치킨 시흥목감역점,시간협의,"월급2,500,000",04/04
서울 영등포, 호치킨 호치킨양평역점(현-1),17:30~22:00,"시급8,720",04/03
경기 하남시, 호치킨 호치킨 하남미사점,시간협의,"시급8,800",04/03
경기 용인시, 호치킨 용인동천점,17:00~23:00,"시급8,720",04/03
경기 의정부, 호치킨 회룡역점,18:00~00:30,"시급10,464",04/02
경기 안양시, 호치킨 안양성원점,17:00~23:00,"시급9,000",04/02
인천 남동구, 호치킨 향촌휴먼시아점(현1),18:00~20:00,"시급9,000",04/02
인천 계양구, 호치킨 작전점,18:00~22:00,"시급8,800",04/01
서울 양천구, 호치킨 목2동시장점,시간협의,"시급9,000",04/01
인천 남동구, 호치킨 서창2지구점(현-2),18:00~22:00,"시급8,720",03/31
인천 남동구, 호치킨 서창2지구점(현-2),18:00~23:00,"시급8,720",03/31
서울 영등포, 호치킨 호치킨양평역점(현-1),17:30~22:00,"시급8,720",03/30
경기 용인시, 호치킨 용인동천점,17:00~23:00,"시급8,720",03/30
경기 용인시, 호치킨 용인동천점,17:00~23:00,"시급8,720",03/26
서울 영등포, 호치킨 호치킨양평역점(현-1),18:00~22:00,"시급8,720",03/25
서울 송파구, 호치킨 동부법조타운점,18:00~24:00,"시급8,720",03/24
서울 송파구, 호치킨 동부법조타운점,18:00~24:00,"시급8,720",03/23
인천 남동구, 호치킨 서창2지구점(현-2),18:00~22:00,"시급8,720",03/22
인천 남동구, 호치킨 서창2지구점(현-2),18:00~23:00,"시급8,720",03/22
서울 양천구, 호치킨 목2동시장점,14:30~01:00,"월급2,500,000",03/22
서울 송파구, 호치킨 동부법조타운점,18:00~24:00,"시급8,720",03/22
인천 서구, 호치킨 당하대우프라자점,18:00~02:00,"시급10,600",03/21
인천 남동구, 호치킨 향촌휴먼시아점(현1),18:00~10:00,"시급9,500",03/21
서울 양천구, 호치킨 목2동시장점,시간협의,"시급9,000",03/21
서울 송파구, 호치킨 동부법조타운점,18:00~24:00,"시급8,720",03/21
